"Plot Title: E1"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10566163, SEN S/N: 10566163)","Temp, °C (LGR S/N: 10566163, SEN S/N: 10566163)","Coupler Detached (LGR S/N: 10566163)","Coupler Attached (LGR S/N: 10566163)","Stopped (LGR S/N: 10566163)","End Of File (LGR S/N: 10566163)"
1,03/28/23 04:56:18 PM,99.682,30.862,,,,
2,03/28/23 04:56:27 PM,,,Logged,,,
3,03/28/23 04:58:18 PM,99.661,31.574,,,,
4,03/28/23 05:00:18 PM,99.646,31.166,,,,
5,03/28/23 05:02:18 PM,99.632,30.457,,,,
6,03/28/23 05:04:18 PM,99.633,29.853,,,,
7,03/28/23 05:06:18 PM,99.635,29.252,,,,
8,03/28/23 05:08:18 PM,99.664,28.754,,,,
9,03/28/23 05:10:18 PM,99.657,28.258,,,,
10,03/28/23 05:12:18 PM,99.655,27.862,,,,
11,03/28/23 05:14:18 PM,99.656,27.567,,,,
12,03/28/23 05:16:18 PM,99.680,27.272,,,,
13,03/28/23 05:18:18 PM,99.658,26.977,,,,
14,03/28/23 05:20:18 PM,99.659,26.683,,,,
15,03/28/23 05:22:18 PM,99.640,26.488,,,,
16,03/28/23 05:24:18 PM,99.657,26.292,,,,
17,03/28/23 05:26:18 PM,99.661,26.097,,,,
18,03/28/23 05:28:18 PM,99.670,26.000,,,,
19,03/28/23 05:30:18 PM,99.663,25.805,,,,
20,03/28/23 05:32:18 PM,99.647,25.708,,,,
21,03/28/23 05:34:18 PM,99.656,25.610,,,,
22,03/28/23 05:36:18 PM,99.652,25.513,,,,
23,03/28/23 05:38:18 PM,99.660,25.416,,,,
24,03/28/23 05:40:18 PM,99.645,25.319,,,,
25,03/28/23 05:42:18 PM,99.654,25.222,,,,
26,03/28/23 05:44:18 PM,99.654,25.222,,,,
27,03/28/23 05:46:18 PM,99.662,25.125,,,,
28,03/28/23 05:48:18 PM,99.662,25.125,,,,
29,03/28/23 05:50:18 PM,99.670,25.028,,,,
30,03/28/23 05:52:18 PM,99.658,25.028,,,,
31,03/28/23 05:54:18 PM,99.655,24.931,,,,
32,03/28/23 05:56:18 PM,99.643,24.931,,,,
33,03/28/23 05:58:18 PM,99.643,24.931,,,,
34,03/28/23 06:00:18 PM,99.655,24.931,,,,
35,03/28/23 06:02:18 PM,99.640,24.835,,,,
36,03/28/23 06:04:18 PM,99.651,24.835,,,,
37,03/28/23 06:06:18 PM,99.640,24.835,,,,
38,03/28/23 06:08:18 PM,99.663,24.835,,,,
39,03/28/23 06:10:18 PM,99.636,24.738,,,,
40,03/28/23 06:12:18 PM,99.636,24.738,,,,
41,03/28/23 06:14:18 PM,99.648,24.738,,,,
42,03/28/23 06:16:18 PM,99.636,24.738,,,,
43,03/28/23 06:18:18 PM,99.636,24.738,,,,
44,03/28/23 06:20:18 PM,99.636,24.738,,,,
45,03/28/23 06:22:18 PM,99.636,24.738,,,,
46,03/28/23 06:24:18 PM,99.625,24.738,,,,
47,03/28/23 06:26:18 PM,99.645,24.641,,,,
48,03/28/23 06:28:18 PM,99.633,24.641,,,,
49,03/28/23 06:30:18 PM,99.633,24.641,,,,
50,03/28/23 06:32:18 PM,99.645,24.641,,,,
51,03/28/23 06:34:18 PM,99.633,24.641,,,,
52,03/28/23 06:36:18 PM,99.633,24.641,,,,
53,03/28/23 06:38:18 PM,99.641,24.545,,,,
54,03/28/23 06:40:18 PM,99.629,24.545,,,,
55,03/28/23 06:42:18 PM,99.653,24.545,,,,
56,03/28/23 06:44:18 PM,99.629,24.545,,,,
57,03/28/23 06:46:18 PM,99.653,24.545,,,,
58,03/28/23 06:48:18 PM,99.629,24.545,,,,
59,03/28/23 06:50:18 PM,99.641,24.545,,,,
60,03/28/23 06:52:18 PM,99.629,24.545,,,,
