"Plot Title: S2"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552281, SEN S/N: 20552281)","Temp, °C (LGR S/N: 20552281, SEN S/N: 20552281)","Coupler Detached (LGR S/N: 20552281)","Coupler Attached (LGR S/N: 20552281)","Stopped (LGR S/N: 20552281)","End Of File (LGR S/N: 20552281)"
1,03/28/23 04:15:43 PM,99.462,35.009,,,,
2,03/28/23 04:15:56 PM,,,Logged,,,
3,03/28/23 04:17:43 PM,99.458,35.864,,,,
4,03/28/23 04:19:43 PM,99.444,35.756,,,,
5,03/28/23 04:21:43 PM,99.445,35.435,,,,
6,03/28/23 04:23:43 PM,99.442,35.328,,,,
7,03/28/23 04:25:43 PM,99.442,35.328,,,,
8,03/28/23 04:27:43 PM,99.455,35.435,,,,
9,03/28/23 04:29:43 PM,99.468,35.542,,,,
10,03/28/23 04:31:43 PM,99.448,35.542,,,,
11,03/28/23 04:33:43 PM,99.438,35.542,,,,
12,03/28/23 04:35:43 PM,99.445,35.435,,,,
13,03/28/23 04:37:43 PM,99.446,35.115,,,,
14,03/28/23 04:39:43 PM,99.446,34.796,,,,
15,03/28/23 04:41:43 PM,99.440,34.585,,,,
16,03/28/23 04:43:43 PM,99.437,34.479,,,,
17,03/28/23 04:45:43 PM,99.431,34.268,,,,
18,03/28/23 04:47:43 PM,99.428,34.163,,,,
19,03/28/23 04:49:43 PM,99.425,34.058,,,,
20,03/28/23 04:51:43 PM,99.409,33.848,,,,
21,03/28/23 04:53:43 PM,99.423,33.639,,,,
22,03/28/23 04:55:43 PM,99.409,33.535,,,,
23,03/28/23 04:57:43 PM,99.412,33.639,,,,
24,03/28/23 04:59:43 PM,99.416,33.743,,,,
25,03/28/23 05:01:43 PM,99.409,33.535,,,,
26,03/28/23 05:03:43 PM,99.393,33.326,,,,
27,03/28/23 05:05:43 PM,99.393,33.326,,,,
28,03/28/23 05:07:43 PM,99.396,33.430,,,,
29,03/28/23 05:09:43 PM,99.403,33.326,,,,
30,03/28/23 05:11:43 PM,99.413,33.326,,,,
31,03/28/23 05:13:43 PM,99.423,33.326,,,,
32,03/28/23 05:15:43 PM,99.420,33.222,,,,
33,03/28/23 05:17:43 PM,99.420,33.222,,,,
34,03/28/23 05:19:43 PM,99.410,33.222,,,,
35,03/28/23 05:21:43 PM,99.414,33.014,,,,
36,03/28/23 05:23:43 PM,99.415,32.704,,,,
37,03/28/23 05:25:43 PM,99.392,32.600,,,,
38,03/28/23 05:27:43 PM,99.399,32.497,,,,
39,03/28/23 05:29:43 PM,99.399,32.497,,,,
40,03/28/23 05:31:43 PM,99.397,32.394,,,,
41,03/28/23 05:33:43 PM,99.407,32.394,,,,
42,03/28/23 05:35:43 PM,99.404,32.291,,,,
43,03/28/23 05:37:43 PM,99.401,32.188,,,,
44,03/28/23 05:39:43 PM,99.391,32.188,,,,
45,03/28/23 05:41:43 PM,99.398,32.086,,,,
46,03/28/23 05:43:43 PM,99.418,32.086,,,,
47,03/28/23 05:45:43 PM,99.395,31.983,,,,
48,03/28/23 05:47:43 PM,99.402,31.880,,,,
49,03/28/23 05:49:43 PM,99.409,31.778,,,,
50,03/28/23 05:51:43 PM,99.409,31.778,,,,
51,03/28/23 05:53:43 PM,99.399,31.778,,,,
52,03/28/23 05:55:43 PM,99.396,31.676,,,,
53,03/28/23 05:57:43 PM,99.403,31.574,,,,
54,03/28/23 05:59:43 PM,99.397,31.370,,,,
55,03/28/23 06:01:43 PM,99.391,31.166,,,,
56,03/28/23 06:03:43 PM,99.386,30.963,,,,
57,03/28/23 06:05:43 PM,99.367,30.659,,,,
58,03/28/23 06:07:43 PM,99.365,30.255,,,,
59,03/28/23 06:09:43 PM,99.364,29.853,,,,
60,03/28/23 06:11:43 PM,99.350,29.352,,,,
61,03/28/23 06:13:43 PM,99.359,28.953,,,,
62,03/28/23 06:15:43 PM,99.345,28.456,,,,
63,03/28/23 06:17:43 PM,99.344,28.060,,,,
64,03/28/23 06:19:43 PM,99.343,27.665,,,,
65,03/28/23 06:21:43 PM,99.322,27.272,,,,
66,03/28/23 06:23:43 PM,99.334,26.977,,,,
67,03/28/23 06:25:43 PM,99.335,26.683,,,,
68,03/28/23 06:27:43 PM,99.325,26.292,,,,
69,03/28/23 06:29:43 PM,99.327,26.000,,,,
70,03/28/23 06:31:43 PM,99.318,25.708,,,,
71,03/28/23 06:33:43 PM,99.320,25.416,,,,
72,03/28/23 06:35:43 PM,99.333,25.125,,,,
73,03/28/23 06:37:43 PM,99.327,24.931,,,,
74,03/28/23 06:39:43 PM,99.319,24.641,,,,
75,03/28/23 06:41:43 PM,99.321,24.351,,,,
76,03/28/23 06:43:43 PM,99.316,24.158,,,,
77,03/28/23 06:45:43 PM,99.311,23.966,,,,
78,03/28/23 06:47:43 PM,99.326,23.773,,,,
79,03/28/23 06:49:43 PM,99.320,23.581,,,,
80,03/28/23 06:51:43 PM,99.315,23.388,,,,
81,03/28/23 06:53:43 PM,99.310,23.196,,,,
82,03/28/23 06:55:43 PM,99.315,23.004,,,,
83,03/28/23 06:57:43 PM,99.300,22.812,,,,
84,03/28/23 06:59:43 PM,99.305,22.621,,,,
85,03/28/23 07:01:43 PM,99.309,22.429,,,,
86,03/28/23 07:03:43 PM,99.307,22.333,,,,
87,03/28/23 07:05:43 PM,99.312,22.142,,,,
88,03/28/23 07:07:43 PM,99.319,22.046,,,,
89,03/28/23 07:09:43 PM,99.304,21.855,,,,
90,03/28/23 07:11:43 PM,99.301,21.760,,,,
91,03/28/23 07:13:43 PM,99.296,21.569,,,,
92,03/28/23 07:15:43 PM,99.314,21.473,,,,
93,03/28/23 07:17:43 PM,99.311,21.378,,,,
94,03/28/23 07:19:43 PM,99.296,21.187,,,,
95,03/28/23 07:21:43 PM,99.304,21.091,,,,
96,03/28/23 07:23:43 PM,99.311,20.996,,,,
97,03/28/23 07:25:43 PM,99.309,20.901,,,,
98,03/28/23 07:27:43 PM,99.306,20.805,,,,
99,03/28/23 07:29:43 PM,99.334,20.710,,,,
100,03/28/23 07:31:43 PM,99.321,20.615,,,,
101,03/28/23 07:33:43 PM,99.318,20.519,,,,
102,03/28/23 07:35:43 PM,99.318,20.519,,,,
103,03/28/23 07:37:43 PM,99.316,20.424,,,,
104,03/28/23 07:39:43 PM,99.323,20.329,,,,
105,03/28/23 07:41:43 PM,99.331,20.234,,,,
106,03/28/23 07:43:43 PM,99.328,20.138,,,,
107,03/28/23 07:45:43 PM,99.328,20.138,,,,
108,03/28/23 07:47:43 PM,99.326,20.043,,,,
109,03/28/23 07:49:43 PM,99.323,19.948,,,,
110,03/28/23 07:51:43 PM,99.293,19.948,,,,
111,03/28/23 07:53:43 PM,99.311,19.853,,,,
112,03/28/23 07:55:43 PM,99.308,19.758,,,,
113,03/28/23 07:57:43 PM,99.318,19.758,,,,
114,03/28/23 07:59:43 PM,99.316,19.662,,,,
115,03/28/23 08:01:43 PM,99.313,19.567,,,,
116,03/28/23 08:03:43 PM,99.323,19.567,,,,
117,03/28/23 08:05:43 PM,99.311,19.472,,,,
118,03/28/23 08:07:43 PM,99.331,19.472,,,,
119,03/28/23 08:09:43 PM,99.328,19.377,,,,
120,03/28/23 08:11:43 PM,99.318,19.377,,,,
121,03/28/23 08:13:43 PM,99.336,19.282,,,,
122,03/28/23 08:15:43 PM,99.326,19.282,,,,
123,03/28/23 08:17:43 PM,99.323,19.187,,,,
124,03/28/23 08:19:43 PM,99.331,19.092,,,,
125,03/28/23 08:21:43 PM,99.331,19.092,,,,
126,03/28/23 08:23:43 PM,99.341,19.092,,,,
127,03/28/23 08:25:43 PM,99.328,18.996,,,,
128,03/28/23 08:27:43 PM,99.338,18.996,,,,
129,03/28/23 08:29:43 PM,99.338,18.996,,,,
130,03/28/23 08:31:43 PM,99.338,18.996,,,,
131,03/28/23 08:33:43 PM,99.326,18.901,,,,
132,03/28/23 08:35:43 PM,99.336,18.901,,,,
133,03/28/23 08:37:43 PM,99.326,18.901,,,,
134,03/28/23 08:39:43 PM,99.333,18.806,,,,
135,03/28/23 08:41:43 PM,99.333,18.806,,,,
136,03/28/23 08:43:43 PM,99.341,18.711,,,,
137,03/28/23 08:45:43 PM,99.341,18.711,,,,
138,03/28/23 08:47:43 PM,99.341,18.711,,,,
139,03/28/23 08:49:43 PM,99.341,18.711,,,,
140,03/28/23 08:51:43 PM,99.338,18.616,,,,
141,03/28/23 08:53:43 PM,99.338,18.616,,,,
142,03/28/23 08:55:43 PM,99.338,18.616,,,,
143,03/28/23 08:57:43 PM,99.328,18.616,,,,
