"Plot Title: s1"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 21248002, SEN S/N: 21248002)","Temp, °C (LGR S/N: 21248002, SEN S/N: 21248002)","Coupler Detached (LGR S/N: 21248002)","Coupler Attached (LGR S/N: 21248002)","Stopped (LGR S/N: 21248002)","End Of File (LGR S/N: 21248002)"
1,03/28/23 02:31:58 PM,99.814,23.677,,,,
2,03/28/23 02:32:04 PM,,,Logged,,,
3,03/28/23 02:33:58 PM,99.843,24.835,,,,
4,03/28/23 02:35:58 PM,99.828,24.738,,,,
5,03/28/23 02:37:58 PM,99.815,24.351,,,,
6,03/28/23 02:39:58 PM,99.820,24.158,,,,
7,03/28/23 02:41:58 PM,99.799,23.869,,,,
8,03/28/23 02:43:58 PM,99.792,23.677,,,,
9,03/28/23 02:45:58 PM,99.796,23.484,,,,
10,03/28/23 02:47:58 PM,99.800,23.292,,,,
11,03/28/23 02:49:58 PM,99.786,23.196,,,,
12,03/28/23 02:51:58 PM,99.782,23.100,,,,
13,03/28/23 02:53:58 PM,99.775,22.908,,,,
14,03/28/23 02:55:58 PM,99.750,22.812,,,,
15,03/28/23 02:57:58 PM,99.779,22.717,,,,
16,03/28/23 02:59:58 PM,99.765,22.621,,,,
17,03/28/23 03:01:58 PM,99.765,22.621,,,,
18,03/28/23 03:03:58 PM,99.761,22.525,,,,
19,03/28/23 03:05:58 PM,99.761,22.525,,,,
20,03/28/23 03:07:58 PM,99.747,22.429,,,,
21,03/28/23 03:09:58 PM,99.769,22.429,,,,
22,03/28/23 03:11:58 PM,99.743,22.333,,,,
23,03/28/23 03:13:58 PM,99.754,22.333,,,,
24,03/28/23 03:15:58 PM,99.732,22.333,,,,
25,03/28/23 03:17:58 PM,99.743,22.333,,,,
26,03/28/23 03:19:58 PM,99.732,22.333,,,,
27,03/28/23 03:21:58 PM,99.732,22.333,,,,
28,03/28/23 03:23:58 PM,99.743,22.333,,,,
29,03/28/23 03:25:58 PM,99.736,22.429,,,,
30,03/28/23 03:27:58 PM,99.747,22.429,,,,
31,03/28/23 03:29:58 PM,99.747,22.429,,,,
32,03/28/23 03:31:58 PM,99.747,22.429,,,,
33,03/28/23 03:33:58 PM,99.758,22.429,,,,
34,03/28/23 03:35:58 PM,99.743,22.333,,,,
35,03/28/23 03:37:58 PM,99.732,22.333,,,,
36,03/28/23 03:39:58 PM,99.743,22.333,,,,
37,03/28/23 03:41:58 PM,99.732,22.333,,,,
38,03/28/23 03:43:58 PM,99.722,22.333,,,,
39,03/28/23 03:45:58 PM,99.732,22.333,,,,
40,03/28/23 03:47:58 PM,99.711,22.333,,,,
41,03/28/23 03:49:58 PM,99.722,22.333,,,,
42,03/28/23 03:51:58 PM,99.732,22.333,,,,
43,03/28/23 03:53:58 PM,99.732,22.333,,,,
44,03/28/23 03:55:58 PM,99.722,22.333,,,,
45,03/28/23 03:57:58 PM,99.722,22.333,,,,
46,03/28/23 03:59:58 PM,99.722,22.333,,,,
47,03/28/23 04:01:58 PM,99.711,22.333,,,,
48,03/28/23 04:03:58 PM,99.729,22.238,,,,
49,03/28/23 04:05:58 PM,99.696,22.238,,,,
50,03/28/23 04:07:58 PM,99.707,22.238,,,,
51,03/28/23 04:09:58 PM,99.707,22.238,,,,
52,03/28/23 04:11:58 PM,99.718,22.238,,,,
53,03/28/23 04:13:58 PM,99.703,22.142,,,,
54,03/28/23 04:15:58 PM,99.703,22.142,,,,
55,03/28/23 04:17:58 PM,99.703,22.142,,,,
56,03/28/23 04:19:58 PM,99.714,22.142,,,,
57,03/28/23 04:21:58 PM,99.703,22.142,,,,
58,03/28/23 04:23:58 PM,99.703,22.142,,,,
59,03/28/23 04:25:58 PM,99.703,22.142,,,,
60,03/28/23 04:27:58 PM,99.693,22.142,,,,
61,03/28/23 04:29:58 PM,99.703,22.142,,,,
62,03/28/23 04:31:58 PM,99.703,22.142,,,,
63,03/28/23 04:33:58 PM,99.703,22.142,,,,
64,03/28/23 04:35:58 PM,99.703,22.142,,,,
65,03/28/23 04:37:58 PM,99.682,22.142,,,,
66,03/28/23 04:39:58 PM,99.693,22.142,,,,
67,03/28/23 04:41:58 PM,99.682,22.142,,,,
68,03/28/23 04:43:58 PM,99.693,22.142,,,,
69,03/28/23 04:45:58 PM,99.682,22.142,,,,
70,03/28/23 04:47:58 PM,99.682,22.142,,,,
71,03/28/23 04:49:58 PM,99.671,22.142,,,,
72,03/28/23 04:51:58 PM,99.671,22.142,,,,
73,03/28/23 04:53:58 PM,99.682,22.142,,,,
74,03/28/23 04:55:58 PM,99.660,22.142,,,,
75,03/28/23 04:57:58 PM,99.660,22.142,,,,
76,03/28/23 04:59:58 PM,99.652,22.238,,,,
77,03/28/23 05:01:58 PM,99.652,22.238,,,,
78,03/28/23 05:03:58 PM,99.663,22.238,,,,
79,03/28/23 05:05:58 PM,99.674,22.238,,,,
80,03/28/23 05:07:58 PM,99.674,22.238,,,,
81,03/28/23 05:09:58 PM,99.685,22.238,,,,
82,03/28/23 05:11:58 PM,99.674,22.238,,,,
83,03/28/23 05:13:58 PM,99.674,22.238,,,,
84,03/28/23 05:15:58 PM,99.652,22.238,,,,
85,03/28/23 05:17:58 PM,99.674,22.238,,,,
86,03/28/23 05:19:58 PM,99.674,22.238,,,,
87,03/28/23 05:21:58 PM,99.674,22.238,,,,
88,03/28/23 05:23:58 PM,99.685,22.238,,,,
89,03/28/23 05:25:58 PM,99.674,22.238,,,,
90,03/28/23 05:27:58 PM,99.663,22.238,,,,
91,03/28/23 05:29:58 PM,99.674,22.238,,,,
92,03/28/23 05:31:58 PM,99.674,22.238,,,,
93,03/28/23 05:33:58 PM,99.652,22.238,,,,
94,03/28/23 05:35:58 PM,99.663,22.238,,,,
95,03/28/23 05:37:58 PM,99.660,22.142,,,,
96,03/28/23 05:39:58 PM,99.671,22.142,,,,
97,03/28/23 05:41:58 PM,99.671,22.142,,,,
98,03/28/23 05:43:58 PM,99.682,22.142,,,,
99,03/28/23 05:45:58 PM,99.667,22.046,,,,
100,03/28/23 05:47:58 PM,99.678,22.046,,,,
101,03/28/23 05:49:58 PM,99.678,22.046,,,,
102,03/28/23 05:51:58 PM,99.678,22.046,,,,
103,03/28/23 05:53:58 PM,99.667,22.046,,,,
104,03/28/23 05:55:58 PM,99.664,21.951,,,,
105,03/28/23 05:57:58 PM,99.664,21.951,,,,
106,03/28/23 05:59:58 PM,99.642,21.951,,,,
107,03/28/23 06:01:58 PM,99.653,21.951,,,,
108,03/28/23 06:03:58 PM,99.653,21.951,,,,
109,03/28/23 06:05:58 PM,99.660,21.855,,,,
110,03/28/23 06:07:58 PM,99.649,21.855,,,,
111,03/28/23 06:09:58 PM,99.649,21.855,,,,
112,03/28/23 06:11:58 PM,99.660,21.855,,,,
113,03/28/23 06:13:58 PM,99.649,21.855,,,,
114,03/28/23 06:15:58 PM,99.645,21.760,,,,
115,03/28/23 06:17:58 PM,99.645,21.760,,,,
116,03/28/23 06:19:58 PM,99.645,21.760,,,,
117,03/28/23 06:21:58 PM,99.645,21.760,,,,
118,03/28/23 06:23:58 PM,99.642,21.664,,,,
119,03/28/23 06:25:58 PM,99.642,21.664,,,,
120,03/28/23 06:27:58 PM,99.653,21.664,,,,
121,03/28/23 06:29:58 PM,99.638,21.569,,,,
122,03/28/23 06:31:58 PM,99.638,21.569,,,,
123,03/28/23 06:33:58 PM,99.649,21.569,,,,
124,03/28/23 06:35:58 PM,99.646,21.473,,,,
125,03/28/23 06:37:58 PM,99.653,21.378,,,,
126,03/28/23 06:39:58 PM,99.653,21.378,,,,
127,03/28/23 06:41:58 PM,99.638,21.282,,,,
128,03/28/23 06:43:58 PM,99.635,21.187,,,,
129,03/28/23 06:45:58 PM,99.642,21.091,,,,
130,03/28/23 06:47:58 PM,99.638,20.996,,,,
131,03/28/23 06:49:58 PM,99.649,20.996,,,,
132,03/28/23 06:51:58 PM,99.634,20.901,,,,
133,03/28/23 06:53:58 PM,99.620,20.805,,,,
134,03/28/23 06:55:58 PM,99.638,20.710,,,,
135,03/28/23 06:57:58 PM,99.634,20.615,,,,
136,03/28/23 06:59:58 PM,99.641,20.519,,,,
137,03/28/23 07:01:58 PM,99.638,20.424,,,,
138,03/28/23 07:03:58 PM,99.634,20.329,,,,
139,03/28/23 07:05:58 PM,99.630,20.234,,,,
140,03/28/23 07:07:58 PM,99.626,20.138,,,,
141,03/28/23 07:09:58 PM,99.634,20.043,,,,
142,03/28/23 07:11:58 PM,99.619,19.948,,,,
143,03/28/23 07:13:58 PM,99.604,19.853,,,,
144,03/28/23 07:15:58 PM,99.622,19.758,,,,
145,03/28/23 07:17:58 PM,99.622,19.758,,,,
146,03/28/23 07:19:58 PM,99.629,19.662,,,,
147,03/28/23 07:21:58 PM,99.614,19.567,,,,
148,03/28/23 07:23:58 PM,99.625,19.567,,,,
149,03/28/23 07:25:58 PM,99.643,19.472,,,,
150,03/28/23 07:27:58 PM,99.629,19.377,,,,
151,03/28/23 07:29:58 PM,99.636,19.282,,,,
152,03/28/23 07:31:58 PM,99.632,19.187,,,,
153,03/28/23 07:33:58 PM,99.639,19.092,,,,
154,03/28/23 07:35:58 PM,99.624,18.996,,,,
155,03/28/23 07:37:58 PM,99.624,18.996,,,,
156,03/28/23 07:39:58 PM,99.631,18.901,,,,
157,03/28/23 07:41:58 PM,99.631,18.901,,,,
158,03/28/23 07:43:58 PM,99.631,18.901,,,,
159,03/28/23 07:45:58 PM,99.620,18.901,,,,
160,03/28/23 07:47:58 PM,99.638,18.806,,,,
161,03/28/23 07:49:58 PM,99.638,18.806,,,,
162,03/28/23 07:51:58 PM,99.623,18.711,,,,
163,03/28/23 07:53:58 PM,99.619,18.616,,,,
164,03/28/23 07:55:58 PM,99.630,18.616,,,,
165,03/28/23 07:57:58 PM,99.626,18.521,,,,
166,03/28/23 07:59:58 PM,99.637,18.521,,,,
167,03/28/23 08:01:58 PM,99.637,18.521,,,,
168,03/28/23 08:03:58 PM,99.626,18.521,,,,
169,03/28/23 08:05:58 PM,99.626,18.521,,,,
170,03/28/23 08:07:58 PM,99.622,18.426,,,,
171,03/28/23 08:09:58 PM,99.633,18.426,,,,
172,03/28/23 08:11:58 PM,99.633,18.426,,,,
173,03/28/23 08:13:58 PM,99.629,18.331,,,,
174,03/28/23 08:15:58 PM,99.614,18.236,,,,
175,03/28/23 08:17:58 PM,99.636,18.236,,,,
176,03/28/23 08:19:58 PM,99.625,18.236,,,,
177,03/28/23 08:21:58 PM,99.632,18.140,,,,
178,03/28/23 08:23:58 PM,99.632,18.140,,,,
179,03/28/23 08:25:58 PM,99.632,18.140,,,,
180,03/28/23 08:27:58 PM,99.654,18.140,,,,
181,03/28/23 08:29:58 PM,99.650,18.045,,,,
182,03/28/23 08:31:58 PM,99.624,17.950,,,,
183,03/28/23 08:33:58 PM,99.646,17.950,,,,
184,03/28/23 08:35:58 PM,99.624,17.950,,,,
185,03/28/23 08:37:58 PM,99.624,17.950,,,,
186,03/28/23 08:39:58 PM,99.635,17.950,,,,
