Date,Difference
2023-03-16T18:18:59Z,0
2023-03-16T18:23:10Z,1
2023-03-16T18:27:46Z,1
2023-03-16T18:34:28Z,1
2023-03-16T18:58:43Z,1
2023-03-16T19:07:12Z,1
2023-03-16T23:22:56Z,1
2023-03-17T00:10:06Z,1
2023-03-17T04:43:57Z,1
2023-03-17T17:17:41Z,1
2023-03-17T17:18:07Z,1
2023-03-17T17:18:23Z,1
2023-03-17T17:18:39Z,1
2023-03-17T17:19:02Z,1
2023-03-17T17:19:34Z,1
2023-03-17T17:20:20Z,1
2023-03-17T17:20:59Z,1
2023-03-17T17:21:30Z,1
2023-03-17T17:21:48Z,1
2023-03-17T17:22:05Z,1
2023-03-17T17:22:26Z,1
2023-03-17T17:22:54Z,1
2023-03-17T17:23:25Z,1
2023-03-17T17:23:53Z,1
2023-03-17T17:24:44Z,1
2023-03-17T17:25:13Z,1
2023-03-17T17:25:32Z,1
2023-03-17T17:25:52Z,1
2023-03-17T17:26:11Z,1
2023-03-17T17:26:31Z,1
2023-03-17T17:26:47Z,1
2023-03-17T17:26:59Z,1
2023-03-17T17:27:10Z,1
2023-03-17T17:27:19Z,1
2023-03-17T17:27:28Z,1
2023-03-17T17:27:36Z,1
2023-03-17T17:27:43Z,1
2023-03-17T17:27:51Z,1
2023-03-17T17:27:59Z,1
2023-03-17T17:28:10Z,1
2023-03-17T17:28:22Z,1
2023-03-17T17:28:36Z,1
2023-03-17T17:28:54Z,1
2023-03-17T17:29:12Z,1
2023-03-17T17:29:39Z,1
2023-03-17T17:29:58Z,1
2023-03-17T17:30:19Z,1
2023-03-17T17:30:39Z,1
2023-03-17T17:31:04Z,1
2023-03-17T17:31:27Z,1
2023-03-17T17:31:45Z,1
2023-03-17T17:31:59Z,1
2023-03-17T17:32:14Z,1
2023-03-17T17:32:28Z,1
2023-03-17T17:32:37Z,1
2023-03-17T17:32:46Z,1
2023-03-17T17:32:55Z,1
2023-03-17T17:33:04Z,1
2023-03-17T17:33:14Z,1
2023-03-17T17:33:25Z,1
2023-03-17T17:33:36Z,1
2023-03-17T17:33:46Z,1
2023-03-17T17:33:56Z,1
2023-03-17T17:34:10Z,1
2023-03-17T17:34:23Z,1
2023-03-17T17:34:33Z,1
2023-03-17T17:34:44Z,1
2023-03-17T17:34:56Z,1
2023-03-17T17:35:08Z,1
2023-03-17T17:35:21Z,1
2023-03-17T17:35:36Z,1
2023-03-17T17:35:53Z,1
2023-03-17T17:36:11Z,1
2023-03-17T17:36:30Z,1
2023-03-17T17:36:53Z,1
2023-03-17T17:37:18Z,1
2023-03-17T17:37:43Z,1
2023-03-17T17:38:06Z,1
2023-03-17T17:38:23Z,1
2023-03-17T17:38:36Z,1
2023-03-17T17:38:50Z,1
2023-03-17T17:39:04Z,1
2023-03-17T17:39:23Z,1
2023-03-17T17:39:52Z,1
2023-03-17T17:40:27Z,1
2023-03-17T17:40:52Z,1
2023-03-17T17:41:25Z,1
2023-03-17T17:41:46Z,1
2023-03-17T17:42:14Z,1
2023-03-17T17:42:39Z,1
2023-03-17T17:43:05Z,1
2023-03-17T17:43:24Z,1
2023-03-17T17:44:00Z,1
2023-03-17T17:44:47Z,1
2023-03-17T17:45:41Z,1
2023-03-17T17:46:24Z,1
2023-03-17T17:47:13Z,1
2023-03-17T17:47:35Z,1
2023-03-17T17:47:50Z,1
2023-03-17T17:48:04Z,1
2023-03-17T17:48:20Z,1
2023-03-17T17:48:35Z,1
2023-03-17T17:48:49Z,1
2023-03-17T17:49:01Z,1
2023-03-17T17:49:11Z,1
2023-03-17T17:49:20Z,1
2023-03-17T17:49:30Z,1
2023-03-17T17:49:39Z,1
2023-03-17T17:49:47Z,1
2023-03-17T17:49:54Z,1
2023-03-17T17:50:01Z,1
2023-03-17T17:50:07Z,1
2023-03-17T17:50:13Z,1
2023-03-17T17:50:18Z,1
2023-03-17T17:50:24Z,1
2023-03-17T17:50:28Z,1
2023-03-17T17:50:32Z,1
2023-03-17T17:50:36Z,1
2023-03-17T17:50:41Z,1
2023-03-17T17:50:45Z,1
2023-03-17T17:50:49Z,1
2023-03-17T17:50:53Z,1
2023-03-17T17:50:57Z,1
2023-03-17T17:51:01Z,1
2023-03-17T17:51:05Z,1
2023-03-17T17:51:08Z,1
2023-03-17T17:51:12Z,1
2023-03-17T17:51:15Z,1
