Date,Difference
2023-03-28T12:56:02Z,0
2023-03-29T17:44:49Z,1
2023-03-31T13:17:45Z,1
2023-03-31T13:18:30Z,1
2023-03-31T13:19:22Z,1
2023-03-31T13:20:16Z,1
2023-03-31T13:20:43Z,1
2023-03-31T13:21:17Z,1
2023-03-31T13:21:48Z,1
2023-03-31T13:22:26Z,1
2023-03-31T13:22:52Z,1
2023-03-31T13:23:12Z,1
2023-03-31T13:23:31Z,1
2023-03-31T13:23:54Z,1
2023-03-31T13:23:55Z,1
2023-03-31T13:24:18Z,1
2023-03-31T13:24:53Z,1
2023-03-31T13:25:33Z,1
2023-03-31T16:12:29Z,1
2023-03-31T16:13:48Z,1
2023-03-31T16:14:21Z,1
2023-03-31T16:14:49Z,1
2023-03-31T16:15:31Z,1
2023-03-31T16:17:52Z,1
2023-04-03T19:33:52Z,1
2023-04-12T10:22:32Z,1
2023-04-12T10:34:55Z,1
2023-04-12T10:44:40Z,1
2023-04-12T10:51:11Z,1
2023-04-12T10:51:12Z,1
2023-04-12T10:57:17Z,1
2023-04-12T11:03:40Z,1
2023-04-12T11:10:18Z,1
2023-04-12T11:19:09Z,1
2023-04-12T11:20:22Z,1
2023-04-12T11:22:09Z,1
2023-04-12T11:23:57Z,1
2023-04-12T11:26:43Z,1
2023-04-12T11:29:27Z,1
2023-04-12T11:33:59Z,1
2023-04-12T11:39:08Z,1
2023-04-12T11:47:21Z,1
2023-04-12T11:58:17Z,1
2023-04-12T12:17:35Z,1
2023-04-12T12:45:45Z,1
2023-04-12T13:40:44Z,1
2023-04-12T14:59:23Z,1
2023-04-12T21:09:20Z,1
2023-04-12T21:13:45Z,1
2023-04-12T21:18:03Z,1
2023-04-12T21:20:26Z,1
2023-04-12T21:23:11Z,1
2023-04-12T21:25:09Z,1
2023-04-12T21:27:25Z,1
2023-04-12T21:29:08Z,1
2023-04-12T21:31:25Z,1
2023-04-12T21:32:42Z,1
2023-04-12T21:34:13Z,1
2023-04-12T21:35:12Z,1
2023-04-12T21:36:24Z,1
2023-04-12T21:37:06Z,1
2023-04-12T21:38:03Z,1
2023-04-12T21:38:46Z,1
2023-04-12T21:39:44Z,1
2023-04-12T21:40:25Z,1
2023-04-12T21:41:21Z,1
2023-04-12T21:42:04Z,1
2023-04-12T21:43:01Z,1
2023-04-12T21:43:46Z,1
2023-04-12T21:44:45Z,1
2023-04-12T21:45:32Z,1
2023-04-12T21:46:33Z,1
2023-04-12T21:47:22Z,1
2023-04-12T21:48:23Z,1
2023-04-12T21:49:13Z,1
2023-04-12T21:50:17Z,1
2023-04-12T21:51:09Z,1
2023-04-12T21:52:15Z,1
2023-04-12T21:53:09Z,1
2023-04-12T21:54:19Z,1
2023-04-12T21:54:20Z,1
2023-04-12T21:55:16Z,1
2023-04-12T21:56:28Z,1
2023-04-12T21:57:28Z,1
2023-04-12T21:58:43Z,1
2023-04-12T21:59:48Z,1
2023-04-12T22:01:09Z,1
2023-04-12T22:02:16Z,1
2023-04-12T22:03:40Z,1
2023-04-12T22:04:49Z,1
2023-04-12T22:06:17Z,1
2023-04-12T22:07:30Z,1
2023-04-12T22:09:02Z,1
2023-04-12T22:10:18Z,1
2023-04-12T22:11:54Z,1
2023-04-12T22:13:13Z,1
2023-04-12T22:14:53Z,1
2023-04-12T22:16:16Z,1
2023-04-12T22:18:01Z,1
2023-04-12T22:19:28Z,1
2023-04-12T22:21:19Z,1
2023-04-12T22:22:51Z,1
2023-04-12T22:24:47Z,1
2023-04-12T22:26:22Z,1
2023-04-12T22:28:26Z,1
2023-04-12T22:30:06Z,1
2023-04-12T22:32:13Z,1
2023-04-12T22:33:57Z,1
2023-04-12T22:36:09Z,1
2023-04-12T22:37:58Z,1
2023-04-12T22:40:16Z,1
2023-04-12T22:42:09Z,1
2023-04-12T22:44:34Z,1
2023-04-12T22:46:34Z,1
2023-04-12T22:49:07Z,1
2023-04-12T22:51:13Z,1
2023-04-12T22:53:54Z,1
2023-04-12T22:56:08Z,1
2023-04-12T22:59:00Z,1
2023-04-12T23:01:22Z,1
2023-04-12T23:04:25Z,1
2023-04-12T23:06:56Z,1
2023-04-12T23:10:12Z,1
2023-04-12T23:12:53Z,1
2023-04-12T23:16:20Z,1
2023-04-12T23:19:10Z,1
2023-04-12T23:22:54Z,1
2023-04-12T23:25:59Z,1
2023-04-12T23:30:04Z,1
2023-04-12T23:33:26Z,1
2023-04-12T23:37:50Z,1
2023-04-12T23:41:31Z,1
2023-04-12T23:46:23Z,1
2023-04-12T23:50:27Z,1
2023-04-12T23:55:55Z,1
2023-04-13T00:00:34Z,1
2023-04-13T00:06:45Z,1
2023-04-13T00:12:04Z,1
2023-04-13T00:19:05Z,1
2023-04-13T00:19:06Z,1
2023-04-13T00:25:08Z,1
2023-04-13T00:32:53Z,1
2023-04-13T00:39:27Z,1
2023-04-13T00:48:10Z,1
2023-04-13T00:55:40Z,1
2023-04-13T01:05:37Z,1
2023-04-13T01:14:14Z,1
2023-04-13T01:25:38Z,1
2023-04-13T01:35:37Z,1
2023-04-13T01:48:37Z,1
2023-04-13T01:48:38Z,1
2023-04-13T02:00:19Z,1
2023-04-13T02:15:03Z,1
2023-04-13T02:27:45Z,1
2023-04-13T02:45:23Z,1
2023-04-13T03:01:39Z,1
2023-04-13T03:23:56Z,1
2023-04-13T03:44:03Z,1
2023-04-13T04:11:38Z,1
2023-04-13T04:11:39Z,1
2023-04-13T04:37:30Z,1
2023-04-13T05:16:15Z,1
2023-04-13T05:54:44Z,1
2023-04-13T06:51:39Z,1
2023-04-13T07:49:24Z,1
2023-04-13T09:17:43Z,1
2023-04-13T10:26:28Z,1
2023-04-13T11:52:11Z,1
2023-04-13T13:24:11Z,1
2023-04-13T16:07:03Z,1
2023-04-13T18:53:32Z,1
2023-04-13T20:16:17Z,1
2023-04-13T21:09:00Z,1
2023-04-13T21:38:07Z,1
2023-04-19T16:40:46Z,1
2023-04-19T17:49:32Z,1
2023-04-19T18:18:28Z,1
2023-04-19T19:05:17Z,1
2023-04-19T19:55:02Z,1
2023-04-19T20:57:39Z,1
2023-04-19T22:34:32Z,1
2023-04-22T14:22:14Z,0
