"Plot Title: N2"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10566162, SEN S/N: 10566162)","Temp, °C (LGR S/N: 10566162, SEN S/N: 10566162)","Coupler Detached (LGR S/N: 10566162)","Coupler Attached (LGR S/N: 10566162)","Stopped (LGR S/N: 10566162)","End Of File (LGR S/N: 10566162)"
1,03/16/23 03:50:52 PM,100.057,21.569,Logged,,,
2,03/16/23 04:50:52 PM,100.087,20.805,,,,
3,03/16/23 05:50:52 PM,100.084,20.710,,,,
4,03/16/23 06:50:52 PM,100.196,20.710,,,,
5,03/16/23 07:50:52 PM,100.207,20.710,,,,
6,03/16/23 08:50:52 PM,100.229,20.710,,,,
7,03/16/23 09:50:52 PM,100.218,20.710,,,,
8,03/16/23 10:50:52 PM,100.207,20.710,,,,
9,03/16/23 11:50:52 PM,100.207,20.710,,,,
10,03/17/23 12:50:52 AM,100.240,20.710,,,,
11,03/17/23 01:50:52 AM,100.240,20.710,,,,
12,03/17/23 02:50:52 AM,100.229,20.710,,,,
13,03/17/23 03:50:52 AM,100.218,20.710,,,,
14,03/17/23 04:50:52 AM,100.207,20.710,,,,
15,03/17/23 05:50:52 AM,100.229,20.710,,,,
16,03/17/23 06:50:52 AM,100.274,20.710,,,,
17,03/17/23 07:50:52 AM,100.319,20.710,,,,
18,03/17/23 08:50:52 AM,100.374,20.710,,,,
19,03/17/23 09:50:52 AM,100.441,20.710,,,,
20,03/17/23 10:50:52 AM,100.453,20.710,,,,
21,03/17/23 11:50:52 AM,100.441,20.710,,,,
22,03/17/23 12:50:52 PM,100.330,20.710,,,,
23,03/17/23 01:50:52 PM,100.240,20.710,,,,
24,03/17/23 02:50:52 PM,100.374,20.710,,,,
25,03/17/23 03:50:52 PM,100.352,20.710,,,,
26,03/17/23 04:50:52 PM,100.352,20.710,,,,
27,03/17/23 05:50:52 PM,100.341,20.710,,,,
28,03/17/23 06:50:52 PM,100.397,20.710,,,,
29,03/17/23 07:50:52 PM,100.319,20.710,,,,
30,03/17/23 08:50:52 PM,100.408,20.710,,,,
31,03/17/23 09:50:52 PM,100.430,20.710,,,,
32,03/17/23 10:50:52 PM,100.464,20.710,,,,
33,03/17/23 11:50:52 PM,100.486,20.710,,,,
34,03/18/23 12:50:52 AM,100.497,20.710,,,,
35,03/18/23 01:50:52 AM,100.430,20.710,,,,
