"Plot Title: bar3 nuevo"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552290, SEN S/N: 20552290)","Temp, °C (LGR S/N: 20552290, SEN S/N: 20552290)","Coupler Detached (LGR S/N: 20552290)","Coupler Attached (LGR S/N: 20552290)","Stopped (LGR S/N: 20552290)","End Of File (LGR S/N: 20552290)"
1,03/28/23 03:00:14 PM,99.526,25.902,,,,
2,03/28/23 03:00:29 PM,,,Logged,,,
3,03/28/23 03:02:14 PM,99.528,26.879,,,,
4,03/28/23 03:04:14 PM,99.541,27.468,,,,
5,03/28/23 03:06:14 PM,99.518,27.370,,,,
6,03/28/23 03:08:14 PM,99.520,27.173,,,,
7,03/28/23 03:10:14 PM,99.522,26.977,,,,
8,03/28/23 03:12:14 PM,99.514,26.781,,,,
9,03/28/23 03:14:14 PM,99.516,26.585,,,,
10,03/28/23 03:16:14 PM,99.517,26.390,,,,
11,03/28/23 03:18:14 PM,99.503,26.292,,,,
12,03/28/23 03:20:14 PM,99.495,26.097,,,,
13,03/28/23 03:22:14 PM,99.491,26.000,,,,
14,03/28/23 03:24:14 PM,99.487,25.902,,,,
15,03/28/23 03:26:14 PM,99.497,25.902,,,,
16,03/28/23 03:28:14 PM,99.492,25.805,,,,
17,03/28/23 03:30:14 PM,99.488,25.708,,,,
18,03/28/23 03:32:14 PM,99.504,25.610,,,,
19,03/28/23 03:34:14 PM,99.494,25.610,,,,
20,03/28/23 03:36:14 PM,99.509,25.513,,,,
21,03/28/23 03:38:14 PM,99.495,25.416,,,,
22,03/28/23 03:40:14 PM,99.495,25.416,,,,
23,03/28/23 03:42:14 PM,99.495,25.416,,,,
24,03/28/23 03:44:14 PM,99.471,25.319,,,,
25,03/28/23 03:46:14 PM,99.491,25.319,,,,
26,03/28/23 03:48:14 PM,99.481,25.319,,,,
27,03/28/23 03:50:14 PM,99.477,25.222,,,,
28,03/28/23 03:52:14 PM,99.467,25.222,,,,
29,03/28/23 03:54:14 PM,99.467,25.222,,,,
30,03/28/23 03:56:14 PM,99.477,25.222,,,,
31,03/28/23 03:58:14 PM,99.477,25.222,,,,
32,03/28/23 04:00:14 PM,99.457,25.222,,,,
33,03/28/23 04:02:14 PM,99.457,25.222,,,,
34,03/28/23 04:04:14 PM,99.467,25.222,,,,
35,03/28/23 04:06:14 PM,99.457,25.222,,,,
36,03/28/23 04:08:14 PM,99.467,25.222,,,,
37,03/28/23 04:10:14 PM,99.457,25.222,,,,
38,03/28/23 04:12:14 PM,99.457,25.222,,,,
39,03/28/23 04:14:14 PM,99.447,25.222,,,,
40,03/28/23 04:16:14 PM,99.467,25.222,,,,
41,03/28/23 04:18:14 PM,99.457,25.222,,,,
42,03/28/23 04:20:14 PM,99.457,25.222,,,,
43,03/28/23 04:22:14 PM,99.457,25.222,,,,
44,03/28/23 04:24:14 PM,99.438,25.222,,,,
45,03/28/23 04:26:14 PM,99.457,25.222,,,,
46,03/28/23 04:28:14 PM,99.432,25.319,,,,
47,03/28/23 04:30:14 PM,99.452,25.319,,,,
48,03/28/23 04:32:14 PM,99.461,25.319,,,,
49,03/28/23 04:34:14 PM,99.442,25.319,,,,
50,03/28/23 04:36:14 PM,99.432,25.319,,,,
51,03/28/23 04:38:14 PM,99.442,25.319,,,,
52,03/28/23 04:40:14 PM,99.432,25.319,,,,
53,03/28/23 04:42:14 PM,99.436,25.416,,,,
54,03/28/23 04:44:14 PM,99.427,25.416,,,,
55,03/28/23 04:46:14 PM,99.427,25.416,,,,
56,03/28/23 04:48:14 PM,99.427,25.416,,,,
57,03/28/23 04:50:14 PM,99.417,25.416,,,,
58,03/28/23 04:52:14 PM,99.417,25.416,,,,
59,03/28/23 04:54:14 PM,99.421,25.513,,,,
60,03/28/23 04:56:14 PM,99.402,25.513,,,,
61,03/28/23 04:58:14 PM,99.411,25.513,,,,
62,03/28/23 05:00:14 PM,99.402,25.513,,,,
63,03/28/23 05:02:14 PM,99.411,25.513,,,,
64,03/28/23 05:04:14 PM,99.431,25.513,,,,
65,03/28/23 05:06:14 PM,99.425,25.610,,,,
66,03/28/23 05:08:14 PM,99.425,25.610,,,,
67,03/28/23 05:10:14 PM,99.435,25.610,,,,
68,03/28/23 05:12:14 PM,99.416,25.610,,,,
69,03/28/23 05:14:14 PM,99.416,25.610,,,,
70,03/28/23 05:16:14 PM,99.425,25.610,,,,
71,03/28/23 05:18:14 PM,99.425,25.610,,,,
72,03/28/23 05:20:14 PM,99.416,25.610,,,,
73,03/28/23 05:22:14 PM,99.425,25.610,,,,
74,03/28/23 05:24:14 PM,99.416,25.610,,,,
75,03/28/23 05:26:14 PM,99.425,25.610,,,,
76,03/28/23 05:28:14 PM,99.416,25.610,,,,
77,03/28/23 05:30:14 PM,99.410,25.708,,,,
78,03/28/23 05:32:14 PM,99.420,25.708,,,,
79,03/28/23 05:34:14 PM,99.400,25.708,,,,
80,03/28/23 05:36:14 PM,99.410,25.708,,,,
81,03/28/23 05:38:14 PM,99.410,25.708,,,,
82,03/28/23 05:40:14 PM,99.410,25.708,,,,
83,03/28/23 05:42:14 PM,99.420,25.708,,,,
84,03/28/23 05:44:14 PM,99.420,25.708,,,,
