"Plot Title: n11"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552291, SEN S/N: 20552291)","Temp, °C (LGR S/N: 20552291, SEN S/N: 20552291)","Coupler Detached (LGR S/N: 20552291)","Coupler Attached (LGR S/N: 20552291)","Stopped (LGR S/N: 20552291)","End Of File (LGR S/N: 20552291)"
1,03/28/23 01:28:45 PM,99.529,22.333,,,,
2,03/28/23 01:28:53 PM,,,Logged,,,
3,03/28/23 02:28:45 PM,99.435,21.951,,,,
4,03/28/23 03:28:45 PM,99.370,21.760,,,,
5,03/28/23 04:28:45 PM,99.314,21.760,,,,
6,03/28/23 05:28:45 PM,99.295,21.760,,,,
7,03/28/23 06:28:45 PM,99.295,21.760,,,,
8,03/28/23 07:28:45 PM,99.271,21.664,,,,
9,03/28/23 08:28:45 PM,99.309,21.664,,,,
10,03/28/23 09:28:45 PM,99.309,21.664,,,,
11,03/28/23 10:28:45 PM,99.271,21.664,,,,
12,03/28/23 11:28:45 PM,99.225,21.664,,,,
13,03/29/23 12:28:45 AM,99.215,21.664,,,,
14,03/29/23 01:28:45 AM,99.210,21.569,,,,
15,03/29/23 02:28:45 AM,99.182,21.569,,,,
16,03/29/23 03:28:45 AM,99.117,21.569,,,,
17,03/29/23 04:28:45 AM,99.089,21.569,,,,
18,03/29/23 05:28:45 AM,99.126,21.569,,,,
19,03/29/23 06:28:45 AM,99.192,21.569,,,,
20,03/29/23 07:28:45 AM,99.285,21.569,,,,
21,03/29/23 08:28:45 AM,99.332,21.569,,,,
22,03/29/23 09:28:45 AM,99.369,21.569,,,,
23,03/29/23 10:28:45 AM,99.388,21.569,,,,
24,03/29/23 11:28:45 AM,99.388,21.569,,,,
25,03/29/23 12:28:45 PM,99.416,21.569,,,,
26,03/29/23 01:28:45 PM,99.322,21.569,,,,
27,03/29/23 02:28:45 PM,99.322,21.569,,,,
28,03/29/23 03:28:45 PM,99.313,21.569,,,,
29,03/29/23 04:28:45 PM,99.042,21.569,,,,
30,03/29/23 05:28:45 PM,99.201,21.569,,,,
31,03/29/23 06:28:45 PM,99.276,21.569,,,,
32,03/29/23 07:28:45 PM,99.248,21.569,,,,
33,03/29/23 08:28:45 PM,99.332,21.569,,,,
34,03/29/23 09:28:45 PM,99.322,21.569,,,,
35,03/29/23 10:28:45 PM,99.495,21.473,,,,
36,03/29/23 11:28:45 PM,99.551,21.473,,,,
37,03/30/23 12:28:45 AM,99.513,21.473,,,,
38,03/30/23 01:28:45 AM,99.681,21.473,,,,
39,03/30/23 02:28:45 AM,99.625,21.473,,,,
40,03/30/23 03:28:45 AM,99.588,21.473,,,,
41,03/30/23 04:28:45 AM,99.588,21.473,,,,
42,03/30/23 05:28:45 AM,99.607,21.473,,,,
43,03/30/23 06:28:45 AM,99.663,21.473,,,,
44,03/30/23 07:28:45 AM,99.695,21.378,,,,
45,03/30/23 08:28:45 AM,99.751,21.378,,,,
46,03/30/23 09:28:45 AM,99.784,21.473,,,,
47,03/30/23 10:28:45 AM,99.756,21.473,,,,
48,03/30/23 11:28:45 AM,99.747,21.473,,,,
49,03/30/23 12:28:45 PM,99.691,21.473,,,,
50,03/30/23 01:28:45 PM,99.672,21.473,,,,
51,03/30/23 02:28:45 PM,99.625,21.473,,,,
52,03/30/23 03:28:45 PM,99.597,21.473,,,,
53,03/30/23 04:28:45 PM,99.569,21.473,,,,
54,03/30/23 05:28:45 PM,99.532,21.473,,,,
55,03/30/23 06:28:45 PM,99.564,21.378,,,,
56,03/30/23 07:28:45 PM,99.564,21.378,,,,
57,03/30/23 08:28:45 PM,99.620,21.378,,,,
58,03/30/23 09:28:45 PM,99.639,21.378,,,,
59,03/30/23 10:28:45 PM,99.667,21.378,,,,
60,03/30/23 11:28:45 PM,99.704,21.378,,,,
61,03/31/23 12:28:45 AM,99.714,21.378,,,,
62,03/31/23 01:28:45 AM,99.686,21.378,,,,
63,03/31/23 02:28:45 AM,99.648,21.378,,,,
64,03/31/23 03:28:45 AM,99.639,21.378,,,,
65,03/31/23 04:28:45 AM,99.630,21.378,,,,
66,03/31/23 05:28:45 AM,99.667,21.378,,,,
67,03/31/23 06:28:45 AM,99.676,21.378,,,,
68,03/31/23 07:28:45 AM,99.732,21.378,,,,
69,03/31/23 08:28:45 AM,99.723,21.378,,,,
70,03/31/23 09:28:45 AM,99.770,21.378,,,,
71,03/31/23 10:28:45 AM,99.798,21.378,,,,
72,03/31/23 11:28:45 AM,99.872,21.378,,,,
73,03/31/23 12:28:45 PM,99.938,21.378,,,,
74,03/31/23 01:28:45 PM,99.947,21.378,,,,
75,03/31/23 02:28:45 PM,99.966,21.378,,,,
76,03/31/23 03:28:45 PM,99.910,21.378,,,,
77,03/31/23 04:28:45 PM,99.919,21.378,,,,
78,03/31/23 05:28:45 PM,99.956,21.378,,,,
79,03/31/23 06:28:45 PM,100.031,21.378,,,,
80,03/31/23 07:28:45 PM,100.138,21.282,,,,
81,03/31/23 08:28:45 PM,100.222,21.282,,,,
82,03/31/23 09:28:45 PM,100.287,21.282,,,,
83,03/31/23 10:28:45 PM,100.334,21.282,,,,
84,03/31/23 11:28:45 PM,100.325,21.282,,,,
85,04/01/23 12:28:45 AM,100.306,21.282,,,,
86,04/01/23 01:28:45 AM,100.297,21.282,,,,
87,04/01/23 02:28:45 AM,100.278,21.282,,,,
88,04/01/23 03:28:45 AM,100.297,21.282,,,,
89,04/01/23 04:28:45 AM,100.287,21.282,,,,
90,04/01/23 05:28:45 AM,100.297,21.282,,,,
91,04/01/23 06:28:45 AM,100.344,21.282,,,,
92,04/01/23 07:28:45 AM,100.381,21.282,,,,
93,04/01/23 08:28:45 AM,100.437,21.282,,,,
94,04/01/23 09:28:45 AM,100.465,21.282,,,,
95,04/01/23 10:28:45 AM,100.437,21.282,,,,
96,04/01/23 11:28:45 AM,100.409,21.282,,,,
97,04/01/23 12:28:45 PM,100.344,21.282,,,,
98,04/01/23 01:28:45 PM,100.231,21.282,,,,
99,04/01/23 02:28:45 PM,100.166,21.282,,,,
100,04/01/23 03:28:45 PM,100.101,21.282,,,,
101,04/01/23 04:28:45 PM,100.054,21.282,,,,
102,04/01/23 05:28:45 PM,100.045,21.282,,,,
103,04/01/23 06:28:45 PM,100.017,21.282,,,,
104,04/01/23 07:28:45 PM,100.045,21.282,,,,
105,04/01/23 08:28:45 PM,100.045,21.282,,,,
106,04/01/23 09:28:45 PM,100.058,21.187,,,,
107,04/01/23 10:28:45 PM,100.049,21.187,,,,
108,04/01/23 11:28:45 PM,100.040,21.187,,,,
109,04/02/23 12:28:45 AM,100.040,21.187,,,,
110,04/02/23 01:28:45 AM,100.040,21.187,,,,
111,04/02/23 02:28:45 AM,100.030,21.187,,,,
112,04/02/23 03:28:45 AM,100.030,21.187,,,,
113,04/02/23 04:28:45 AM,100.021,21.187,,,,
114,04/02/23 05:28:45 AM,100.016,21.091,,,,
115,04/02/23 06:28:45 AM,100.044,21.091,,,,
116,04/02/23 07:28:45 AM,100.109,21.091,,,,
117,04/02/23 08:28:45 AM,100.193,21.091,,,,
118,04/02/23 09:28:45 AM,100.249,21.091,,,,
119,04/02/23 10:28:45 AM,100.231,21.091,,,,
120,04/02/23 11:28:45 AM,100.161,21.187,,,,
121,04/02/23 12:28:45 PM,100.086,21.187,,,,
122,04/02/23 01:28:45 PM,99.960,21.091,,,,
123,04/02/23 02:28:45 PM,99.829,21.091,,,,
124,04/02/23 03:28:45 PM,99.773,21.091,,,,
125,04/02/23 04:28:45 PM,99.773,21.091,,,,
126,04/02/23 05:28:45 PM,99.755,21.091,,,,
127,04/02/23 06:28:45 PM,99.792,21.091,,,,
128,04/02/23 07:28:45 PM,99.792,21.091,,,,
129,04/02/23 08:28:45 PM,99.787,20.996,,,,
130,04/02/23 09:28:45 PM,99.777,20.996,,,,
131,04/02/23 10:28:45 PM,99.749,20.996,,,,
132,04/02/23 11:28:45 PM,99.768,20.996,,,,
133,04/03/23 12:28:45 AM,99.703,20.996,,,,
134,04/03/23 01:28:45 AM,99.684,20.996,,,,
135,04/03/23 02:28:45 AM,99.642,20.901,,,,
136,04/03/23 03:28:45 AM,99.614,20.901,,,,
137,04/03/23 04:28:45 AM,99.558,20.901,,,,
138,04/03/23 05:28:45 AM,99.558,20.901,,,,
139,04/03/23 06:28:45 AM,99.595,20.901,,,,
140,04/03/23 07:28:45 AM,99.642,20.901,,,,
141,04/03/23 08:28:45 AM,99.847,20.901,,,,
142,04/03/23 09:28:45 AM,99.875,20.901,,,,
143,04/03/23 10:28:45 AM,99.856,20.901,,,,
144,04/03/23 11:28:45 AM,99.838,20.901,,,,
145,04/03/23 12:28:45 PM,99.810,20.901,,,,
146,04/03/23 01:28:45 PM,99.735,20.901,,,,
147,04/03/23 02:28:45 PM,99.660,20.901,,,,
148,04/03/23 03:28:45 PM,99.655,20.805,,,,
149,04/03/23 04:28:45 PM,99.571,20.805,,,,
150,04/03/23 05:28:45 PM,99.571,20.805,,,,
151,04/03/23 06:28:45 PM,99.562,20.805,,,,
152,04/03/23 07:28:45 PM,99.562,20.805,,,,
153,04/03/23 08:28:45 PM,99.581,20.805,,,,
154,04/03/23 09:28:45 PM,99.762,20.710,,,,
155,04/03/23 10:28:45 PM,99.743,20.710,,,,
156,04/03/23 11:28:45 PM,99.725,20.710,,,,
157,04/04/23 12:28:45 AM,99.706,20.710,,,,
158,04/04/23 01:28:45 AM,99.659,20.710,,,,
159,04/04/23 02:28:45 AM,99.650,20.710,,,,
160,04/04/23 03:28:45 AM,99.594,20.710,,,,
161,04/04/23 04:28:45 AM,99.575,20.710,,,,
162,04/04/23 05:28:45 AM,99.585,20.710,,,,
163,04/04/23 06:28:45 AM,99.659,20.710,,,,
164,04/04/23 07:28:45 AM,99.729,20.615,,,,
165,04/04/23 08:28:45 AM,99.841,20.615,,,,
166,04/04/23 09:28:45 AM,99.953,20.615,,,,
167,04/04/23 10:28:45 AM,99.958,20.710,,,,
168,04/04/23 11:28:45 AM,99.962,20.615,,,,
169,04/04/23 12:28:45 PM,99.943,20.615,,,,
170,04/04/23 01:28:45 PM,99.850,20.615,,,,
171,04/04/23 02:28:45 PM,99.803,20.615,,,,
172,04/04/23 03:28:45 PM,99.803,20.615,,,,
173,04/04/23 04:28:45 PM,99.822,20.615,,,,
174,04/04/23 05:28:45 PM,99.775,20.615,,,,
175,04/04/23 06:28:45 PM,99.813,20.615,,,,
176,04/04/23 07:28:45 PM,99.822,20.615,,,,
177,04/04/23 08:28:45 PM,99.915,20.615,,,,
178,04/04/23 09:28:45 PM,99.943,20.615,,,,
179,04/04/23 10:28:45 PM,99.975,20.519,,,,
180,04/04/23 11:28:45 PM,99.975,20.519,,,,
181,04/05/23 12:28:45 AM,99.985,20.519,,,,
182,04/05/23 01:28:45 AM,100.031,20.519,,,,
183,04/05/23 02:28:45 AM,100.050,20.519,,,,
184,04/05/23 03:28:45 AM,99.947,20.519,,,,
185,04/05/23 04:28:45 AM,99.947,20.519,,,,
186,04/05/23 05:28:45 AM,99.994,20.519,,,,
187,04/05/23 06:28:45 AM,100.022,20.519,,,,
188,04/05/23 07:28:45 AM,100.078,20.519,,,,
189,04/05/23 08:28:45 AM,100.153,20.519,,,,
190,04/05/23 09:28:45 AM,100.190,20.519,,,,
191,04/05/23 10:28:45 AM,100.162,20.519,,,,
192,04/05/23 11:28:45 AM,100.097,20.519,,,,
193,04/05/23 12:28:45 PM,100.031,20.519,,,,
194,04/05/23 01:28:45 PM,99.966,20.519,,,,
195,04/05/23 02:28:45 PM,99.901,20.519,,,,
196,04/05/23 03:28:45 PM,99.864,20.519,,,,
197,04/05/23 04:28:45 PM,99.864,20.519,,,,
198,04/05/23 05:28:45 PM,99.845,20.519,,,,
199,04/05/23 06:28:45 PM,99.836,20.519,,,,
200,04/05/23 07:28:45 PM,99.873,20.519,,,,
201,04/05/23 08:28:45 PM,99.933,20.424,,,,
202,04/05/23 09:28:45 PM,99.998,20.424,,,,
203,04/05/23 10:28:45 PM,100.045,20.424,,,,
204,04/05/23 11:28:45 PM,100.101,20.424,,,,
205,04/06/23 12:28:45 AM,100.101,20.424,,,,
206,04/06/23 01:28:45 AM,100.148,20.424,,,,
207,04/06/23 02:28:45 AM,100.110,20.424,,,,
208,04/06/23 03:28:45 AM,100.082,20.424,,,,
209,04/06/23 04:28:45 AM,100.054,20.424,,,,
210,04/06/23 05:28:45 AM,100.054,20.424,,,,
211,04/06/23 06:28:45 AM,100.082,20.424,,,,
212,04/06/23 07:28:45 AM,100.110,20.424,,,,
213,04/06/23 08:28:45 AM,100.166,20.424,,,,
214,04/06/23 09:28:45 AM,100.157,20.424,,,,
215,04/06/23 10:28:45 AM,100.129,20.424,,,,
216,04/06/23 11:28:45 AM,100.101,20.424,,,,
217,04/06/23 12:28:45 PM,100.045,20.424,,,,
218,04/06/23 01:28:45 PM,99.989,20.424,,,,
219,04/06/23 02:28:45 PM,99.942,20.424,,,,
220,04/06/23 03:28:45 PM,99.905,20.424,,,,
221,04/06/23 04:28:45 PM,99.924,20.424,,,,
222,04/06/23 05:28:45 PM,99.914,20.424,,,,
223,04/06/23 06:28:45 PM,99.886,20.424,,,,
224,04/06/23 07:28:45 PM,99.905,20.424,,,,
225,04/06/23 08:28:45 PM,99.970,20.424,,,,
226,04/06/23 09:28:45 PM,100.017,20.424,,,,
227,04/06/23 10:28:45 PM,100.036,20.424,,,,
228,04/06/23 11:28:45 PM,100.045,20.424,,,,
229,04/07/23 12:28:45 AM,100.036,20.424,,,,
230,04/07/23 01:28:45 AM,100.021,20.329,,,,
231,04/07/23 02:28:45 AM,100.002,20.329,,,,
232,04/07/23 03:28:45 AM,100.002,20.329,,,,
233,04/07/23 04:28:45 AM,99.974,20.329,,,,
234,04/07/23 05:28:45 AM,100.021,20.329,,,,
235,04/07/23 06:28:45 AM,100.058,20.329,,,,
236,04/07/23 07:28:45 AM,100.152,20.329,,,,
237,04/07/23 08:28:45 AM,100.198,20.329,,,,
238,04/07/23 09:28:45 AM,100.254,20.329,,,,
239,04/07/23 10:28:45 AM,100.222,20.424,,,,
240,04/07/23 11:28:45 AM,100.222,20.424,,,,
241,04/07/23 12:28:45 PM,100.194,20.424,,,,
242,04/07/23 01:28:45 PM,100.129,20.424,,,,
243,04/07/23 02:28:45 PM,100.054,20.424,,,,
244,04/07/23 03:28:45 PM,100.008,20.424,,,,
245,04/07/23 04:28:45 PM,100.036,20.424,,,,
246,04/07/23 05:28:45 PM,100.017,20.424,,,,
247,04/07/23 06:28:45 PM,100.008,20.424,,,,
248,04/07/23 07:28:45 PM,100.021,20.329,,,,
249,04/07/23 08:28:45 PM,100.086,20.329,,,,
250,04/07/23 09:28:45 PM,100.114,20.329,,,,
251,04/07/23 10:28:45 PM,100.124,20.329,,,,
252,04/07/23 11:28:45 PM,100.161,20.329,,,,
253,04/08/23 12:28:45 AM,100.161,20.329,,,,
254,04/08/23 01:28:45 AM,100.170,20.329,,,,
255,04/08/23 02:28:45 AM,100.198,20.329,,,,
256,04/08/23 03:28:45 AM,100.152,20.329,,,,
257,04/08/23 04:28:45 AM,100.142,20.329,,,,
258,04/08/23 05:28:45 AM,100.142,20.329,,,,
259,04/08/23 06:28:45 AM,100.161,20.329,,,,
260,04/08/23 07:28:45 AM,100.184,20.234,,,,
261,04/08/23 08:28:45 AM,100.264,20.329,,,,
262,04/08/23 09:28:45 AM,100.301,20.329,,,,
263,04/08/23 10:28:45 AM,100.320,20.329,,,,
264,04/08/23 11:28:45 AM,100.264,20.329,,,,
265,04/08/23 12:28:45 PM,100.217,20.329,,,,
266,04/08/23 01:28:45 PM,100.161,20.329,,,,
267,04/08/23 02:28:45 PM,100.086,20.329,,,,
268,04/08/23 03:28:45 PM,100.049,20.329,,,,
269,04/08/23 04:28:45 PM,100.012,20.329,,,,
270,04/08/23 05:28:45 PM,100.012,20.329,,,,
271,04/08/23 06:28:45 PM,100.030,20.329,,,,
272,04/08/23 07:28:45 PM,100.049,20.329,,,,
273,04/08/23 08:28:45 PM,100.100,20.234,,,,
274,04/08/23 09:28:45 PM,100.137,20.234,,,,
275,04/08/23 10:28:45 PM,100.128,20.234,,,,
276,04/08/23 11:28:45 PM,100.156,20.234,,,,
277,04/09/23 12:28:45 AM,100.146,20.234,,,,
278,04/09/23 01:28:45 AM,100.156,20.234,,,,
279,04/09/23 02:28:45 AM,100.174,20.234,,,,
280,04/09/23 03:28:45 AM,100.118,20.234,,,,
281,04/09/23 04:28:45 AM,100.100,20.234,,,,
282,04/09/23 05:28:45 AM,100.109,20.234,,,,
283,04/09/23 06:28:45 AM,100.118,20.234,,,,
284,04/09/23 07:28:45 AM,100.165,20.234,,,,
285,04/09/23 08:28:45 AM,100.221,20.234,,,,
286,04/09/23 09:28:45 AM,100.230,20.234,,,,
287,04/09/23 10:28:45 AM,100.212,20.234,,,,
288,04/09/23 11:28:45 AM,100.165,20.234,,,,
289,04/09/23 12:28:45 PM,100.081,20.234,,,,
290,04/09/23 01:28:45 PM,100.006,20.234,,,,
291,04/09/23 02:28:45 PM,99.913,20.234,,,,
292,04/09/23 03:28:45 PM,99.866,20.234,,,,
293,04/09/23 04:28:45 PM,99.829,20.234,,,,
294,04/09/23 05:28:45 PM,99.829,20.234,,,,
295,04/09/23 06:28:45 PM,99.829,20.234,,,,
296,04/09/23 07:28:45 PM,99.848,20.234,,,,
297,04/09/23 08:28:45 PM,99.870,20.138,,,,
298,04/09/23 09:28:45 PM,99.898,20.138,,,,
299,04/09/23 10:28:45 PM,99.908,20.138,,,,
300,04/09/23 11:28:45 PM,99.908,20.138,,,,
301,04/10/23 12:28:45 AM,99.880,20.138,,,,
302,04/10/23 01:28:45 AM,99.889,20.138,,,,
303,04/10/23 02:28:45 AM,99.870,20.138,,,,
304,04/10/23 03:28:45 AM,99.880,20.138,,,,
305,04/10/23 04:28:45 AM,99.898,20.138,,,,
306,04/10/23 05:28:45 AM,99.917,20.138,,,,
307,04/10/23 06:28:45 AM,99.996,20.043,,,,
308,04/10/23 07:28:45 AM,100.070,20.043,,,,
309,04/10/23 08:28:45 AM,100.154,20.043,,,,
310,04/10/23 09:28:45 AM,100.216,20.138,,,,
311,04/10/23 10:28:45 AM,100.225,20.138,,,,
312,04/10/23 11:28:45 AM,100.169,20.138,,,,
313,04/10/23 12:28:45 PM,100.141,20.138,,,,
314,04/10/23 01:28:45 PM,100.066,20.138,,,,
315,04/10/23 02:28:45 PM,99.982,20.138,,,,
316,04/10/23 03:28:45 PM,99.945,20.138,,,,
317,04/10/23 04:28:45 PM,99.908,20.138,,,,
318,04/10/23 05:28:45 PM,99.870,20.138,,,,
319,04/10/23 06:28:45 PM,99.889,20.138,,,,
320,04/10/23 07:28:45 PM,99.898,20.138,,,,
321,04/10/23 08:28:45 PM,99.912,20.043,,,,
322,04/10/23 09:28:45 PM,99.884,20.043,,,,
323,04/10/23 10:28:45 PM,99.884,20.043,,,,
