"Plot Title: n12."
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552288, SEN S/N: 20552288)","Temp, °C (LGR S/N: 20552288, SEN S/N: 20552288)","Coupler Detached (LGR S/N: 20552288)","Coupler Attached (LGR S/N: 20552288)","Stopped (LGR S/N: 20552288)","End Of File (LGR S/N: 20552288)"
1,03/16/23 02:46:40 PM,104.918,23.484,Logged,,,
2,03/16/23 03:46:40 PM,104.917,23.196,,,,
3,03/16/23 04:46:40 PM,104.948,23.196,,,,
4,03/16/23 05:46:40 PM,104.959,23.196,,,,
5,03/16/23 06:46:40 PM,105.041,23.196,,,,
6,03/16/23 07:46:40 PM,105.072,23.196,,,,
7,03/16/23 08:46:40 PM,105.103,23.196,,,,
8,03/16/23 09:46:40 PM,105.083,23.196,,,,
9,03/16/23 10:46:40 PM,105.062,23.196,,,,
10,03/16/23 11:46:40 PM,105.041,23.196,,,,
11,03/17/23 12:46:40 AM,105.072,23.196,,,,
12,03/17/23 01:46:40 AM,105.062,23.196,,,,
13,03/17/23 02:46:40 AM,105.072,23.196,,,,
14,03/17/23 03:46:40 AM,105.052,23.196,,,,
15,03/17/23 04:46:40 AM,105.052,23.196,,,,
16,03/17/23 05:46:40 AM,105.072,23.196,,,,
17,03/17/23 06:46:40 AM,105.145,23.196,,,,
18,03/17/23 07:46:40 AM,105.155,23.196,,,,
19,03/17/23 08:46:40 AM,105.238,23.196,,,,
20,03/17/23 09:46:40 AM,105.279,23.196,,,,
21,03/17/23 10:46:40 AM,105.300,23.196,,,,
22,03/17/23 11:46:40 AM,105.300,23.196,,,,
23,03/17/23 12:46:40 PM,105.176,23.196,,,,
24,03/17/23 01:46:40 PM,105.093,23.196,,,,
25,03/17/23 02:46:40 PM,105.290,23.196,,,,
26,03/17/23 03:46:40 PM,105.300,23.196,,,,
27,03/17/23 04:46:40 PM,105.290,23.196,,,,
28,03/17/23 05:46:40 PM,105.269,23.196,,,,
29,03/17/23 06:46:40 PM,105.321,23.196,,,,
30,03/17/23 07:46:40 PM,105.238,23.196,,,,
31,03/17/23 08:46:40 PM,105.331,23.196,,,,
32,03/17/23 09:46:40 PM,105.352,23.196,,,,
33,03/17/23 10:46:40 PM,105.362,23.196,,,,
34,03/17/23 11:46:40 PM,105.393,23.196,,,,
35,03/18/23 12:46:40 AM,105.393,23.196,,,,
36,03/18/23 01:46:40 AM,105.352,23.196,,,,
37,03/18/23 02:46:40 AM,105.341,23.196,,,,
38,03/18/23 03:46:40 AM,105.300,23.196,,,,
39,03/18/23 04:46:40 AM,105.321,23.196,,,,
40,03/18/23 05:46:40 AM,105.352,23.196,,,,
41,03/18/23 06:46:40 AM,105.393,23.196,,,,
42,03/18/23 07:46:40 AM,105.445,23.196,,,,
43,03/18/23 08:46:40 AM,105.527,23.196,,,,
44,03/18/23 09:46:40 AM,105.538,23.196,,,,
45,03/18/23 10:46:40 AM,105.538,23.196,,,,
46,03/18/23 11:46:40 AM,105.496,23.196,,,,
47,03/18/23 12:46:40 PM,105.445,23.196,,,,
48,03/18/23 01:46:40 PM,105.372,23.196,,,,
49,03/18/23 02:46:40 PM,105.321,23.196,,,,
50,03/18/23 03:46:40 PM,105.217,23.196,,,,
51,03/18/23 04:46:40 PM,105.186,23.196,,,,
52,03/18/23 05:46:40 PM,105.165,23.196,,,,
53,03/18/23 06:46:40 PM,105.228,23.196,,,,
54,03/18/23 07:46:40 PM,105.269,23.196,,,,
55,03/18/23 08:46:40 PM,105.352,23.196,,,,
56,03/18/23 09:46:40 PM,105.403,23.196,,,,
57,03/18/23 10:46:40 PM,105.424,23.196,,,,
58,03/18/23 11:46:40 PM,105.383,23.196,,,,
59,03/19/23 12:46:40 AM,105.352,23.196,,,,
60,03/19/23 01:46:40 AM,105.300,23.196,,,,
61,03/19/23 02:46:40 AM,105.197,23.196,,,,
62,03/19/23 03:46:40 AM,105.186,23.196,,,,
63,03/19/23 04:46:40 AM,105.155,23.196,,,,
64,03/19/23 05:46:40 AM,105.186,23.196,,,,
65,03/19/23 06:46:40 AM,105.269,23.196,,,,
66,03/19/23 07:46:40 AM,105.331,23.196,,,,
67,03/19/23 08:46:40 AM,105.321,23.196,,,,
68,03/19/23 09:46:40 AM,105.290,23.196,,,,
69,03/19/23 10:46:40 AM,105.290,23.196,,,,
70,03/19/23 11:46:40 AM,105.321,23.196,,,,
71,03/19/23 12:46:40 PM,105.272,23.292,,,,
72,03/19/23 01:46:40 PM,105.207,23.196,,,,
73,03/19/23 02:46:40 PM,105.107,23.292,,,,
74,03/19/23 03:46:40 PM,105.021,23.196,,,,
75,03/19/23 04:46:40 PM,104.962,23.292,,,,
76,03/19/23 05:46:40 PM,104.931,23.292,,,,
77,03/19/23 06:46:40 PM,105.035,23.292,,,,
78,03/19/23 07:46:40 PM,105.045,23.292,,,,
79,03/19/23 08:46:40 PM,105.107,23.292,,,,
80,03/19/23 09:46:40 PM,105.097,23.292,,,,
81,03/19/23 10:46:40 PM,105.097,23.292,,,,
82,03/19/23 11:46:40 PM,105.066,23.292,,,,
83,03/20/23 12:46:40 AM,105.097,23.292,,,,
84,03/20/23 01:46:40 AM,105.117,23.292,,,,
85,03/20/23 02:46:40 AM,105.128,23.292,,,,
86,03/20/23 03:46:40 AM,105.107,23.292,,,,
87,03/20/23 04:46:40 AM,105.097,23.292,,,,
88,03/20/23 05:46:40 AM,105.107,23.292,,,,
89,03/20/23 06:46:40 AM,105.138,23.292,,,,
90,03/20/23 07:46:40 AM,105.200,23.292,,,,
91,03/20/23 08:46:40 AM,105.252,23.292,,,,
