"Plot Title: n9 nuevo"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552292, SEN S/N: 20552292)","Temp, °C (LGR S/N: 20552292, SEN S/N: 20552292)","Coupler Detached (LGR S/N: 20552292)","Coupler Attached (LGR S/N: 20552292)","Stopped (LGR S/N: 20552292)","End Of File (LGR S/N: 20552292)"
1,03/28/23 01:21:44 PM,99.254,22.525,,,,
2,03/28/23 01:21:55 PM,,,Logged,,,
3,03/28/23 02:21:44 PM,99.192,21.664,,,,
4,03/28/23 03:21:44 PM,99.112,21.378,,,,
5,03/28/23 04:21:44 PM,99.082,21.378,,,,
6,03/28/23 05:21:44 PM,99.033,21.378,,,,
7,03/28/23 06:21:44 PM,99.033,21.378,,,,
8,03/28/23 07:21:44 PM,99.033,21.378,,,,
9,03/28/23 08:21:44 PM,99.055,21.282,,,,
10,03/28/23 09:21:44 PM,99.068,21.187,,,,
11,03/28/23 10:21:44 PM,99.028,21.187,,,,
12,03/28/23 11:21:44 PM,98.969,21.187,,,,
13,03/29/23 12:21:44 AM,98.959,21.187,,,,
14,03/29/23 01:21:44 AM,98.959,21.187,,,,
15,03/29/23 02:21:44 AM,98.940,21.187,,,,
16,03/29/23 03:21:44 AM,98.861,21.187,,,,
17,03/29/23 04:21:44 AM,98.824,21.091,,,,
18,03/29/23 05:21:44 AM,98.861,21.187,,,,
19,03/29/23 06:21:44 AM,98.933,21.091,,,,
20,03/29/23 07:21:44 AM,99.011,21.091,,,,
21,03/29/23 08:21:44 AM,99.087,21.187,,,,
22,03/29/23 09:21:44 AM,99.117,21.187,,,,
23,03/29/23 10:21:44 AM,99.144,21.282,,,,
24,03/29/23 11:21:44 AM,99.154,21.282,,,,
25,03/29/23 12:21:44 PM,99.164,21.282,,,,
26,03/29/23 01:21:44 PM,99.114,21.282,,,,
27,03/29/23 02:21:44 PM,99.085,21.282,,,,
28,03/29/23 03:21:44 PM,99.087,21.187,,,,
29,03/29/23 04:21:44 PM,98.831,21.187,,,,
30,03/29/23 05:21:44 PM,98.969,21.187,,,,
31,03/29/23 06:21:44 PM,99.019,21.187,,,,
32,03/29/23 07:21:44 PM,99.019,21.187,,,,
33,03/29/23 08:21:44 PM,99.058,21.187,,,,
34,03/29/23 09:21:44 PM,99.068,21.187,,,,
35,03/29/23 10:21:44 PM,99.196,21.187,,,,
36,03/29/23 11:21:44 PM,99.294,21.187,,,,
37,03/30/23 12:21:44 AM,99.235,21.187,,,,
38,03/30/23 01:21:44 AM,99.432,21.187,,,,
39,03/30/23 02:21:44 AM,99.383,21.187,,,,
40,03/30/23 03:21:44 AM,99.324,21.187,,,,
41,03/30/23 04:21:44 AM,99.324,21.187,,,,
42,03/30/23 05:21:44 AM,99.353,21.187,,,,
