"Plot Title: S1"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 2397361, SEN S/N: 2397361)","Temp, °C (LGR S/N: 2397361, SEN S/N: 2397361)","Abs Pres Barom., kPa (LGR S/N: 2376503, SEN S/N: 2376503)","Water Level, meters (LGR S/N: 2397361)","Coupler Detached (LGR S/N: 2397361)","Coupler Attached (LGR S/N: 2397361)","Stopped (LGR S/N: 2397361)","End Of File (LGR S/N: 2397361)"
1,10/18/19 02:12:03 PM,99.748,20.805,,-0.016,Logged,,,
2,10/18/19 02:14:03 PM,99.778,21.187,,-0.013,,,,
3,10/18/19 02:16:03 PM,99.901,20.519,,0.000,,,,
4,10/18/19 02:18:03 PM,99.939,20.138,,0.004,,,,
5,10/18/19 02:20:03 PM,99.966,19.758,,0.007,,,,
6,10/18/19 02:22:03 PM,99.996,19.567,,0.010,,,,
7,10/18/19 02:24:03 PM,100.013,19.282,,0.011,,,,
8,10/18/19 02:26:03 PM,100.021,19.092,,0.012,,,,
9,10/18/19 02:28:03 PM,100.042,18.996,,0.014,,,,
10,10/18/19 02:30:03 PM,100.016,18.806,,0.012,,,,
11,10/18/19 02:32:03 PM,100.013,18.616,,0.011,,,,
12,10/18/19 02:34:03 PM,100.034,18.521,,0.014,,,,
13,10/18/19 02:36:03 PM,100.032,18.426,,0.013,,,,
14,10/18/19 02:38:03 PM,100.042,18.331,,0.014,,,,
15,10/18/19 02:40:03 PM,100.029,18.236,,0.013,,,,
16,10/18/19 02:42:03 PM,100.050,18.140,,0.015,,,,
17,10/18/19 02:44:03 PM,100.050,18.140,,0.015,,,,
18,10/18/19 02:45:38 PM,,,100.327,,,,,
19,10/18/19 02:46:03 PM,100.037,18.045,,0.014,,,,
20,10/18/19 02:47:38 PM,,,100.333,,,,,
21,10/18/19 02:48:03 PM,100.037,18.045,,0.013,,,,
22,10/18/19 02:49:38 PM,,,100.347,,,,,
23,10/18/19 02:50:03 PM,100.036,17.950,,0.012,,,,
24,10/18/19 02:51:38 PM,,,100.330,,,,,
25,10/18/19 02:52:03 PM,100.047,17.950,,0.014,,,,
26,10/18/19 02:53:38 PM,,,100.351,,,,,
27,10/18/19 02:54:03 PM,100.034,17.855,,0.011,,,,
28,10/18/19 02:55:38 PM,,,100.339,,,,,
29,10/18/19 02:56:03 PM,100.045,17.855,,0.014,,,,
30,10/18/19 02:57:38 PM,,,100.331,,,,,
31,10/18/19 02:58:03 PM,100.045,17.855,,0.014,,,,
32,10/18/19 02:59:38 PM,,,100.334,,,,,
33,10/18/19 03:00:03 PM,100.055,17.760,,0.015,,,,
34,10/18/19 03:01:38 PM,,,100.351,,,,,
35,10/18/19 03:02:03 PM,100.055,17.760,,0.013,,,,
36,10/18/19 03:03:38 PM,,,100.347,,,,,
37,10/18/19 03:04:03 PM,100.055,17.760,,0.014,,,,
38,10/18/19 03:05:38 PM,,,100.343,,,,,
39,10/18/19 03:06:03 PM,100.044,17.760,,0.013,,,,
40,10/18/19 03:07:38 PM,,,100.346,,,,,
41,10/18/19 03:08:03 PM,100.044,17.760,,0.013,,,,
42,10/18/19 03:09:38 PM,,,100.342,,,,,
43,10/18/19 03:10:03 PM,100.042,17.665,,0.013,,,,
44,10/18/19 03:11:38 PM,,,100.327,,,,,
45,10/18/19 03:12:03 PM,100.054,17.665,,0.015,,,,
46,10/18/19 03:13:38 PM,,,100.345,,,,,
47,10/18/19 03:14:03 PM,100.042,17.665,,0.013,,,,
48,10/18/19 03:15:38 PM,,,100.341,,,,,
49,10/18/19 03:16:03 PM,100.031,17.665,,0.012,,,,
50,10/18/19 03:17:38 PM,,,100.337,,,,,
51,10/18/19 03:18:03 PM,100.031,17.665,,0.012,,,,
52,10/18/19 03:19:38 PM,,,100.333,,,,,
53,10/18/19 03:20:03 PM,100.054,17.665,,0.015,,,,
54,10/18/19 03:21:38 PM,,,100.329,,,,,
55,10/18/19 03:22:03 PM,100.054,17.665,,0.015,,,,
56,10/18/19 03:23:38 PM,,,100.340,,,,,
57,10/18/19 03:24:03 PM,100.054,17.665,,0.014,,,,
58,10/18/19 03:25:38 PM,,,100.336,,,,,
59,10/18/19 03:26:03 PM,100.042,17.665,,0.013,,,,
60,10/18/19 03:27:38 PM,,,100.343,,,,,
61,10/18/19 03:28:03 PM,100.042,17.665,,0.013,,,,
62,10/18/19 03:29:38 PM,,,100.339,,,,,
63,10/18/19 03:30:03 PM,100.041,17.570,,0.013,,,,
64,10/18/19 03:31:38 PM,,,100.361,,,,,
65,10/18/19 03:32:03 PM,100.052,17.570,,0.012,,,,
66,10/18/19 03:33:38 PM,,,100.346,,,,,
67,10/18/19 03:34:03 PM,100.052,17.570,,0.013,,,,
68,10/18/19 03:35:38 PM,,,100.357,,,,,
69,10/18/19 03:36:03 PM,100.041,17.570,,0.012,,,,
70,10/18/19 03:37:38 PM,,,100.342,,,,,
71,10/18/19 03:38:03 PM,100.052,17.570,,0.014,,,,
72,10/18/19 03:39:38 PM,,,100.342,,,,,
73,10/18/19 03:40:03 PM,100.041,17.570,,0.013,,,,
74,10/18/19 03:41:38 PM,,,100.327,,,,,
75,10/18/19 03:42:03 PM,100.052,17.570,,0.015,,,,
76,10/18/19 03:43:38 PM,,,100.327,,,,,
77,10/18/19 03:44:03 PM,100.041,17.570,,0.014,,,,
78,10/18/19 03:45:38 PM,,,100.338,,,,,
79,10/18/19 03:46:03 PM,100.052,17.570,,0.014,,,,
80,10/18/19 03:47:38 PM,,,100.345,,,,,
81,10/18/19 03:48:03 PM,100.041,17.570,,0.013,,,,
82,10/18/19 03:49:38 PM,,,100.334,,,,,
83,10/18/19 03:50:03 PM,100.041,17.570,,0.013,,,,
84,10/18/19 03:51:38 PM,,,100.345,,,,,
85,10/18/19 03:52:03 PM,100.052,17.570,,0.014,,,,
86,10/18/19 03:53:38 PM,,,100.341,,,,,
87,10/18/19 03:54:03 PM,100.041,17.570,,0.013,,,,
88,10/18/19 03:55:38 PM,,,100.330,,,,,
89,10/18/19 03:56:03 PM,100.041,17.570,,0.014,,,,
90,10/18/19 03:57:38 PM,,,100.341,,,,,
91,10/18/19 03:58:03 PM,100.041,17.570,,0.013,,,,
92,10/18/19 03:59:38 PM,,,100.330,,,,,
93,10/18/19 04:00:03 PM,100.041,17.570,,0.014,,,,
94,10/18/19 04:01:38 PM,,,100.337,,,,,
95,10/18/19 04:02:03 PM,100.052,17.570,,0.014,,,,
96,10/18/19 04:03:38 PM,,,100.337,,,,,
97,10/18/19 04:04:03 PM,100.030,17.570,,0.012,,,,
98,10/18/19 04:05:38 PM,,,100.348,,,,,
99,10/18/19 04:06:03 PM,100.041,17.570,,0.012,,,,
100,10/18/19 04:07:38 PM,,,100.348,,,,,
101,10/18/19 04:08:03 PM,100.052,17.570,,0.013,,,,
102,10/18/19 04:09:38 PM,,,100.344,,,,,
103,10/18/19 04:10:03 PM,100.030,17.570,,0.011,,,,
104,10/18/19 04:11:38 PM,,,100.344,,,,,
105,10/18/19 04:12:03 PM,100.030,17.570,,0.011,,,,
106,10/18/19 04:13:38 PM,,,100.344,,,,,
107,10/18/19 04:14:03 PM,100.052,17.570,,0.014,,,,
108,10/18/19 04:15:38 PM,,,100.344,,,,,
109,10/18/19 04:16:03 PM,100.041,17.570,,0.013,,,,
110,10/18/19 04:17:38 PM,,,100.333,,,,,
111,10/18/19 04:18:03 PM,100.063,17.570,,0.016,,,,
112,10/18/19 04:19:38 PM,,,100.340,,,,,
113,10/18/19 04:20:03 PM,100.052,17.570,,0.014,,,,
114,10/18/19 04:21:38 PM,,,100.351,,,,,
115,10/18/19 04:22:03 PM,100.063,17.570,,0.014,,,,
116,10/18/19 04:23:38 PM,,,100.340,,,,,
117,10/18/19 04:24:03 PM,100.052,17.570,,0.014,,,,
118,10/18/19 04:25:38 PM,,,100.340,,,,,
119,10/18/19 04:26:03 PM,100.063,17.570,,0.015,,,,
120,10/18/19 04:27:38 PM,,,100.362,,,,,
121,10/18/19 04:28:03 PM,100.063,17.570,,0.013,,,,
122,10/18/19 04:29:38 PM,,,100.351,,,,,
123,10/18/19 04:30:03 PM,100.063,17.570,,0.014,,,,
124,10/18/19 04:31:38 PM,,,100.362,,,,,
125,10/18/19 04:32:03 PM,100.052,17.570,,0.012,,,,
126,10/18/19 04:33:38 PM,,,100.362,,,,,
127,10/18/19 04:34:03 PM,100.074,17.570,,0.014,,,,
128,10/18/19 04:35:38 PM,,,100.362,,,,,
129,10/18/19 04:36:03 PM,100.063,17.570,,0.013,,,,
