"Plot Title: V1"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453363, SEN S/N: 10453363)","Temp, °C (LGR S/N: 10453363, SEN S/N: 10453363)","Host Connected (LGR S/N: 10453363)","Stopped (LGR S/N: 10453363)","End Of File (LGR S/N: 10453363)"
1,10/18/19 02:30:14 PM,0.31013,26.158,,,
2,10/18/19 02:32:14 PM,0.16789,26.207,,,
3,10/18/19 02:34:14 PM,0.10195,26.207,,,
4,10/18/19 02:36:14 PM,0.06593,26.109,,,
5,10/18/19 02:38:14 PM,0.04640,26.207,,,
6,10/18/19 02:40:14 PM,0.03846,26.256,,,
7,10/18/19 02:42:14 PM,0.03480,26.304,,,
8,10/18/19 02:44:14 PM,0.03297,26.304,,,
9,10/18/19 02:46:14 PM,0.03114,26.280,,,
10,10/18/19 02:48:14 PM,0.03053,26.353,,,
11,10/18/19 02:50:14 PM,0.02930,26.402,,,
12,10/18/19 02:52:14 PM,0.02869,26.426,,,
13,10/18/19 02:54:14 PM,0.02808,26.451,,,
14,10/18/19 02:56:14 PM,0.02808,26.451,,,
15,10/18/19 02:58:14 PM,0.02747,26.475,,,
16,10/18/19 03:00:14 PM,0.02686,26.500,,,
17,10/18/19 03:02:14 PM,0.02625,26.549,,,
18,10/18/19 03:04:14 PM,0.02564,26.549,,,
19,10/18/19 03:06:14 PM,0.02564,26.524,,,
20,10/18/19 03:08:14 PM,0.02503,26.378,,,
21,10/18/19 03:10:14 PM,0.02503,26.451,,,
22,10/18/19 03:12:14 PM,0.02503,26.451,,,
23,10/18/19 03:14:14 PM,0.02442,26.378,,,
24,10/18/19 03:16:14 PM,0.02442,26.378,,,
25,10/18/19 03:18:14 PM,0.02442,26.378,,,
26,10/18/19 03:20:14 PM,0.02442,26.402,,,
27,10/18/19 03:22:14 PM,0.02381,26.378,,,
28,10/18/19 03:24:14 PM,0.02381,26.378,,,
29,10/18/19 03:26:14 PM,0.02381,26.353,,,
30,10/18/19 03:28:14 PM,0.02381,26.451,,,
31,10/18/19 03:30:14 PM,0.02381,26.500,,,
32,10/18/19 03:32:14 PM,0.02381,26.475,,,
33,10/18/19 03:34:14 PM,0.02320,26.500,,,
34,10/18/19 03:36:14 PM,0.02320,26.402,,,
35,10/18/19 03:38:14 PM,0.02320,26.329,,,
36,10/18/19 03:40:14 PM,0.02320,26.329,,,
37,10/18/19 03:42:14 PM,0.02320,26.402,,,
38,10/18/19 03:44:14 PM,0.02320,26.426,,,
39,10/18/19 03:46:14 PM,0.02320,26.378,,,
40,10/18/19 03:48:14 PM,0.02320,26.304,,,
41,10/18/19 03:50:14 PM,0.02381,26.353,,,
42,10/18/19 03:52:14 PM,0.02381,26.402,,,
43,10/18/19 03:54:14 PM,0.02381,26.329,,,
44,10/18/19 03:56:14 PM,0.02442,26.402,,,
45,10/18/19 03:58:14 PM,0.02442,26.426,,,
46,10/18/19 04:00:14 PM,0.02442,26.451,,,
47,10/18/19 04:02:14 PM,0.02442,26.378,,,
48,10/18/19 04:04:14 PM,0.02442,26.329,,,
49,10/18/19 04:06:14 PM,0.02442,26.402,,,
50,10/18/19 04:08:14 PM,0.02442,26.329,,,
51,10/18/19 04:10:14 PM,0.02442,26.256,,,
52,10/18/19 04:12:14 PM,0.02442,26.207,,,
53,10/18/19 04:14:14 PM,0.02442,26.256,,,
54,10/18/19 04:16:14 PM,0.02503,26.304,,,
55,10/18/19 04:18:14 PM,0.02503,26.304,,,
56,10/18/19 04:20:14 PM,0.02442,26.304,,,
57,10/18/19 04:22:14 PM,0.02442,26.280,,,
58,10/18/19 04:24:14 PM,0.02442,26.256,,,
59,10/18/19 04:26:14 PM,0.02442,26.231,,,
60,10/18/19 04:28:14 PM,0.02442,26.207,,,
61,10/18/19 04:30:14 PM,0.02442,26.207,,,
