Date and Time,"Water Level, meters"
2019-10-18T17:12:03Z,-0.016
2019-10-18T17:14:03Z,-0.013
2019-10-18T17:16:03Z,0
2019-10-18T17:18:03Z,0.004
2019-10-18T17:20:03Z,0.007
2019-10-18T17:22:03Z,0.01
2019-10-18T17:24:03Z,0.011
2019-10-18T17:26:03Z,0.012
2019-10-18T17:28:03Z,0.014
2019-10-18T17:30:03Z,0.012
2019-10-18T17:32:03Z,0.011
2019-10-18T17:34:03Z,0.014
2019-10-18T17:36:03Z,0.013
2019-10-18T17:38:03Z,0.014
2019-10-18T17:40:03Z,0.013
2019-10-18T17:42:03Z,0.015
2019-10-18T17:44:03Z,0.015
2019-10-18T17:45:38Z,NA
2019-10-18T17:46:03Z,0.014
2019-10-18T17:47:38Z,NA
2019-10-18T17:48:03Z,0.013
2019-10-18T17:49:38Z,NA
2019-10-18T17:50:03Z,0.012
2019-10-18T17:51:38Z,NA
2019-10-18T17:52:03Z,0.014
2019-10-18T17:53:38Z,NA
2019-10-18T17:54:03Z,0.011
2019-10-18T17:55:38Z,NA
2019-10-18T17:56:03Z,0.014
2019-10-18T17:57:38Z,NA
2019-10-18T17:58:03Z,0.014
2019-10-18T17:59:38Z,NA
2019-10-18T18:00:03Z,0.015
2019-10-18T18:01:38Z,NA
2019-10-18T18:02:03Z,0.013
2019-10-18T18:03:38Z,NA
2019-10-18T18:04:03Z,0.014
2019-10-18T18:05:38Z,NA
2019-10-18T18:06:03Z,0.013
2019-10-18T18:07:38Z,NA
2019-10-18T18:08:03Z,0.013
2019-10-18T18:09:38Z,NA
2019-10-18T18:10:03Z,0.013
2019-10-18T18:11:38Z,NA
2019-10-18T18:12:03Z,0.015
2019-10-18T18:13:38Z,NA
2019-10-18T18:14:03Z,0.013
2019-10-18T18:15:38Z,NA
2019-10-18T18:16:03Z,0.012
2019-10-18T18:17:38Z,NA
2019-10-18T18:18:03Z,0.012
2019-10-18T18:19:38Z,NA
2019-10-18T18:20:03Z,0.015
2019-10-18T18:21:38Z,NA
2019-10-18T18:22:03Z,0.015
2019-10-18T18:23:38Z,NA
2019-10-18T18:24:03Z,0.014
2019-10-18T18:25:38Z,NA
2019-10-18T18:26:03Z,0.013
2019-10-18T18:27:38Z,NA
2019-10-18T18:28:03Z,0.013
2019-10-18T18:29:38Z,NA
2019-10-18T18:30:03Z,0.013
2019-10-18T18:31:38Z,NA
2019-10-18T18:32:03Z,0.012
2019-10-18T18:33:38Z,NA
2019-10-18T18:34:03Z,0.013
2019-10-18T18:35:38Z,NA
2019-10-18T18:36:03Z,0.012
2019-10-18T18:37:38Z,NA
2019-10-18T18:38:03Z,0.014
2019-10-18T18:39:38Z,NA
2019-10-18T18:40:03Z,0.013
2019-10-18T18:41:38Z,NA
2019-10-18T18:42:03Z,0.015
2019-10-18T18:43:38Z,NA
2019-10-18T18:44:03Z,0.014
2019-10-18T18:45:38Z,NA
2019-10-18T18:46:03Z,0.014
2019-10-18T18:47:38Z,NA
2019-10-18T18:48:03Z,0.013
2019-10-18T18:49:38Z,NA
2019-10-18T18:50:03Z,0.013
2019-10-18T18:51:38Z,NA
2019-10-18T18:52:03Z,0.014
2019-10-18T18:53:38Z,NA
2019-10-18T18:54:03Z,0.013
2019-10-18T18:55:38Z,NA
2019-10-18T18:56:03Z,0.014
2019-10-18T18:57:38Z,NA
2019-10-18T18:58:03Z,0.013
2019-10-18T18:59:38Z,NA
2019-10-18T19:00:03Z,0.014
2019-10-18T19:01:38Z,NA
2019-10-18T19:02:03Z,0.014
2019-10-18T19:03:38Z,NA
2019-10-18T19:04:03Z,0.012
2019-10-18T19:05:38Z,NA
2019-10-18T19:06:03Z,0.012
2019-10-18T19:07:38Z,NA
2019-10-18T19:08:03Z,0.013
2019-10-18T19:09:38Z,NA
2019-10-18T19:10:03Z,0.011
2019-10-18T19:11:38Z,NA
2019-10-18T19:12:03Z,0.011
2019-10-18T19:13:38Z,NA
2019-10-18T19:14:03Z,0.014
2019-10-18T19:15:38Z,NA
2019-10-18T19:16:03Z,0.013
2019-10-18T19:17:38Z,NA
2019-10-18T19:18:03Z,0.016
2019-10-18T19:19:38Z,NA
2019-10-18T19:20:03Z,0.014
2019-10-18T19:21:38Z,NA
2019-10-18T19:22:03Z,0.014
2019-10-18T19:23:38Z,NA
2019-10-18T19:24:03Z,0.014
2019-10-18T19:25:38Z,NA
2019-10-18T19:26:03Z,0.015
2019-10-18T19:27:38Z,NA
2019-10-18T19:28:03Z,0.013
2019-10-18T19:29:38Z,NA
2019-10-18T19:30:03Z,0.014
2019-10-18T19:31:38Z,NA
2019-10-18T19:32:03Z,0.012
2019-10-18T19:33:38Z,NA
2019-10-18T19:34:03Z,0.014
2019-10-18T19:35:38Z,NA
2019-10-18T19:36:03Z,0.013
2019-10-18T19:37:38Z,NA
2019-10-18T19:38:03Z,0.012
2019-10-18T19:39:38Z,NA
2019-10-18T19:40:03Z,0.013
2019-10-18T19:41:38Z,NA
2019-10-18T19:42:03Z,0.015
2019-10-18T19:43:38Z,NA
2019-10-18T19:44:03Z,0.016
2019-10-18T19:45:38Z,NA
2019-10-18T19:46:03Z,0.014
2019-10-18T19:47:38Z,NA
2019-10-18T19:48:03Z,0.014
2019-10-18T19:49:38Z,NA
2019-10-18T19:50:03Z,0.013
2019-10-18T19:51:38Z,NA
2019-10-18T19:52:03Z,0.013
2019-10-18T19:53:38Z,NA
2019-10-18T19:54:03Z,0.015
2019-10-18T19:55:38Z,NA
2019-10-18T19:56:03Z,0.014
2019-10-18T19:57:38Z,NA
2019-10-18T19:58:03Z,0.013
2019-10-18T19:59:38Z,NA
2019-10-18T20:00:03Z,0.013
2019-10-18T20:01:38Z,NA
2019-10-18T20:02:03Z,0.013
2019-10-18T20:03:38Z,NA
2019-10-18T20:04:03Z,0.014
2019-10-18T20:05:38Z,NA
2019-10-18T20:06:03Z,0.014
2019-10-18T20:07:38Z,NA
2019-10-18T20:08:03Z,0.013
2019-10-18T20:09:38Z,NA
2019-10-18T20:10:03Z,0.014
2019-10-18T20:11:38Z,NA
2019-10-18T20:12:03Z,0.015
2019-10-18T20:13:38Z,NA
2019-10-18T20:14:03Z,0.012
2019-10-18T20:15:38Z,NA
2019-10-18T20:16:03Z,0.015
2019-10-18T20:17:38Z,NA
2019-10-18T20:18:03Z,0.013
2019-10-18T20:19:38Z,NA
