Date and Time,Velocity (m/s)
2019-10-18T00:00:00Z,0
2019-10-18T00:02:00Z,0
2019-10-18T00:04:00Z,0
2019-10-18T00:06:00Z,0
2019-10-18T00:08:00Z,0.27
2019-10-18T00:10:00Z,0
2019-10-18T00:12:00Z,0
2019-10-18T00:14:00Z,0.512
2019-10-18T00:16:00Z,0
2019-10-18T00:18:00Z,0.3
2019-10-18T00:20:00Z,0
2019-10-18T00:22:00Z,0
2019-10-18T00:24:00Z,0
2019-10-18T00:26:00Z,0
2019-10-18T00:28:00Z,0
2019-10-18T00:30:00Z,0
2019-10-18T00:32:00Z,0.3
2019-10-18T00:34:00Z,0
2019-10-18T00:36:00Z,0.3
2019-10-18T00:38:00Z,0
2019-10-18T00:40:00Z,0.34
2019-10-18T00:42:00Z,0
2019-10-18T00:44:00Z,0
2019-10-18T00:46:00Z,0.24
2019-10-18T00:48:00Z,0
2019-10-18T00:50:00Z,0.552
2019-10-18T00:52:00Z,0.479
2019-10-18T00:54:00Z,0
2019-10-18T00:56:00Z,0
2019-10-18T00:58:00Z,0.3
2019-10-18T01:00:00Z,0
2019-10-18T01:02:00Z,0
2019-10-18T01:04:00Z,0
2019-10-18T01:06:00Z,0.34
2019-10-18T01:08:00Z,0.24
2019-10-18T01:10:00Z,0
2019-10-18T01:12:00Z,0
2019-10-18T01:14:00Z,0.3
2019-10-18T01:16:00Z,0
2019-10-18T01:18:00Z,0
2019-10-18T01:20:00Z,0
2019-10-18T01:22:00Z,0.24
2019-10-18T01:24:00Z,0.24
2019-10-18T01:26:00Z,0
2019-10-18T01:28:00Z,0
2019-10-18T01:30:00Z,0
2019-10-18T01:32:00Z,0
2019-10-18T01:34:00Z,0
2019-10-18T01:36:00Z,0
2019-10-18T01:38:00Z,0
2019-10-18T01:40:00Z,0
2019-10-18T01:42:00Z,0
2019-10-18T01:44:00Z,0.24
2019-10-18T01:46:00Z,0
2019-10-18T01:48:00Z,0
2019-10-18T01:50:00Z,0
2019-10-18T01:52:00Z,0
2019-10-18T01:54:00Z,0.539
2019-10-18T01:56:00Z,0.3
2019-10-18T01:58:00Z,0.27
2019-10-18T02:00:00Z,0
2019-10-18T02:02:00Z,0
2019-10-18T02:04:00Z,0
2019-10-18T02:06:00Z,0
2019-10-18T02:08:00Z,0.24
2019-10-18T02:10:00Z,0
2019-10-18T02:12:00Z,0
2019-10-18T02:14:00Z,0
2019-10-18T02:16:00Z,0
2019-10-18T02:18:00Z,0
2019-10-18T02:20:00Z,0
2019-10-18T02:22:00Z,0.21
2019-10-18T02:24:00Z,0
2019-10-18T02:26:00Z,0
2019-10-18T02:28:00Z,0
2019-10-18T02:30:00Z,0.3
2019-10-18T02:32:00Z,0
2019-10-18T02:34:00Z,0
2019-10-18T02:36:00Z,0
2019-10-18T02:38:00Z,0
2019-10-18T02:40:00Z,0
2019-10-18T02:42:00Z,0
2019-10-18T02:44:00Z,0
2019-10-18T02:46:00Z,0.21
2019-10-18T02:48:00Z,0
2019-10-18T02:50:00Z,0
2019-10-18T02:52:00Z,0
2019-10-18T02:54:00Z,0
2019-10-18T02:56:00Z,0
2019-10-18T02:58:00Z,0
2019-10-18T03:00:00Z,0
2019-10-18T03:02:00Z,0
2019-10-18T03:04:00Z,0.24
2019-10-18T03:06:00Z,0
2019-10-18T03:08:00Z,0
2019-10-18T03:10:00Z,0
2019-10-18T03:12:00Z,0
2019-10-18T03:14:00Z,0
2019-10-18T03:16:00Z,0
2019-10-18T03:18:00Z,0
2019-10-18T03:20:00Z,0
2019-10-18T03:22:00Z,0
2019-10-18T03:24:00Z,0
2019-10-18T03:26:00Z,0
2019-10-18T03:28:00Z,0
2019-10-18T03:30:00Z,0
2019-10-18T03:32:00Z,0
2019-10-18T03:34:00Z,0
2019-10-18T03:36:00Z,0
2019-10-18T03:38:00Z,0
2019-10-18T03:40:00Z,0
2019-10-18T03:42:00Z,0
2019-10-18T03:44:00Z,0
2019-10-18T03:46:00Z,0
2019-10-18T03:48:00Z,0
2019-10-18T03:50:00Z,0
2019-10-18T03:52:00Z,0
2019-10-18T03:54:00Z,0
2019-10-18T03:56:00Z,0
2019-10-18T03:58:00Z,0
2019-10-18T04:00:00Z,0
2019-10-18T04:02:00Z,0
2019-10-18T04:04:00Z,0
2019-10-18T04:06:00Z,0
2019-10-18T04:08:00Z,0
2019-10-18T04:10:00Z,0
2019-10-18T04:12:00Z,0
2019-10-18T04:14:00Z,0
2019-10-18T04:16:00Z,0
2019-10-18T04:18:00Z,0
2019-10-18T04:20:00Z,0
2019-10-18T04:22:00Z,0
2019-10-18T04:24:00Z,0
2019-10-18T04:26:00Z,0
2019-10-18T04:28:00Z,0
2019-10-18T04:30:00Z,0
2019-10-18T04:32:00Z,0
2019-10-18T04:34:00Z,0
2019-10-18T04:36:00Z,0
2019-10-18T04:38:00Z,0
2019-10-18T04:40:00Z,0
2019-10-18T04:42:00Z,0
2019-10-18T04:44:00Z,0
2019-10-18T04:46:00Z,0
2019-10-18T04:48:00Z,0
2019-10-18T04:50:00Z,0
2019-10-18T04:52:00Z,0
2019-10-18T04:54:00Z,0
2019-10-18T04:56:00Z,0
2019-10-18T04:58:00Z,0
2019-10-18T05:00:00Z,0
2019-10-18T05:02:00Z,0
2019-10-18T05:04:00Z,0
2019-10-18T05:06:00Z,0
2019-10-18T05:08:00Z,0
2019-10-18T05:10:00Z,0
2019-10-18T05:12:00Z,0
2019-10-18T05:14:00Z,0
2019-10-18T05:16:00Z,0
2019-10-18T05:18:00Z,0
2019-10-18T05:20:00Z,0
2019-10-18T05:22:00Z,0
2019-10-18T05:24:00Z,0
2019-10-18T05:26:00Z,0
2019-10-18T05:28:00Z,0
2019-10-18T05:30:00Z,0
2019-10-18T05:32:00Z,0
2019-10-18T05:34:00Z,0
2019-10-18T05:36:00Z,0
2019-10-18T05:38:00Z,0
2019-10-18T05:40:00Z,0
2019-10-18T05:42:00Z,0
2019-10-18T05:44:00Z,0
2019-10-18T05:46:00Z,0
2019-10-18T05:48:00Z,0
2019-10-18T05:50:00Z,0
2019-10-18T05:52:00Z,0
2019-10-18T05:54:00Z,0
2019-10-18T05:56:00Z,0
2019-10-18T05:58:00Z,0
2019-10-18T06:00:00Z,0
2019-10-18T06:02:00Z,0
2019-10-18T06:04:00Z,0
2019-10-18T06:06:00Z,0
2019-10-18T06:08:00Z,0
2019-10-18T06:10:00Z,0
2019-10-18T06:12:00Z,0
2019-10-18T06:14:00Z,0
2019-10-18T06:16:00Z,0
2019-10-18T06:18:00Z,0
2019-10-18T06:20:00Z,0
2019-10-18T06:22:00Z,0
2019-10-18T06:24:00Z,0
2019-10-18T06:26:00Z,0
2019-10-18T06:28:00Z,0
2019-10-18T06:30:00Z,0
2019-10-18T06:32:00Z,0
2019-10-18T06:34:00Z,0
2019-10-18T06:36:00Z,0
2019-10-18T06:38:00Z,0
2019-10-18T06:40:00Z,0
2019-10-18T06:42:00Z,0
2019-10-18T06:44:00Z,0
2019-10-18T06:46:00Z,0
2019-10-18T06:48:00Z,0
2019-10-18T06:50:00Z,0
2019-10-18T06:52:00Z,0
2019-10-18T06:54:00Z,0
