Date and Time,"Water Level, meters"
2019-10-18T17:45:38Z,NA
2019-10-18T17:47:38Z,NA
2019-10-18T17:49:38Z,NA
2019-10-18T17:51:38Z,NA
2019-10-18T17:53:38Z,NA
2019-10-18T17:55:38Z,NA
2019-10-18T17:57:38Z,NA
2019-10-18T17:59:38Z,NA
2019-10-18T18:01:38Z,NA
2019-10-18T18:03:38Z,NA
2019-10-18T18:05:38Z,NA
2019-10-18T18:07:38Z,NA
2019-10-18T18:09:38Z,NA
2019-10-18T18:11:38Z,NA
2019-10-18T18:13:38Z,NA
2019-10-18T18:15:38Z,NA
2019-10-18T18:17:38Z,NA
2019-10-18T18:19:38Z,NA
2019-10-18T18:21:38Z,NA
2019-10-18T18:23:38Z,NA
2019-10-18T18:25:38Z,NA
2019-10-18T18:27:38Z,NA
2019-10-18T18:29:38Z,NA
2019-10-18T18:31:38Z,NA
2019-10-18T18:33:18Z,-0.001
2019-10-18T18:33:38Z,NA
2019-10-18T18:35:18Z,-0.004
2019-10-18T18:35:38Z,NA
2019-10-18T18:37:18Z,0
2019-10-18T18:37:38Z,NA
2019-10-18T18:39:18Z,-0.003
2019-10-18T18:39:38Z,NA
2019-10-18T18:41:18Z,-0.001
2019-10-18T18:41:38Z,NA
2019-10-18T18:43:18Z,-0.005
2019-10-18T18:43:38Z,NA
2019-10-18T18:45:18Z,-0.003
2019-10-18T18:45:38Z,NA
2019-10-18T18:47:18Z,-0.005
2019-10-18T18:47:38Z,NA
2019-10-18T18:49:18Z,-0.007
2019-10-18T18:49:38Z,NA
2019-10-18T18:51:18Z,-0.006
2019-10-18T18:51:38Z,NA
2019-10-18T18:53:18Z,-0.009
2019-10-18T18:53:38Z,NA
2019-10-18T18:55:18Z,-0.005
2019-10-18T18:55:38Z,NA
2019-10-18T18:57:18Z,-0.005
2019-10-18T18:57:38Z,NA
2019-10-18T18:59:18Z,-0.005
2019-10-18T18:59:38Z,NA
2019-10-18T19:01:18Z,-0.005
2019-10-18T19:01:38Z,NA
2019-10-18T19:03:18Z,-0.005
2019-10-18T19:03:38Z,NA
2019-10-18T19:05:18Z,-0.007
2019-10-18T19:05:38Z,NA
2019-10-18T19:07:18Z,-0.007
2019-10-18T19:07:38Z,NA
2019-10-18T19:09:18Z,-0.005
2019-10-18T19:09:38Z,NA
2019-10-18T19:11:18Z,-0.008
2019-10-18T19:11:38Z,NA
2019-10-18T19:13:18Z,-0.005
2019-10-18T19:13:38Z,NA
2019-10-18T19:15:18Z,-0.008
2019-10-18T19:15:38Z,NA
2019-10-18T19:17:18Z,-0.005
2019-10-18T19:17:38Z,NA
2019-10-18T19:19:18Z,-0.005
2019-10-18T19:19:38Z,NA
2019-10-18T19:21:18Z,-0.008
2019-10-18T19:21:38Z,NA
2019-10-18T19:23:18Z,-0.006
2019-10-18T19:23:38Z,NA
2019-10-18T19:25:18Z,-0.004
2019-10-18T19:25:38Z,NA
2019-10-18T19:27:18Z,-0.008
2019-10-18T19:27:38Z,NA
2019-10-18T19:29:18Z,-0.006
