Date and Time,Velocity (m/s)
2019-11-01T00:00:00Z,0
2019-11-01T00:02:00Z,0
2019-11-01T00:04:00Z,0
2019-11-01T00:06:00Z,0
2019-11-01T00:08:00Z,0
2019-11-01T00:10:00Z,0
2019-11-01T00:12:00Z,0
2019-11-01T00:14:00Z,0
2019-11-01T00:16:00Z,0
2019-11-01T00:18:00Z,0
2019-11-01T00:20:00Z,0
2019-11-01T00:22:00Z,0
2019-11-01T00:24:00Z,0
2019-11-01T00:26:00Z,0
2019-11-01T00:28:00Z,0
2019-11-01T00:30:00Z,0
2019-11-01T00:32:00Z,0
2019-11-01T00:34:00Z,0
2019-11-01T00:36:00Z,0
2019-11-01T00:38:00Z,0
2019-11-01T00:40:00Z,0
2019-11-01T00:42:00Z,0
2019-11-01T00:44:00Z,0
2019-11-01T00:46:00Z,0
2019-11-01T00:48:00Z,0
2019-11-01T00:50:00Z,0
2019-11-01T00:52:00Z,0
2019-11-01T00:54:00Z,0
2019-11-01T00:56:00Z,0
2019-11-01T00:58:00Z,0
2019-11-01T01:00:00Z,0
2019-11-01T01:02:00Z,0
2019-11-01T01:04:00Z,0
2019-11-01T01:06:00Z,0
2019-11-01T01:08:00Z,0
2019-11-01T01:10:00Z,0
2019-11-01T01:12:00Z,0
2019-11-01T01:14:00Z,0
2019-11-01T01:16:00Z,0
2019-11-01T01:18:00Z,0
2019-11-01T01:20:00Z,0
2019-11-01T01:22:00Z,0
2019-11-01T01:24:00Z,0
2019-11-01T01:26:00Z,0
2019-11-01T01:28:00Z,0
2019-11-01T01:30:00Z,0
2019-11-01T01:32:00Z,0
2019-11-01T01:34:00Z,0
2019-11-01T01:36:00Z,0
2019-11-01T01:38:00Z,0
2019-11-01T01:40:00Z,0
2019-11-01T01:42:00Z,0
2019-11-01T01:44:00Z,0
2019-11-01T01:46:00Z,0
2019-11-01T01:48:00Z,0
2019-11-01T01:50:00Z,0
2019-11-01T01:52:00Z,0
2019-11-01T01:54:00Z,0
2019-11-01T01:56:00Z,0
2019-11-01T01:58:00Z,0
2019-11-01T02:00:00Z,0
2019-11-01T02:02:00Z,0
2019-11-01T02:04:00Z,0
2019-11-01T02:06:00Z,0
2019-11-01T02:08:00Z,0
2019-11-01T02:10:00Z,0
2019-11-01T02:12:00Z,0
2019-11-01T02:14:00Z,0
2019-11-01T02:16:00Z,0
2019-11-01T02:18:00Z,0
2019-11-01T02:20:00Z,0
2019-11-01T02:22:00Z,0
2019-11-01T02:24:00Z,0
2019-11-01T02:26:00Z,0
2019-11-01T02:28:00Z,0
2019-11-01T02:30:00Z,0
2019-11-01T02:32:00Z,0
2019-11-01T02:34:00Z,0
2019-11-01T02:36:00Z,0
2019-11-01T02:38:00Z,0
2019-11-01T02:40:00Z,0
2019-11-01T02:42:00Z,0
2019-11-01T02:44:00Z,0
2019-11-01T02:46:00Z,0
2019-11-01T02:48:00Z,0
2019-11-01T02:50:00Z,0
2019-11-01T02:52:00Z,0
2019-11-01T02:54:00Z,0
2019-11-01T02:56:00Z,0
2019-11-01T02:58:00Z,0
2019-11-01T03:00:00Z,0
2019-11-01T03:02:00Z,0
2019-11-01T03:04:00Z,0
2019-11-01T03:06:00Z,0
2019-11-01T03:08:00Z,0
2019-11-01T03:10:00Z,0
2019-11-01T03:12:00Z,0
2019-11-01T03:14:00Z,0
2019-11-01T03:16:00Z,0
2019-11-01T03:18:00Z,0
2019-11-01T03:20:00Z,0
2019-11-01T03:22:00Z,0
2019-11-01T03:24:00Z,0
2019-11-01T03:26:00Z,0
2019-11-01T03:28:00Z,0
2019-11-01T03:30:00Z,0
2019-11-01T03:32:00Z,0
2019-11-01T03:34:00Z,0
2019-11-01T03:36:00Z,0
2019-11-01T03:38:00Z,0
2019-11-01T03:40:00Z,0
2019-11-01T03:42:00Z,0
2019-11-01T03:44:00Z,0
2019-11-01T03:46:00Z,0
2019-11-01T03:48:00Z,0
2019-11-01T03:50:00Z,0
2019-11-01T03:52:00Z,0
2019-11-01T03:54:00Z,0
2019-11-01T03:56:00Z,0
2019-11-01T03:58:00Z,0
2019-11-01T04:00:00Z,0
2019-11-01T04:02:00Z,0
2019-11-01T04:04:00Z,0
2019-11-01T04:06:00Z,0
2019-11-01T04:08:00Z,0
2019-11-01T04:10:00Z,0
2019-11-01T04:12:00Z,0
2019-11-01T04:14:00Z,0
2019-11-01T04:16:00Z,0
2019-11-01T04:18:00Z,0
2019-11-01T04:20:00Z,0
2019-11-01T04:22:00Z,0
2019-11-01T04:24:00Z,0
2019-11-01T04:26:00Z,0
2019-11-01T04:28:00Z,0
2019-11-01T04:30:00Z,0
2019-11-01T04:32:00Z,0
2019-11-01T04:34:00Z,0
2019-11-01T04:36:00Z,0
2019-11-01T04:38:00Z,0
2019-11-01T04:40:00Z,0
2019-11-01T04:42:00Z,0
2019-11-01T04:44:00Z,0
2019-11-01T04:46:00Z,0
2019-11-01T04:48:00Z,0
2019-11-01T04:50:00Z,0
2019-11-01T04:52:00Z,0
2019-11-01T04:54:00Z,0
2019-11-01T04:56:00Z,0
2019-11-01T04:58:00Z,0
2019-11-01T05:00:00Z,0
2019-11-01T05:02:00Z,0
2019-11-01T05:04:00Z,0
2019-11-01T05:06:00Z,0
2019-11-01T05:08:00Z,0
2019-11-01T05:10:00Z,0
2019-11-01T05:12:00Z,0
2019-11-01T05:14:00Z,0
2019-11-01T05:16:00Z,0
2019-11-01T05:18:00Z,0
2019-11-01T05:20:00Z,0
2019-11-01T05:22:00Z,0
2019-11-01T05:24:00Z,0
2019-11-01T05:26:00Z,0
2019-11-01T05:28:00Z,0
2019-11-01T05:30:00Z,0
2019-11-01T05:32:00Z,0
2019-11-01T05:34:00Z,0
2019-11-01T05:36:00Z,0
2019-11-01T05:38:00Z,0
2019-11-01T05:40:00Z,0
2019-11-01T05:42:00Z,0
2019-11-01T05:44:00Z,0
2019-11-01T05:46:00Z,0
2019-11-01T05:48:00Z,0
2019-11-01T05:50:00Z,0
2019-11-01T05:52:00Z,0
2019-11-01T05:54:00Z,0
2019-11-01T05:56:00Z,0
2019-11-01T05:58:00Z,0
2019-11-01T06:00:00Z,0
2019-11-01T06:02:00Z,0
2019-11-01T06:04:00Z,0
2019-11-01T06:06:00Z,0
2019-11-01T06:08:00Z,0
2019-11-01T06:10:00Z,0
2019-11-01T06:12:00Z,0
2019-11-01T06:14:00Z,0
2019-11-01T06:16:00Z,0
2019-11-01T06:18:00Z,0
2019-11-01T06:20:00Z,0
2019-11-01T06:22:00Z,0
2019-11-01T06:24:00Z,0
2019-11-01T06:26:00Z,0
2019-11-01T06:28:00Z,0
2019-11-01T06:30:00Z,0
2019-11-01T06:32:00Z,0
2019-11-01T06:34:00Z,0
2019-11-01T06:36:00Z,0
2019-11-01T06:38:00Z,0
2019-11-01T06:40:00Z,0
2019-11-01T06:42:00Z,0
2019-11-01T06:44:00Z,0
2019-11-01T06:46:00Z,0
2019-11-01T06:48:00Z,0
2019-11-01T06:50:00Z,0
2019-11-01T06:52:00Z,0
2019-11-01T06:54:00Z,0
2019-11-01T06:56:00Z,0
2019-11-01T06:58:00Z,0
2019-11-01T07:00:00Z,0
2019-11-01T07:02:00Z,0
2019-11-01T07:04:00Z,0
2019-11-01T07:06:00Z,0
2019-11-01T07:08:00Z,0
2019-11-01T07:10:00Z,0
2019-11-01T07:12:00Z,0
2019-11-01T07:14:00Z,0
2019-11-01T07:16:00Z,0
2019-11-01T07:18:00Z,0
2019-11-01T07:20:00Z,0
2019-11-01T07:22:00Z,0
2019-11-01T07:24:00Z,0
2019-11-01T07:26:00Z,0
2019-11-01T07:28:00Z,0
2019-11-01T07:30:00Z,0
2019-11-01T07:32:00Z,0
2019-11-01T07:34:00Z,0
2019-11-01T07:36:00Z,0
2019-11-01T07:38:00Z,0
2019-11-01T07:40:00Z,0
2019-11-01T07:42:00Z,0
2019-11-01T07:44:00Z,0
2019-11-01T07:46:00Z,0
2019-11-01T07:48:00Z,0
2019-11-01T07:50:00Z,0
2019-11-01T07:52:00Z,0
2019-11-01T07:54:00Z,0
2019-11-01T07:56:00Z,0
2019-11-01T07:58:00Z,0
2019-11-01T08:00:00Z,0
2019-11-01T08:02:00Z,0
2019-11-01T08:04:00Z,0
2019-11-01T08:06:00Z,0
2019-11-01T08:08:00Z,0
2019-11-01T08:10:00Z,0
2019-11-01T08:12:00Z,0
2019-11-01T08:14:00Z,0
2019-11-01T08:16:00Z,0
2019-11-01T08:18:00Z,0
2019-11-01T08:20:00Z,0
2019-11-01T08:22:00Z,0
2019-11-01T08:24:00Z,0
2019-11-01T08:26:00Z,0
2019-11-01T08:28:00Z,0
2019-11-01T08:30:00Z,0
2019-11-01T08:32:00Z,0
2019-11-01T08:34:00Z,0
2019-11-01T08:36:00Z,0
2019-11-01T08:38:00Z,0
2019-11-01T08:40:00Z,0
2019-11-01T08:42:00Z,0
2019-11-01T08:44:00Z,0
2019-11-01T08:46:00Z,0
2019-11-01T08:48:00Z,0
2019-11-01T08:50:00Z,0
2019-11-01T08:52:00Z,0
2019-11-01T08:54:00Z,0
2019-11-01T08:56:00Z,0
2019-11-01T08:58:00Z,0
2019-11-01T09:00:00Z,0
2019-11-01T09:02:00Z,0
2019-11-01T09:04:00Z,0
2019-11-01T09:06:00Z,0
2019-11-01T09:08:00Z,0
2019-11-01T09:10:00Z,0
2019-11-01T09:12:00Z,0
2019-11-01T09:14:00Z,0
2019-11-01T09:16:00Z,0
2019-11-01T09:18:00Z,0
2019-11-01T09:20:00Z,0
2019-11-01T09:22:00Z,0
2019-11-01T09:24:00Z,0
2019-11-01T09:26:00Z,0
2019-11-01T09:28:00Z,0
2019-11-01T09:30:00Z,0
2019-11-01T09:32:00Z,0
2019-11-01T09:34:00Z,0
2019-11-01T09:36:00Z,0
2019-11-01T09:38:00Z,0
2019-11-01T09:40:00Z,0
2019-11-01T09:42:00Z,0
2019-11-01T09:44:00Z,0
2019-11-01T09:46:00Z,0
2019-11-01T09:48:00Z,0
2019-11-01T09:50:00Z,0
2019-11-01T09:52:00Z,0
2019-11-01T09:54:00Z,0
2019-11-01T09:56:00Z,0
2019-11-01T09:58:00Z,0
2019-11-01T10:00:00Z,0
2019-11-01T10:02:00Z,0
2019-11-01T10:04:00Z,0
2019-11-01T10:06:00Z,0
2019-11-01T10:08:00Z,0
2019-11-01T10:10:00Z,0
2019-11-01T10:12:00Z,0
2019-11-01T10:14:00Z,0
2019-11-01T10:16:00Z,0
2019-11-01T10:18:00Z,0
2019-11-01T10:20:00Z,0
2019-11-01T10:22:00Z,0
2019-11-01T10:24:00Z,0
2019-11-01T10:26:00Z,0
2019-11-01T10:28:00Z,0
2019-11-01T10:30:00Z,0
2019-11-01T10:32:00Z,0
2019-11-01T10:34:00Z,0
2019-11-01T10:36:00Z,0
2019-11-01T10:38:00Z,0
2019-11-01T10:40:00Z,0
2019-11-01T10:42:00Z,0
2019-11-01T10:44:00Z,0
2019-11-01T10:46:00Z,0
2019-11-01T10:48:00Z,0
2019-11-01T10:50:00Z,0
2019-11-01T10:52:00Z,0
2019-11-01T10:54:00Z,0
2019-11-01T10:56:00Z,0
2019-11-01T10:58:00Z,0
2019-11-01T11:00:00Z,0
2019-11-01T11:02:00Z,0
2019-11-01T11:04:00Z,0
2019-11-01T11:06:00Z,0
2019-11-01T11:08:00Z,0
2019-11-01T11:10:00Z,0
2019-11-01T11:12:00Z,0
2019-11-01T11:14:00Z,0
2019-11-01T11:16:00Z,0
2019-11-01T11:18:00Z,0
2019-11-01T11:20:00Z,0
2019-11-01T11:22:00Z,0
2019-11-01T11:24:00Z,0
2019-11-01T11:26:00Z,0
2019-11-01T11:28:00Z,0
2019-11-01T11:30:00Z,0
2019-11-01T11:32:00Z,0
2019-11-01T11:34:00Z,0
2019-11-01T11:36:00Z,0
2019-11-01T11:38:00Z,0
2019-11-01T11:40:00Z,0
2019-11-01T11:42:00Z,0
2019-11-01T11:44:00Z,0
2019-11-01T11:46:00Z,0
2019-11-01T11:48:00Z,0
2019-11-01T11:50:00Z,0
2019-11-01T11:52:00Z,0
2019-11-01T11:54:00Z,0
2019-11-01T11:56:00Z,0
2019-11-01T11:58:00Z,0
2019-11-01T12:00:00Z,0
2019-11-01T12:02:00Z,0
2019-11-01T12:04:00Z,0
2019-11-01T12:06:00Z,0
2019-11-01T12:08:00Z,0
2019-11-01T12:10:00Z,0
2019-11-01T12:12:00Z,0
2019-11-01T12:14:00Z,0
2019-11-01T12:16:00Z,0
2019-11-01T12:18:00Z,0
2019-11-01T12:20:00Z,0
2019-11-01T12:22:00Z,0
2019-11-01T12:24:00Z,0
2019-11-01T12:26:00Z,0
2019-11-01T12:28:00Z,0
2019-11-01T12:30:00Z,0
2019-11-01T12:32:00Z,0
2019-11-01T12:34:00Z,0
2019-11-01T12:36:00Z,0
2019-11-01T12:38:00Z,0
2019-11-01T12:40:00Z,0
2019-11-01T12:42:00Z,0
2019-11-01T12:44:00Z,0
2019-11-01T12:46:00Z,0
2019-11-01T12:48:00Z,0
2019-11-01T12:50:00Z,0
2019-11-01T12:52:00Z,0
2019-11-01T12:54:00Z,0
2019-11-01T12:56:00Z,0
2019-11-01T12:58:00Z,0
2019-11-01T13:00:00Z,0
2019-11-01T13:02:00Z,0
2019-11-01T13:04:00Z,0
2019-11-01T13:06:00Z,0
2019-11-01T13:08:00Z,0
2019-11-01T13:10:00Z,0
2019-11-01T13:12:00Z,0
2019-11-01T13:14:00Z,0
2019-11-01T13:16:00Z,0
2019-11-01T13:18:00Z,0
2019-11-01T13:20:00Z,0
2019-11-01T13:22:00Z,0
2019-11-01T13:24:00Z,0
2019-11-01T13:26:00Z,0
2019-11-01T13:28:00Z,0
2019-11-01T13:30:00Z,0
2019-11-01T13:32:00Z,0
2019-11-01T13:34:00Z,0
2019-11-01T13:36:00Z,0
2019-11-01T13:38:00Z,0
2019-11-01T13:40:00Z,0
2019-11-01T13:42:00Z,0
2019-11-01T13:44:00Z,0
2019-11-01T13:46:00Z,0
2019-11-01T13:48:00Z,0
2019-11-01T13:50:00Z,0
2019-11-01T13:52:00Z,0
2019-11-01T13:54:00Z,0
2019-11-01T13:56:00Z,0
2019-11-01T13:58:00Z,0
2019-11-01T14:00:00Z,0
2019-11-01T14:02:00Z,0
2019-11-01T14:04:00Z,0
2019-11-01T14:06:00Z,0
2019-11-01T14:08:00Z,0
2019-11-01T14:10:00Z,0
2019-11-01T14:12:00Z,0
2019-11-01T14:14:00Z,0
2019-11-01T14:16:00Z,0
2019-11-01T14:18:00Z,0
2019-11-01T14:20:00Z,0
2019-11-01T14:22:00Z,0
2019-11-01T14:24:00Z,0
2019-11-01T14:26:00Z,0.341
2019-11-01T14:28:00Z,0
2019-11-01T14:30:00Z,0
2019-11-01T14:32:00Z,0
2019-11-01T14:34:00Z,0
2019-11-01T14:36:00Z,0
2019-11-01T14:38:00Z,0
2019-11-01T14:40:00Z,0
2019-11-01T14:42:00Z,0
2019-11-01T14:44:00Z,0
2019-11-01T14:46:00Z,0
2019-11-01T14:48:00Z,0
2019-11-01T14:50:00Z,0
2019-11-01T14:52:00Z,0
2019-11-01T14:54:00Z,0
2019-11-01T14:56:00Z,0
2019-11-01T14:58:00Z,0
2019-11-01T15:00:00Z,0
2019-11-01T15:02:00Z,0
2019-11-01T15:04:00Z,0
2019-11-01T15:06:00Z,0
2019-11-01T15:08:00Z,0
2019-11-01T15:10:00Z,0
2019-11-01T15:12:00Z,0
2019-11-01T15:14:00Z,0
2019-11-01T15:16:00Z,0
2019-11-01T15:18:00Z,0
2019-11-01T15:20:00Z,0
2019-11-01T15:22:00Z,0
2019-11-01T15:24:00Z,0
2019-11-01T15:26:00Z,0
2019-11-01T15:28:00Z,0
2019-11-01T15:30:00Z,0
2019-11-01T15:32:00Z,0
2019-11-01T15:34:00Z,0
2019-11-01T15:36:00Z,0
2019-11-01T15:38:00Z,0
2019-11-01T15:40:00Z,0
2019-11-01T15:42:00Z,0
2019-11-01T15:44:00Z,0
2019-11-01T15:46:00Z,0
2019-11-01T15:48:00Z,0
2019-11-01T15:50:00Z,0
2019-11-01T15:52:00Z,0
2019-11-01T15:54:00Z,0
2019-11-01T15:56:00Z,0
2019-11-01T15:58:00Z,0
2019-11-01T16:00:00Z,0
2019-11-01T16:02:00Z,0
2019-11-01T16:04:00Z,0
2019-11-01T16:06:00Z,0
2019-11-01T16:08:00Z,0
2019-11-01T16:10:00Z,0
2019-11-01T16:12:00Z,0
2019-11-01T16:14:00Z,0
2019-11-01T16:16:00Z,0
2019-11-01T16:18:00Z,0
2019-11-01T16:20:00Z,0
2019-11-01T16:22:00Z,0
2019-11-01T16:24:00Z,0
2019-11-01T16:26:00Z,0
2019-11-01T16:28:00Z,0
2019-11-01T16:30:00Z,0
2019-11-01T16:32:00Z,0
2019-11-01T16:34:00Z,0
2019-11-01T16:36:00Z,0
2019-11-01T16:38:00Z,0
2019-11-01T16:40:00Z,0
2019-11-01T16:42:00Z,0
2019-11-01T16:44:00Z,0
2019-11-01T16:46:00Z,0
2019-11-01T16:48:00Z,0
2019-11-01T16:50:00Z,0
2019-11-01T16:52:00Z,0
2019-11-01T16:54:00Z,0
2019-11-01T16:56:00Z,0
2019-11-01T16:58:00Z,0
2019-11-01T17:00:00Z,0
2019-11-01T17:02:00Z,0
2019-11-01T17:04:00Z,0
2019-11-01T17:06:00Z,0
2019-11-01T17:08:00Z,0
2019-11-01T17:10:00Z,0
2019-11-01T17:12:00Z,0
2019-11-01T17:14:00Z,0
2019-11-01T17:16:00Z,0
2019-11-01T17:18:00Z,0
2019-11-01T17:20:00Z,0
2019-11-01T17:22:00Z,0
2019-11-01T17:24:00Z,0
2019-11-01T17:26:00Z,0
2019-11-01T17:28:00Z,0
2019-11-01T17:30:00Z,0
2019-11-01T17:32:00Z,0
2019-11-01T17:34:00Z,0
2019-11-01T17:36:00Z,0
2019-11-01T17:38:00Z,0
2019-11-01T17:40:00Z,0
2019-11-01T17:42:00Z,0
2019-11-01T17:44:00Z,0
2019-11-01T17:46:00Z,0
2019-11-01T17:48:00Z,0
2019-11-01T17:50:00Z,0
2019-11-01T17:52:00Z,0
2019-11-01T17:54:00Z,0
2019-11-01T17:56:00Z,0
2019-11-01T17:58:00Z,0
2019-11-01T18:00:00Z,0
2019-11-01T18:02:00Z,0
2019-11-01T18:04:00Z,0
2019-11-01T18:06:00Z,0
2019-11-01T18:08:00Z,0
2019-11-01T18:10:00Z,0
2019-11-01T18:12:00Z,0
2019-11-01T18:14:00Z,0
2019-11-01T18:16:00Z,0
2019-11-01T18:18:00Z,0
2019-11-01T18:20:00Z,0
2019-11-01T18:22:00Z,0
2019-11-01T18:24:00Z,0
2019-11-01T18:26:00Z,0
2019-11-01T18:28:00Z,0
2019-11-01T18:30:00Z,0
2019-11-01T18:32:00Z,0
2019-11-01T18:34:00Z,0
2019-11-01T18:36:00Z,0
2019-11-01T18:38:00Z,0
2019-11-01T18:40:00Z,0
2019-11-01T18:42:00Z,0
2019-11-01T18:44:00Z,0
2019-11-01T18:46:00Z,0
2019-11-01T18:48:00Z,0
2019-11-01T18:50:00Z,0
2019-11-01T18:52:00Z,0
2019-11-01T18:54:00Z,0
2019-11-01T18:56:00Z,0
2019-11-01T18:58:00Z,0
2019-11-01T19:00:00Z,0
2019-11-01T19:02:00Z,0
2019-11-01T19:04:00Z,0
