"Plot Title: v3p"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10548626, SEN S/N: 10548626)","Temp, °C (LGR S/N: 10548626, SEN S/N: 10548626)","Abs Pres Barom., kPa (LGR S/N: 2376503, SEN S/N: 2376503)","Water Level, meters (LGR S/N: 10548626)","Coupler Detached (LGR S/N: 10548626)","Coupler Attached (LGR S/N: 10548626)","Stopped (LGR S/N: 10548626)","End Of File (LGR S/N: 10548626)"
1,10/18/19 02:45:38 PM,,,100.327,,,,,
2,10/18/19 02:47:12 PM,103.229,19.758,,-0.010,Logged,,,
3,10/18/19 02:47:38 PM,,,100.333,,,,,
4,10/18/19 02:49:12 PM,103.327,19.092,,-0.001,,,,
5,10/18/19 02:49:38 PM,,,100.347,,,,,
6,10/18/19 02:51:12 PM,103.326,18.711,,0.000,,,,
7,10/18/19 02:51:38 PM,,,100.330,,,,,
8,10/18/19 02:53:12 PM,103.320,18.521,,-0.002,,,,
9,10/18/19 02:53:38 PM,,,100.351,,,,,
10,10/18/19 02:55:12 PM,103.296,18.426,,-0.004,,,,
11,10/18/19 02:55:38 PM,,,100.339,,,,,
12,10/18/19 02:57:12 PM,103.315,18.331,,-0.001,,,,
13,10/18/19 02:57:38 PM,,,100.331,,,,,
14,10/18/19 02:59:12 PM,103.322,18.236,,-0.000,,,,
15,10/18/19 02:59:38 PM,,,100.334,,,,,
16,10/18/19 03:01:12 PM,103.333,18.236,,-0.001,,,,
17,10/18/19 03:01:38 PM,,,100.351,,,,,
18,10/18/19 03:03:12 PM,103.322,18.236,,-0.002,,,,
19,10/18/19 03:03:38 PM,,,100.347,,,,,
20,10/18/19 03:05:12 PM,103.319,18.140,,-0.002,,,,
21,10/18/19 03:05:38 PM,,,100.343,,,,,
22,10/18/19 03:07:12 PM,103.319,18.140,,-0.002,,,,
23,10/18/19 03:07:38 PM,,,100.346,,,,,
24,10/18/19 03:09:12 PM,103.309,18.140,,-0.003,,,,
25,10/18/19 03:09:38 PM,,,100.342,,,,,
26,10/18/19 03:11:12 PM,103.309,18.140,,-0.001,,,,
27,10/18/19 03:11:38 PM,,,100.327,,,,,
28,10/18/19 03:13:12 PM,103.295,18.045,,-0.004,,,,
29,10/18/19 03:13:38 PM,,,100.345,,,,,
30,10/18/19 03:15:12 PM,103.295,18.045,,-0.004,,,,
31,10/18/19 03:15:38 PM,,,100.341,,,,,
32,10/18/19 03:17:12 PM,103.284,18.045,,-0.005,,,,
33,10/18/19 03:17:38 PM,,,100.337,,,,,
34,10/18/19 03:19:12 PM,103.295,18.045,,-0.003,,,,
35,10/18/19 03:19:38 PM,,,100.333,,,,,
36,10/18/19 03:21:12 PM,103.306,18.045,,-0.002,,,,
37,10/18/19 03:21:38 PM,,,100.329,,,,,
38,10/18/19 03:23:12 PM,103.295,18.045,,-0.004,,,,
39,10/18/19 03:23:38 PM,,,100.340,,,,,
40,10/18/19 03:25:12 PM,103.295,18.045,,-0.004,,,,
41,10/18/19 03:25:38 PM,,,100.336,,,,,
42,10/18/19 03:27:12 PM,103.306,18.045,,-0.003,,,,
43,10/18/19 03:27:38 PM,,,100.343,,,,,
44,10/18/19 03:29:12 PM,103.306,18.045,,-0.003,,,,
45,10/18/19 03:29:38 PM,,,100.339,,,,,
46,10/18/19 03:31:12 PM,103.317,18.045,,-0.003,,,,
47,10/18/19 03:31:38 PM,,,100.361,,,,,
48,10/18/19 03:33:12 PM,103.317,18.045,,-0.003,,,,
49,10/18/19 03:33:38 PM,,,100.346,,,,,
50,10/18/19 03:35:12 PM,103.295,18.045,,-0.005,,,,
51,10/18/19 03:35:38 PM,,,100.357,,,,,
52,10/18/19 03:37:12 PM,103.281,17.950,,-0.006,,,,
53,10/18/19 03:37:38 PM,,,100.342,,,,,
54,10/18/19 03:39:12 PM,103.292,17.950,,-0.004,,,,
55,10/18/19 03:39:38 PM,,,100.342,,,,,
56,10/18/19 03:41:12 PM,103.292,17.950,,-0.003,,,,
57,10/18/19 03:41:38 PM,,,100.327,,,,,
58,10/18/19 03:43:12 PM,103.292,17.950,,-0.003,,,,
59,10/18/19 03:43:38 PM,,,100.327,,,,,
60,10/18/19 03:45:12 PM,103.292,17.950,,-0.004,,,,
61,10/18/19 03:45:38 PM,,,100.338,,,,,
62,10/18/19 03:47:12 PM,103.281,17.950,,-0.006,,,,
63,10/18/19 03:47:38 PM,,,100.345,,,,,
64,10/18/19 03:49:12 PM,103.271,17.950,,-0.006,,,,
65,10/18/19 03:49:38 PM,,,100.334,,,,,
66,10/18/19 03:51:12 PM,103.281,17.950,,-0.006,,,,
67,10/18/19 03:51:38 PM,,,100.345,,,,,
68,10/18/19 03:53:12 PM,103.281,17.950,,-0.005,,,,
69,10/18/19 03:53:38 PM,,,100.341,,,,,
70,10/18/19 03:55:12 PM,103.271,17.950,,-0.006,,,,
71,10/18/19 03:55:38 PM,,,100.330,,,,,
72,10/18/19 03:57:12 PM,103.271,17.950,,-0.006,,,,
73,10/18/19 03:57:38 PM,,,100.341,,,,,
