Date,Difference
2023-05-25T14:39:02Z,0
2023-05-26T14:22:36Z,1
2023-05-26T14:27:44Z,1
2023-05-26T14:31:28Z,1
2023-05-26T14:34:35Z,1
2023-05-26T14:39:56Z,1
2023-05-26T14:57:51Z,1
2023-05-26T15:00:28Z,1
2023-05-26T15:00:53Z,1
2023-05-26T15:01:22Z,1
2023-05-26T15:01:41Z,1
2023-05-26T15:01:56Z,1
2023-05-26T15:02:07Z,1
2023-05-26T15:02:24Z,1
2023-05-26T15:02:38Z,1
2023-05-26T15:02:55Z,1
2023-05-26T15:03:06Z,1
2023-05-26T15:03:33Z,1
2023-05-26T15:03:46Z,1
2023-05-26T15:04:01Z,1
2023-05-26T15:04:09Z,1
2023-05-26T15:04:19Z,1
2023-05-26T15:04:24Z,1
2023-05-26T15:04:40Z,1
2023-05-26T15:04:57Z,1
2023-05-26T15:05:24Z,1
2023-05-26T15:05:38Z,1
2023-05-26T15:05:55Z,1
2023-05-26T15:06:18Z,1
2023-05-26T15:07:06Z,1
2023-05-26T15:08:40Z,1
2023-05-26T15:44:39Z,1
2023-05-26T15:54:42Z,1
2023-05-26T16:00:22Z,1
2023-05-26T16:01:25Z,1
2023-05-26T16:03:33Z,1
2023-05-26T16:05:53Z,1
2023-05-26T16:10:13Z,1
2023-05-26T16:11:59Z,1
2023-05-26T16:16:40Z,1
2023-05-26T16:36:33Z,1
2023-05-26T17:48:15Z,1
2023-05-26T17:48:45Z,1
2023-05-26T17:49:25Z,1
2023-05-26T17:49:46Z,1
2023-05-26T17:50:10Z,1
2023-05-26T17:50:27Z,1
2023-05-26T17:50:58Z,1
2023-05-26T17:51:15Z,1
2023-05-26T17:51:41Z,1
2023-05-26T17:51:58Z,1
2023-05-26T17:52:26Z,1
2023-05-26T17:52:48Z,1
2023-05-26T17:54:47Z,1
2023-05-26T17:55:50Z,1
2023-05-26T17:56:53Z,1
2023-05-26T17:57:53Z,1
2023-05-26T18:00:25Z,1
2023-05-26T18:01:09Z,1
2023-05-26T18:02:15Z,1
2023-05-26T18:03:16Z,1
2023-05-26T18:06:42Z,1
2023-05-26T18:14:41Z,1
2023-05-26T18:18:09Z,1
2023-05-26T18:21:05Z,1
2023-05-26T18:33:37Z,1
2023-05-26T18:35:21Z,1
2023-05-26T18:35:45Z,1
2023-05-26T18:36:01Z,1
2023-05-26T18:36:29Z,1
2023-05-26T18:36:56Z,1
2023-05-26T18:38:49Z,1
2023-05-26T18:43:08Z,1
2023-05-26T18:50:38Z,1
2023-05-26T18:53:29Z,1
2023-05-26T18:54:53Z,1
2023-05-26T18:56:51Z,1
2023-05-26T18:58:19Z,1
2023-05-26T19:00:37Z,1
2023-05-26T19:03:37Z,1
2023-05-26T19:04:05Z,1
2023-05-26T19:05:04Z,1
2023-05-26T19:05:46Z,1
2023-05-26T19:07:00Z,1
2023-05-26T19:08:09Z,1
2023-05-26T19:09:19Z,1
2023-05-26T19:09:54Z,1
2023-05-26T19:10:24Z,1
2023-05-26T19:10:44Z,1
2023-05-26T19:11:28Z,1
2023-05-26T19:12:14Z,1
2023-05-26T19:14:07Z,1
2023-05-26T19:32:16Z,1
2023-05-27T11:44:24Z,1
2023-06-04T08:43:20Z,1
2023-06-04T08:52:35Z,1
2023-06-04T08:54:32Z,1
2023-06-04T08:55:41Z,1
2023-06-04T08:56:12Z,1
2023-06-04T08:56:50Z,1
2023-06-04T08:57:37Z,1
2023-06-04T08:58:14Z,1
2023-06-04T08:58:24Z,1
2023-06-04T08:58:36Z,1
2023-06-04T08:58:44Z,1
2023-06-04T08:58:54Z,1
2023-06-04T08:59:01Z,1
2023-06-04T08:59:11Z,1
2023-06-04T08:59:20Z,1
2023-06-04T08:59:29Z,1
2023-06-04T08:59:39Z,1
2023-06-04T08:59:49Z,1
2023-06-04T08:59:59Z,1
2023-06-04T09:00:17Z,1
2023-06-04T09:00:34Z,1
2023-06-04T09:01:42Z,1
2023-06-04T11:12:18Z,1
2023-06-04T15:04:49Z,1
2023-06-04T16:01:07Z,1
2023-06-04T16:21:38Z,1
2023-06-04T16:37:12Z,1
2023-06-04T16:40:02Z,1
2023-06-04T16:42:39Z,1
2023-06-04T17:02:21Z,1
2023-06-04T21:48:09Z,1
2023-06-08T09:28:01Z,1
2023-06-08T09:38:55Z,1
2023-06-08T09:42:23Z,1
2023-06-08T09:49:49Z,1
2023-06-08T10:00:13Z,1
2023-06-10T06:12:30Z,1
2023-06-10T06:57:46Z,1
2023-06-10T07:10:25Z,1
2023-06-10T07:31:57Z,1
2023-06-10T07:33:55Z,1
2023-06-10T08:22:30Z,1
2023-06-10T08:23:16Z,1
2023-06-10T08:24:28Z,1
2023-06-10T08:25:19Z,1
2023-06-10T08:26:37Z,1
2023-06-10T08:34:56Z,1
2023-06-10T14:16:16Z,1
2023-06-10T14:16:53Z,1
2023-06-10T14:17:11Z,1
2023-06-10T14:17:24Z,1
2023-06-10T14:17:38Z,1
2023-06-10T14:17:49Z,1
2023-06-10T14:18:01Z,1
2023-06-10T14:18:12Z,1
2023-06-10T14:18:33Z,1
2023-06-10T14:18:58Z,1
2023-06-10T14:21:20Z,1
2023-06-10T14:29:56Z,1
2023-06-15T19:40:19Z,0
