Date,Difference
2019-11-01T19:46:00Z,0
2019-11-02T12:49:33Z,1
2019-11-02T12:54:37Z,1
2019-11-02T13:00:55Z,1
2019-11-02T13:07:56Z,1
2019-11-02T13:10:39Z,1
2019-11-02T13:12:54Z,1
2019-11-02T13:16:03Z,1
2019-11-02T13:19:41Z,1
2019-11-02T13:23:57Z,1
2019-11-02T13:27:55Z,1
2019-11-02T13:31:40Z,1
2019-11-02T13:36:47Z,1
2019-11-02T13:39:32Z,1
2019-11-02T13:42:54Z,1
2019-11-02T13:48:31Z,1
2019-11-02T13:53:09Z,1
2019-11-02T13:57:58Z,1
2019-11-02T14:07:48Z,1
2019-11-02T15:00:50Z,1
2019-11-02T15:07:58Z,1
2019-11-02T15:11:33Z,1
2019-11-02T15:15:31Z,1
2019-11-02T15:17:45Z,1
2019-11-02T15:20:55Z,1
2019-11-02T15:25:15Z,1
2019-11-02T15:28:07Z,1
2019-11-02T15:30:31Z,1
2019-11-02T15:33:12Z,1
2019-11-02T15:36:53Z,1
2019-11-02T15:41:24Z,1
2019-11-02T15:52:50Z,1
2019-11-02T16:01:40Z,1
2019-11-02T16:06:58Z,1
2019-11-02T16:15:52Z,1
2019-11-02T16:18:43Z,1
2019-11-02T16:21:18Z,1
2019-11-02T16:23:21Z,1
2019-11-02T16:25:23Z,1
2019-11-02T16:27:28Z,1
2019-11-02T16:30:46Z,1
2019-11-02T16:33:07Z,1
2019-11-02T16:36:41Z,1
2019-11-02T16:39:32Z,1
2019-11-02T16:43:52Z,1
2019-11-02T16:52:12Z,1
2019-11-02T17:01:15Z,1
2019-11-02T17:05:41Z,1
2019-11-02T17:09:39Z,1
2019-11-02T17:12:26Z,1
2019-11-02T17:16:08Z,1
2019-11-02T17:18:54Z,1
2019-11-02T17:22:59Z,1
2019-11-02T17:25:54Z,1
2019-11-02T17:30:26Z,1
2019-11-02T17:36:44Z,1
2019-11-02T17:49:48Z,1
2019-11-02T18:04:57Z,1
2019-11-02T18:12:33Z,1
2019-11-02T18:19:36Z,1
2019-11-02T18:31:03Z,1
2019-11-02T18:46:53Z,1
2019-11-02T19:29:51Z,1
2019-11-02T19:55:36Z,1
2019-11-02T20:13:47Z,1
2019-11-03T06:57:53Z,1
2019-11-04T09:57:10Z,1
2019-11-04T10:09:36Z,1
2019-11-04T10:15:10Z,1
2019-11-04T10:25:20Z,1
2019-11-04T10:28:57Z,1
2019-11-04T10:32:00Z,1
2019-11-04T10:38:35Z,1
2019-11-04T10:47:56Z,1
2019-11-04T10:57:07Z,1
2019-11-04T11:02:04Z,1
2019-11-04T12:10:16Z,1
2019-11-04T15:51:19Z,1
2019-11-04T15:59:57Z,1
2019-11-04T16:01:50Z,1
2019-11-04T16:03:19Z,1
2019-11-04T16:04:07Z,1
2019-11-04T16:05:41Z,1
2019-11-04T16:06:58Z,1
2019-11-04T16:08:31Z,1
2019-11-04T16:09:35Z,1
2019-11-04T16:10:41Z,1
2019-11-04T16:11:52Z,1
2019-11-04T16:13:34Z,1
2019-11-04T16:15:20Z,1
2019-11-04T16:17:15Z,1
2019-11-04T16:19:01Z,1
2019-11-04T16:22:00Z,1
2019-11-04T16:25:15Z,1
2019-11-04T16:28:32Z,1
2019-11-04T16:31:44Z,1
2019-11-04T16:34:46Z,1
2019-11-04T16:37:52Z,1
2019-11-04T16:41:30Z,1
2019-11-04T16:44:51Z,1
2019-11-04T16:48:25Z,1
2019-11-04T16:50:27Z,1
2019-11-04T16:53:21Z,1
2019-11-04T16:56:59Z,1
2019-11-04T17:02:42Z,1
2019-11-04T17:07:44Z,1
2019-11-04T17:12:47Z,1
2019-11-04T17:19:08Z,1
2019-11-04T17:45:13Z,1
2019-11-04T17:57:35Z,1
2019-11-04T18:01:53Z,1
2019-11-04T18:05:06Z,1
2019-11-04T18:07:59Z,1
2019-11-04T18:09:44Z,1
2019-11-04T18:11:52Z,1
2019-11-04T18:13:43Z,1
2019-11-04T18:15:31Z,1
2019-11-04T18:17:19Z,1
2019-11-04T18:19:54Z,1
2019-11-04T18:22:13Z,1
2019-11-04T18:24:51Z,1
2019-11-04T18:27:10Z,1
2019-11-04T18:29:23Z,1
2019-11-04T18:31:43Z,1
2019-11-04T18:35:11Z,1
2019-11-04T18:38:46Z,1
2019-11-04T18:43:14Z,1
2019-11-04T18:48:30Z,1
2019-11-04T18:54:27Z,1
2019-11-04T18:57:56Z,1
2019-11-04T19:01:18Z,1
2019-11-04T19:04:17Z,1
2019-11-04T19:07:36Z,1
2019-11-04T19:10:30Z,1
2019-11-04T19:13:32Z,1
2019-11-04T19:15:37Z,1
2019-11-04T19:18:14Z,1
2019-11-04T19:21:06Z,1
2019-11-04T19:25:12Z,1
2019-11-04T19:31:16Z,1
2019-11-04T19:38:07Z,1
2019-11-04T19:43:52Z,1
2019-11-04T19:54:52Z,1
2019-11-04T20:17:44Z,1
2019-11-04T21:02:41Z,1
2019-11-04T21:10:35Z,1
2019-11-04T21:16:42Z,1
2019-11-04T21:25:42Z,1
2019-11-05T00:43:51Z,1
2019-11-05T02:51:58Z,1
2019-11-05T03:00:05Z,1
2019-11-05T03:11:20Z,1
2019-11-12T17:18:01Z,0
