Date,Difference
2023-05-25T17:18:59Z,0
2023-05-26T15:18:32Z,1
2023-05-26T15:19:45Z,1
2023-05-26T15:21:16Z,1
2023-05-26T15:23:00Z,1
2023-05-26T15:24:24Z,1
2023-05-26T15:26:30Z,1
2023-05-26T15:28:05Z,1
2023-05-26T15:29:19Z,1
2023-05-26T15:30:27Z,1
2023-05-26T15:31:39Z,1
2023-05-26T15:33:19Z,1
2023-05-26T15:34:58Z,1
2023-05-26T15:36:44Z,1
2023-05-26T15:38:54Z,1
2023-05-26T15:42:29Z,1
2023-05-26T15:44:27Z,1
2023-05-26T15:46:06Z,1
2023-05-26T15:49:05Z,1
2023-05-26T15:55:53Z,1
2023-05-26T15:56:12Z,1
2023-05-26T15:56:41Z,1
2023-05-26T15:57:19Z,1
2023-05-26T15:57:32Z,1
2023-05-26T15:57:42Z,1
2023-05-26T15:57:57Z,1
2023-05-26T15:58:53Z,1
2023-05-26T15:59:21Z,1
2023-05-26T15:59:37Z,1
2023-05-26T15:59:52Z,1
2023-05-26T16:00:09Z,1
2023-05-26T16:00:25Z,1
2023-05-26T16:00:41Z,1
2023-05-26T16:00:52Z,1
2023-05-26T16:01:05Z,1
2023-05-26T16:01:10Z,1
2023-05-26T16:01:17Z,1
2023-05-26T16:01:23Z,1
2023-05-26T16:01:30Z,1
2023-05-26T16:01:33Z,1
2023-05-26T16:01:36Z,1
2023-05-26T16:01:39Z,1
2023-05-26T16:01:43Z,1
2023-05-26T16:01:46Z,1
2023-05-26T16:01:49Z,1
2023-05-26T16:01:53Z,1
2023-05-26T16:01:57Z,1
2023-05-26T16:02:00Z,1
2023-05-26T16:02:04Z,1
2023-05-26T16:02:07Z,1
2023-05-26T16:02:11Z,1
2023-05-26T16:02:16Z,1
2023-05-26T16:02:20Z,1
2023-05-26T16:02:25Z,1
2023-05-26T16:02:29Z,1
2023-05-26T16:02:34Z,1
2023-05-26T16:02:38Z,1
2023-05-26T16:02:43Z,1
2023-05-26T16:02:47Z,1
2023-05-26T16:02:52Z,1
2023-05-26T16:02:56Z,1
2023-05-26T16:02:59Z,1
2023-05-26T16:03:03Z,1
2023-05-26T16:03:06Z,1
2023-05-26T16:03:10Z,1
2023-05-26T16:03:15Z,1
2023-05-26T16:03:20Z,1
2023-05-26T16:03:25Z,1
2023-05-26T16:03:30Z,1
2023-05-26T16:03:36Z,1
2023-05-26T16:03:41Z,1
2023-05-26T16:03:47Z,1
2023-05-26T16:03:52Z,1
2023-05-26T16:03:59Z,1
2023-05-26T16:04:06Z,1
2023-05-26T16:04:12Z,1
2023-05-26T16:04:19Z,1
2023-05-26T16:04:27Z,1
2023-05-26T16:04:36Z,1
2023-05-26T16:04:46Z,1
2023-05-26T16:04:55Z,1
2023-05-26T16:05:05Z,1
2023-05-26T16:05:18Z,1
2023-05-26T16:05:31Z,1
2023-05-26T16:05:41Z,1
2023-05-26T16:05:54Z,1
2023-05-26T16:06:16Z,1
2023-05-26T16:06:37Z,1
2023-05-26T16:07:28Z,1
2023-05-26T16:09:11Z,1
2023-05-26T16:23:15Z,1
2023-05-26T16:49:29Z,1
2023-05-26T16:53:29Z,1
2023-05-26T16:54:48Z,1
2023-05-26T16:57:02Z,1
2023-05-26T16:59:04Z,1
2023-05-26T16:59:46Z,1
2023-05-26T17:00:17Z,1
2023-05-26T17:00:43Z,1
2023-05-26T17:01:07Z,1
2023-05-26T17:01:35Z,1
2023-05-26T17:02:05Z,1
2023-05-26T17:02:31Z,1
2023-05-26T17:02:57Z,1
2023-05-26T17:03:42Z,1
2023-05-26T17:04:57Z,1
2023-05-26T17:06:52Z,1
2023-05-26T17:09:12Z,1
2023-05-26T17:10:23Z,1
2023-05-26T17:11:15Z,1
2023-05-26T17:12:30Z,1
2023-05-26T17:13:53Z,1
2023-05-26T17:15:10Z,1
2023-05-26T17:17:14Z,1
2023-05-26T17:21:49Z,1
2023-05-26T17:37:19Z,1
