Date,Difference
2019-10-18T14:05:23Z,0
2019-10-20T22:43:18Z,1
2019-10-20T23:13:53Z,1
2019-10-20T23:21:47Z,1
2019-10-20T23:35:48Z,1
2019-10-20T23:35:49Z,1
2019-10-20T23:43:53Z,1
2019-10-21T02:00:04Z,1
2019-10-27T04:12:13Z,1
2019-10-27T04:26:46Z,1
2019-10-27T10:39:47Z,1
2019-10-27T11:07:50Z,1
2019-10-27T11:46:15Z,1
2019-10-27T11:46:39Z,1
2019-10-27T11:47:13Z,1
2019-10-27T11:47:36Z,1
2019-10-27T11:48:04Z,1
2019-10-27T11:48:27Z,1
2019-10-27T11:48:56Z,1
2019-10-27T11:49:24Z,1
2019-10-27T11:49:55Z,1
2019-10-27T11:50:15Z,1
2019-10-27T11:50:48Z,1
2019-10-27T11:51:16Z,1
2019-10-27T11:51:30Z,1
2019-10-27T11:51:44Z,1
2019-10-27T11:52:13Z,1
2019-10-27T11:52:45Z,1
2019-10-27T11:54:23Z,1
2019-10-27T11:57:39Z,1
2019-10-27T12:03:19Z,1
2019-10-27T12:12:00Z,1
2019-10-27T19:30:53Z,1
2019-10-27T19:44:22Z,1
2019-10-27T19:53:34Z,1
2019-10-27T19:57:23Z,1
2019-10-27T20:01:51Z,1
2019-10-27T20:07:23Z,1
2019-10-27T20:18:45Z,1
2019-10-27T20:23:20Z,1
2019-10-27T20:23:21Z,1
2019-10-27T20:30:08Z,1
2019-10-27T20:34:34Z,1
2019-10-27T20:39:29Z,1
2019-10-27T20:43:02Z,1
2019-10-27T20:48:30Z,1
2019-10-27T20:51:37Z,1
2019-10-27T20:54:18Z,1
2019-10-27T20:57:03Z,1
2019-10-27T20:57:04Z,1
2019-10-27T21:00:58Z,1
2019-10-27T21:03:23Z,1
2019-10-27T21:06:34Z,1
2019-10-27T21:10:55Z,1
2019-10-27T21:10:56Z,1
2019-10-27T21:16:18Z,1
2019-10-27T21:20:14Z,1
2019-10-27T21:23:11Z,1
2019-10-27T21:26:13Z,1
2019-10-27T21:30:24Z,1
2019-10-27T21:33:48Z,1
2019-10-27T21:37:55Z,1
2019-10-27T21:41:53Z,1
2019-10-27T21:47:34Z,1
2019-10-27T21:50:55Z,1
2019-10-27T21:53:37Z,1
2019-10-27T21:55:32Z,1
