"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
1,11/01/19 04:46:00 PM,30.255,0.00,,,
2,11/01/19 05:46:00 PM,28.357,,,,
3,11/01/19 06:46:00 PM,24.158,,,,
4,11/01/19 07:46:00 PM,20.901,,,,
5,11/01/19 08:46:00 PM,22.046,,,,
6,11/01/19 09:46:00 PM,21.473,,,,
7,11/01/19 10:46:00 PM,20.519,,,,
8,11/01/19 11:46:00 PM,20.138,,,,
9,11/02/19 12:46:00 AM,20.519,,,,
10,11/02/19 01:46:00 AM,19.853,,,,
11,11/02/19 02:46:00 AM,20.043,,,,
12,11/02/19 03:46:00 AM,20.043,,,,
13,11/02/19 04:46:00 AM,19.758,,,,
14,11/02/19 05:46:00 AM,19.853,,,,
15,11/02/19 06:46:00 AM,20.138,,,,
16,11/02/19 07:46:00 AM,20.329,,,,
17,11/02/19 08:46:00 AM,20.710,,,,
18,11/02/19 09:46:00 AM,20.901,,,,
19,11/02/19 09:49:33 AM,,1.00,,,
20,11/02/19 09:54:37 AM,,2.00,,,
21,11/02/19 10:00:55 AM,,3.00,,,
22,11/02/19 10:07:56 AM,,4.00,,,
23,11/02/19 10:10:39 AM,,5.00,,,
24,11/02/19 10:12:54 AM,,6.00,,,
25,11/02/19 10:16:03 AM,,7.00,,,
26,11/02/19 10:19:41 AM,,8.00,,,
27,11/02/19 10:23:57 AM,,9.00,,,
28,11/02/19 10:27:55 AM,,10.00,,,
29,11/02/19 10:31:40 AM,,11.00,,,
30,11/02/19 10:36:47 AM,,12.00,,,
31,11/02/19 10:39:32 AM,,13.00,,,
32,11/02/19 10:42:54 AM,,14.00,,,
33,11/02/19 10:46:00 AM,21.091,,,,
34,11/02/19 10:48:31 AM,,15.00,,,
35,11/02/19 10:53:09 AM,,16.00,,,
36,11/02/19 10:57:58 AM,,17.00,,,
37,11/02/19 11:07:48 AM,,18.00,,,
38,11/02/19 11:46:00 AM,21.282,,,,
39,11/02/19 12:00:50 PM,,19.00,,,
40,11/02/19 12:07:58 PM,,20.00,,,
41,11/02/19 12:11:33 PM,,21.00,,,
42,11/02/19 12:15:31 PM,,22.00,,,
43,11/02/19 12:17:45 PM,,23.00,,,
44,11/02/19 12:20:55 PM,,24.00,,,
45,11/02/19 12:25:15 PM,,25.00,,,
46,11/02/19 12:28:07 PM,,26.00,,,
47,11/02/19 12:30:31 PM,,27.00,,,
48,11/02/19 12:33:12 PM,,28.00,,,
49,11/02/19 12:36:53 PM,,29.00,,,
50,11/02/19 12:41:24 PM,,30.00,,,
51,11/02/19 12:46:00 PM,20.138,,,,
52,11/02/19 12:52:50 PM,,31.00,,,
53,11/02/19 01:01:40 PM,,32.00,,,
54,11/02/19 01:06:58 PM,,33.00,,,
55,11/02/19 01:15:52 PM,,34.00,,,
56,11/02/19 01:18:43 PM,,35.00,,,
57,11/02/19 01:21:18 PM,,36.00,,,
58,11/02/19 01:23:21 PM,,37.00,,,
59,11/02/19 01:25:23 PM,,38.00,,,
60,11/02/19 01:27:28 PM,,39.00,,,
61,11/02/19 01:30:46 PM,,40.00,,,
62,11/02/19 01:33:07 PM,,41.00,,,
63,11/02/19 01:36:41 PM,,42.00,,,
64,11/02/19 01:39:32 PM,,43.00,,,
65,11/02/19 01:43:52 PM,,44.00,,,
66,11/02/19 01:46:00 PM,19.567,,,,
67,11/02/19 01:52:12 PM,,45.00,,,
68,11/02/19 02:01:15 PM,,46.00,,,
69,11/02/19 02:05:41 PM,,47.00,,,
70,11/02/19 02:09:39 PM,,48.00,,,
71,11/02/19 02:12:26 PM,,49.00,,,
72,11/02/19 02:16:08 PM,,50.00,,,
73,11/02/19 02:18:54 PM,,51.00,,,
74,11/02/19 02:22:59 PM,,52.00,,,
75,11/02/19 02:25:54 PM,,53.00,,,
76,11/02/19 02:30:26 PM,,54.00,,,
77,11/02/19 02:36:44 PM,,55.00,,,
78,11/02/19 02:46:00 PM,19.282,,,,
79,11/02/19 02:49:48 PM,,56.00,,,
80,11/02/19 03:04:57 PM,,57.00,,,
81,11/02/19 03:12:33 PM,,58.00,,,
82,11/02/19 03:19:36 PM,,59.00,,,
83,11/02/19 03:31:03 PM,,60.00,,,
84,11/02/19 03:46:00 PM,19.472,,,,
85,11/02/19 03:46:53 PM,,61.00,,,
86,11/02/19 04:29:51 PM,,62.00,,,
87,11/02/19 04:46:00 PM,19.662,,,,
88,11/02/19 04:55:36 PM,,63.00,,,
89,11/02/19 05:13:47 PM,,64.00,,,
90,11/02/19 05:46:00 PM,19.758,,,,
91,11/02/19 06:46:00 PM,19.187,,,,
92,11/02/19 07:46:00 PM,19.377,,,,
93,11/02/19 08:46:00 PM,18.521,,,,
94,11/02/19 09:46:00 PM,19.187,,,,
95,11/02/19 10:46:00 PM,17.760,,,,
96,11/02/19 11:46:00 PM,18.996,,,,
97,11/03/19 12:46:00 AM,19.282,,,,
98,11/03/19 01:46:00 AM,19.377,,,,
99,11/03/19 02:46:00 AM,19.472,,,,
100,11/03/19 03:46:00 AM,19.282,,,,
101,11/03/19 03:57:53 AM,,65.00,,,
102,11/03/19 04:46:00 AM,18.426,,,,
103,11/03/19 05:46:00 AM,17.284,,,,
104,11/03/19 06:46:00 AM,17.379,,,,
105,11/03/19 07:46:00 AM,18.806,,,,
106,11/03/19 08:46:00 AM,19.377,,,,
107,11/03/19 09:46:00 AM,20.519,,,,
108,11/03/19 10:46:00 AM,22.621,,,,
109,11/03/19 11:46:00 AM,23.966,,,,
110,11/03/19 12:46:00 PM,24.158,,,,
111,11/03/19 01:46:00 PM,25.805,,,,
112,11/03/19 02:46:00 PM,25.028,,,,
113,11/03/19 03:46:00 PM,25.319,,,,
114,11/03/19 04:46:00 PM,26.195,,,,
115,11/03/19 05:46:00 PM,26.097,,,,
116,11/03/19 06:46:00 PM,21.855,,,,
117,11/03/19 07:46:00 PM,16.713,,,,
118,11/03/19 08:46:00 PM,15.091,,,,
119,11/03/19 09:46:00 PM,14.804,,,,
120,11/03/19 10:46:00 PM,14.804,,,,
121,11/03/19 11:46:00 PM,15.091,,,,
122,11/04/19 12:46:00 AM,16.618,,,,
123,11/04/19 01:46:00 AM,15.473,,,,
124,11/04/19 02:46:00 AM,15.091,,,,
125,11/04/19 03:46:00 AM,16.046,,,,
126,11/04/19 04:46:00 AM,16.618,,,,
127,11/04/19 05:46:00 AM,16.523,,,,
128,11/04/19 06:46:00 AM,17.094,,,,
129,11/04/19 06:57:10 AM,,66.00,,,
130,11/04/19 07:09:36 AM,,67.00,,,
131,11/04/19 07:15:10 AM,,68.00,,,
132,11/04/19 07:25:20 AM,,69.00,,,
133,11/04/19 07:28:57 AM,,70.00,,,
134,11/04/19 07:32:00 AM,,71.00,,,
135,11/04/19 07:38:35 AM,,72.00,,,
136,11/04/19 07:46:00 AM,17.855,,,,
137,11/04/19 07:47:56 AM,,73.00,,,
138,11/04/19 07:57:07 AM,,74.00,,,
