"Plot Title: r4"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10075968, SEN S/N: 10075968)","Evento, unidades (LGR S/N: 10075968, SEN S/N: 10075968)","Coupler Attached (LGR S/N: 10075968)","Coupler Detached (LGR S/N: 10075968)","Stopped (LGR S/N: 10075968)","End Of File (LGR S/N: 10075968)"
1,11/01/19 12:05:23 PM,25.319,0.00,,,,
2,11/01/19 01:05:23 PM,27.075,,,,,
3,11/01/19 02:05:23 PM,27.665,,,,,
4,11/01/19 03:05:23 PM,29.053,,,,,
5,11/01/19 04:05:23 PM,29.152,,,,,
6,11/01/19 05:05:23 PM,28.555,,,,,
7,11/01/19 06:05:23 PM,26.000,,,,,
8,11/01/19 07:05:23 PM,23.773,,,,,
9,11/01/19 08:05:23 PM,21.760,,,,,
10,11/01/19 09:05:23 PM,21.951,,,,,
11,11/01/19 10:05:23 PM,21.473,,,,,
12,11/01/19 11:05:23 PM,20.901,,,,,
13,11/02/19 12:05:23 AM,20.424,,,,,
14,11/02/19 01:05:23 AM,20.138,,,,,
15,11/02/19 02:05:23 AM,19.662,,,,,
16,11/02/19 03:05:23 AM,19.472,,,,,
17,11/02/19 04:05:23 AM,20.138,,,,,
18,11/02/19 05:05:23 AM,19.758,,,,,
19,11/02/19 06:05:23 AM,20.043,,,,,
20,11/02/19 07:05:23 AM,20.234,,,,,
21,11/02/19 08:05:23 AM,20.424,,,,,
22,11/02/19 09:05:23 AM,20.901,,,,,
23,11/02/19 09:49:17 AM,,1.00,,,,
24,11/02/19 09:53:41 AM,,2.00,,,,
25,11/02/19 09:59:08 AM,,3.00,,,,
26,11/02/19 10:05:23 AM,21.187,,,,,
27,11/02/19 10:06:01 AM,,4.00,,,,
28,11/02/19 10:10:39 AM,,5.00,,,,
29,11/02/19 10:11:54 AM,,6.00,,,,
30,11/02/19 10:12:40 AM,,7.00,,,,
31,11/02/19 10:14:21 AM,,8.00,,,,
32,11/02/19 10:16:55 AM,,9.00,,,,
33,11/02/19 10:20:42 AM,,10.00,,,,
34,11/02/19 10:23:49 AM,,11.00,,,,
35,11/02/19 10:23:50 AM,,12.00,,,,
36,11/02/19 10:28:18 AM,,13.00,,,,
37,11/02/19 10:31:44 AM,,14.00,,,,
38,11/02/19 10:37:00 AM,,15.00,,,,
39,11/02/19 10:39:18 AM,,16.00,,,,
40,11/02/19 10:41:22 AM,,17.00,,,,
41,11/02/19 10:43:36 AM,,18.00,,,,
42,11/02/19 10:50:29 AM,,19.00,,,,
43,11/02/19 10:53:32 AM,,20.00,,,,
44,11/02/19 10:58:22 AM,,21.00,,,,
45,11/02/19 11:05:23 AM,21.187,,,,,
46,11/02/19 11:07:14 AM,,22.00,,,,
47,11/02/19 11:23:30 AM,,23.00,,,,
48,11/02/19 12:05:23 PM,21.091,,,,,
49,11/02/19 12:08:07 PM,,24.00,,,,
50,11/02/19 12:12:09 PM,,25.00,,,,
51,11/02/19 12:15:30 PM,,26.00,,,,
52,11/02/19 12:18:12 PM,,27.00,,,,
53,11/02/19 12:20:31 PM,,28.00,,,,
54,11/02/19 12:24:13 PM,,29.00,,,,
55,11/02/19 12:27:38 PM,,30.00,,,,
56,11/02/19 12:27:39 PM,,31.00,,,,
57,11/02/19 12:30:15 PM,,32.00,,,,
58,11/02/19 12:33:15 PM,,33.00,,,,
59,11/02/19 12:37:16 PM,,34.00,,,,
60,11/02/19 12:40:54 PM,,35.00,,,,
61,11/02/19 12:50:00 PM,,36.00,,,,
62,11/02/19 12:57:13 PM,,37.00,,,,
63,11/02/19 01:04:47 PM,,38.00,,,,
64,11/02/19 01:05:23 PM,20.329,,,,,
65,11/02/19 01:11:52 PM,,39.00,,,,
66,11/02/19 01:19:02 PM,,40.00,,,,
67,11/02/19 01:21:23 PM,,41.00,,,,
68,11/02/19 01:23:22 PM,,42.00,,,,
69,11/02/19 01:25:20 PM,,43.00,,,,
70,11/02/19 01:27:29 PM,,44.00,,,,
71,11/02/19 01:29:25 PM,,45.00,,,,
72,11/02/19 01:32:09 PM,,46.00,,,,
73,11/02/19 01:34:32 PM,,47.00,,,,
74,11/02/19 01:37:23 PM,,48.00,,,,
75,11/02/19 01:39:57 PM,,49.00,,,,
76,11/02/19 01:44:10 PM,,50.00,,,,
77,11/02/19 01:50:20 PM,,51.00,,,,
78,11/02/19 01:50:21 PM,,52.00,,,,
79,11/02/19 02:00:00 PM,,53.00,,,,
80,11/02/19 02:04:55 PM,,54.00,,,,
81,11/02/19 02:05:23 PM,19.662,,,,,
82,11/02/19 02:09:58 PM,,55.00,,,,
83,11/02/19 02:13:38 PM,,56.00,,,,
84,11/02/19 02:17:31 PM,,57.00,,,,
85,11/02/19 02:20:36 PM,,58.00,,,,
86,11/02/19 02:24:41 PM,,59.00,,,,
87,11/02/19 02:27:28 PM,,60.00,,,,
88,11/02/19 02:32:19 PM,,61.00,,,,
89,11/02/19 02:39:24 PM,,62.00,,,,
90,11/02/19 02:56:10 PM,,63.00,,,,
91,11/02/19 03:05:23 PM,19.377,,,,,
92,11/02/19 03:07:35 PM,,64.00,,,,
93,11/02/19 03:15:00 PM,,65.00,,,,
94,11/02/19 03:25:37 PM,,66.00,,,,
95,11/02/19 03:37:08 PM,,67.00,,,,
96,11/02/19 04:05:10 PM,,68.00,,,,
97,11/02/19 04:05:23 PM,19.662,,,,,
98,11/02/19 04:39:10 PM,,69.00,,,,
99,11/02/19 05:00:41 PM,,70.00,,,,
100,11/02/19 05:05:23 PM,19.567,,,,,
101,11/02/19 06:05:23 PM,19.567,,,,,
102,11/02/19 07:05:23 PM,19.377,,,,,
103,11/02/19 08:05:23 PM,19.092,,,,,
