"Plot Title: V4p"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10365891, SEN S/N: 10365891)","Temp, °C (LGR S/N: 10365891, SEN S/N: 10365891)","Abs Pres Barom., kPa (LGR S/N: 2376503, SEN S/N: 2376503)","Water Level, meters (LGR S/N: 10365891)","Coupler Detached (LGR S/N: 10365891)","Coupler Attached (LGR S/N: 10365891)","Stopped (LGR S/N: 10365891)","End Of File (LGR S/N: 10365891)"
1,10/18/19 11:03:49 AM,103.429,19.948,,-0.023,Logged,,,
2,10/18/19 11:05:49 AM,103.649,19.282,,-0.000,,,,
3,10/18/19 11:07:49 AM,103.638,18.996,,-0.002,,,,
4,10/18/19 11:09:49 AM,103.668,18.901,,0.001,,,,
5,10/18/19 11:11:49 AM,103.654,18.806,,0.000,,,,
6,10/18/19 11:13:49 AM,103.643,18.806,,-0.001,,,,
7,10/18/19 11:15:49 AM,103.650,18.711,,-0.000,,,,
8,10/18/19 11:17:49 AM,103.639,18.711,,-0.002,,,,
9,10/18/19 11:19:49 AM,103.647,18.616,,-0.001,,,,
10,10/18/19 11:21:49 AM,103.636,18.616,,-0.002,,,,
11,10/18/19 11:23:49 AM,103.625,18.616,,-0.003,,,,
12,10/18/19 11:25:49 AM,103.625,18.616,,-0.003,,,,
13,10/18/19 11:27:49 AM,103.625,18.616,,-0.003,,,,
14,10/18/19 11:29:49 AM,103.625,18.616,,-0.003,,,,
15,10/18/19 11:31:49 AM,103.613,18.616,,-0.004,,,,
16,10/18/19 11:33:49 AM,103.625,18.616,,-0.003,,,,
17,10/18/19 11:35:49 AM,103.625,18.616,,-0.003,,,,
18,10/18/19 11:37:49 AM,103.632,18.521,,-0.002,,,,
19,10/18/19 11:39:49 AM,103.632,18.521,,-0.002,,,,
20,10/18/19 11:41:49 AM,103.621,18.521,,-0.003,,,,
21,10/18/19 11:43:49 AM,103.610,18.521,,-0.005,,,,
22,10/18/19 11:45:49 AM,103.621,18.521,,-0.003,,,,
23,10/18/19 11:47:49 AM,103.610,18.521,,-0.005,,,,
24,10/18/19 11:49:49 AM,103.610,18.521,,-0.005,,,,
25,10/18/19 11:51:49 AM,103.610,18.521,,-0.005,,,,
26,10/18/19 11:53:49 AM,103.610,18.521,,-0.005,,,,
27,10/18/19 11:55:49 AM,103.610,18.521,,-0.005,,,,
28,10/18/19 11:57:49 AM,103.610,18.521,,-0.005,,,,
29,10/18/19 11:59:49 AM,103.621,18.521,,-0.003,,,,
30,10/18/19 12:01:49 PM,103.621,18.521,,-0.003,,,,
31,10/18/19 12:03:49 PM,103.621,18.521,,-0.003,,,,
32,10/18/19 12:05:49 PM,103.610,18.521,,-0.005,,,,
33,10/18/19 12:07:49 PM,103.621,18.521,,-0.003,,,,
34,10/18/19 12:09:49 PM,103.621,18.521,,-0.003,,,,
35,10/18/19 12:11:49 PM,103.621,18.521,,-0.003,,,,
36,10/18/19 12:13:49 PM,103.621,18.521,,-0.003,,,,
37,10/18/19 12:15:49 PM,103.610,18.521,,-0.005,,,,
38,10/18/19 12:17:49 PM,103.599,18.521,,-0.006,,,,
39,10/18/19 12:19:49 PM,103.610,18.521,,-0.005,,,,
40,10/18/19 12:21:49 PM,103.577,18.521,,-0.008,,,,
41,10/18/19 12:23:49 PM,103.577,18.521,,-0.008,,,,
42,10/18/19 12:25:49 PM,103.588,18.521,,-0.007,,,,
43,10/18/19 12:27:49 PM,103.566,18.521,,-0.009,,,,
44,10/18/19 12:29:49 PM,103.577,18.521,,-0.008,,,,
45,10/18/19 12:31:49 PM,103.555,18.521,,-0.010,,,,
46,10/18/19 12:33:49 PM,103.566,18.521,,-0.009,,,,
47,10/18/19 12:35:49 PM,103.566,18.521,,-0.009,,,,
48,10/18/19 12:37:49 PM,103.555,18.521,,-0.010,,,,
49,10/18/19 12:39:49 PM,103.543,18.521,,-0.011,,,,
50,10/18/19 12:41:49 PM,103.532,18.521,,-0.012,,,,
51,10/18/19 12:43:49 PM,103.555,18.521,,-0.010,,,,
52,10/18/19 12:45:49 PM,103.543,18.521,,-0.011,,,,
53,10/18/19 12:47:49 PM,103.532,18.521,,-0.012,,,,
54,10/18/19 12:49:49 PM,103.521,18.521,,-0.014,,,,
55,10/18/19 12:51:49 PM,103.532,18.521,,-0.012,,,,
56,10/18/19 12:53:49 PM,103.543,18.521,,-0.011,,,,
57,10/18/19 12:55:49 PM,103.521,18.521,,-0.014,,,,
58,10/18/19 12:57:49 PM,103.543,18.521,,-0.011,,,,
59,10/18/19 12:59:49 PM,103.543,18.521,,-0.011,,,,
60,10/18/19 01:01:49 PM,103.532,18.521,,-0.012,,,,
61,10/18/19 01:03:49 PM,103.543,18.521,,-0.011,,,,
62,10/18/19 01:05:49 PM,103.521,18.521,,-0.014,,,,
63,10/18/19 01:07:49 PM,103.521,18.521,,-0.014,,,,
64,10/18/19 01:09:49 PM,103.510,18.521,,-0.015,,,,
65,10/18/19 01:11:49 PM,103.510,18.521,,-0.015,,,,
66,10/18/19 01:13:49 PM,103.499,18.521,,-0.016,,,,
67,10/18/19 01:15:49 PM,103.499,18.521,,-0.016,,,,
68,10/18/19 01:17:49 PM,103.499,18.521,,-0.016,,,,
69,10/18/19 01:19:49 PM,103.510,18.521,,-0.015,,,,
70,10/18/19 01:21:49 PM,103.499,18.521,,-0.016,,,,
71,10/18/19 01:23:49 PM,103.499,18.521,,-0.016,,,,
72,10/18/19 01:25:49 PM,103.499,18.521,,-0.016,,,,
73,10/18/19 01:27:49 PM,103.499,18.521,,-0.016,,,,
74,10/18/19 01:29:49 PM,103.488,18.521,,-0.017,,,,
75,10/18/19 01:31:49 PM,103.488,18.521,,-0.017,,,,
76,10/18/19 01:33:49 PM,103.499,18.521,,-0.016,,,,
77,10/18/19 01:35:49 PM,103.477,18.521,,-0.018,,,,
78,10/18/19 01:37:49 PM,103.488,18.521,,-0.017,,,,
79,10/18/19 01:39:49 PM,103.488,18.521,,-0.017,,,,
80,10/18/19 01:41:49 PM,103.499,18.521,,-0.016,,,,
81,10/18/19 01:43:49 PM,103.499,18.521,,-0.016,,,,
82,10/18/19 01:45:49 PM,103.488,18.521,,-0.017,,,,
83,10/18/19 01:47:49 PM,103.477,18.521,,-0.018,,,,
84,10/18/19 01:49:49 PM,103.488,18.521,,-0.017,,,,
85,10/18/19 01:51:49 PM,103.499,18.521,,-0.016,,,,
86,10/18/19 01:53:49 PM,103.488,18.521,,-0.017,,,,
87,10/18/19 01:55:49 PM,103.499,18.521,,-0.016,,,,
88,10/18/19 01:57:49 PM,103.499,18.521,,-0.016,,,,
89,10/18/19 01:59:49 PM,103.510,18.521,,-0.015,,,,
90,10/18/19 02:01:49 PM,103.521,18.521,,-0.014,,,,
91,10/18/19 02:03:49 PM,103.510,18.521,,-0.015,,,,
92,10/18/19 02:05:49 PM,103.510,18.521,,-0.015,,,,
93,10/18/19 02:07:49 PM,103.499,18.521,,-0.016,,,,
94,10/18/19 02:09:49 PM,103.499,18.521,,-0.016,,,,
95,10/18/19 02:11:49 PM,103.499,18.521,,-0.016,,,,
96,10/18/19 02:13:49 PM,103.499,18.521,,-0.016,,,,
97,10/18/19 02:15:49 PM,103.499,18.521,,-0.016,,,,
98,10/18/19 02:17:49 PM,103.488,18.521,,-0.017,,,,
99,10/18/19 02:19:49 PM,103.488,18.521,,-0.017,,,,
100,10/18/19 02:21:49 PM,103.499,18.521,,-0.016,,,,
101,10/18/19 02:23:49 PM,103.499,18.521,,-0.016,,,,
102,10/18/19 02:25:49 PM,103.499,18.521,,-0.016,,,,
103,10/18/19 02:27:49 PM,103.499,18.521,,-0.016,,,,
104,10/18/19 02:29:49 PM,103.510,18.521,,-0.015,,,,
105,10/18/19 02:31:49 PM,103.499,18.521,,-0.016,,,,
106,10/18/19 02:33:49 PM,103.510,18.521,,-0.015,,,,
107,10/18/19 02:35:49 PM,103.499,18.521,,-0.016,,,,
108,10/18/19 02:37:49 PM,103.499,18.521,,-0.016,,,,
109,10/18/19 02:39:49 PM,103.499,18.521,,-0.016,,,,
110,10/18/19 02:41:49 PM,103.488,18.521,,-0.017,,,,
111,10/18/19 02:43:49 PM,103.477,18.521,,-0.018,,,,
112,10/18/19 02:45:38 PM,,,100.327,,,,,
113,10/18/19 02:45:49 PM,103.477,18.521,,-0.018,,,,
114,10/18/19 02:47:38 PM,,,100.333,,,,,
115,10/18/19 02:47:49 PM,103.477,18.521,,-0.019,,,,
116,10/18/19 02:49:38 PM,,,100.347,,,,,
117,10/18/19 02:49:49 PM,103.477,18.521,,-0.020,,,,
118,10/18/19 02:51:38 PM,,,100.330,,,,,
119,10/18/19 02:51:49 PM,103.477,18.521,,-0.019,,,,
120,10/18/19 02:53:38 PM,,,100.351,,,,,
121,10/18/19 02:53:49 PM,103.466,18.521,,-0.022,,,,
122,10/18/19 02:55:38 PM,,,100.339,,,,,
123,10/18/19 02:55:49 PM,103.477,18.521,,-0.019,,,,
124,10/18/19 02:57:38 PM,,,100.331,,,,,
125,10/18/19 02:57:49 PM,103.477,18.521,,-0.019,,,,
126,10/18/19 02:59:38 PM,,,100.334,,,,,
127,10/18/19 02:59:49 PM,103.455,18.521,,-0.021,,,,
128,10/18/19 03:01:38 PM,,,100.351,,,,,
129,10/18/19 03:01:49 PM,103.455,18.521,,-0.023,,,,
130,10/18/19 03:03:38 PM,,,100.347,,,,,
131,10/18/19 03:03:49 PM,103.477,18.521,,-0.020,,,,
132,10/18/19 03:05:38 PM,,,100.343,,,,,
133,10/18/19 03:05:49 PM,103.466,18.521,,-0.021,,,,
134,10/18/19 03:07:38 PM,,,100.346,,,,,
135,10/18/19 03:07:49 PM,103.455,18.521,,-0.022,,,,
136,10/18/19 03:09:38 PM,,,100.342,,,,,
137,10/18/19 03:09:49 PM,103.444,18.521,,-0.023,,,,
138,10/18/19 03:11:38 PM,,,100.327,,,,,
139,10/18/19 03:11:49 PM,103.444,18.521,,-0.022,,,,
140,10/18/19 03:13:38 PM,,,100.345,,,,,
141,10/18/19 03:13:49 PM,103.433,18.521,,-0.024,,,,
142,10/18/19 03:15:38 PM,,,100.341,,,,,
143,10/18/19 03:15:49 PM,103.444,18.521,,-0.023,,,,
144,10/18/19 03:17:38 PM,,,100.337,,,,,
145,10/18/19 03:17:49 PM,103.466,18.521,,-0.020,,,,
146,10/18/19 03:19:38 PM,,,100.333,,,,,
147,10/18/19 03:19:49 PM,103.455,18.521,,-0.021,,,,
148,10/18/19 03:21:38 PM,,,100.329,,,,,
149,10/18/19 03:21:49 PM,103.433,18.521,,-0.023,,,,
150,10/18/19 03:23:38 PM,,,100.340,,,,,
151,10/18/19 03:23:49 PM,103.455,18.521,,-0.022,,,,
