"Plot Title: v3p"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10548626, SEN S/N: 10548626)","Temp, °C (LGR S/N: 10548626, SEN S/N: 10548626)","Abs Pres Barom., kPa (LGR S/N: 2376503, SEN S/N: 2376503)","Water Level, meters (LGR S/N: 10548626)","Coupler Detached (LGR S/N: 10548626)","Coupler Attached (LGR S/N: 10548626)","Stopped (LGR S/N: 10548626)","End Of File (LGR S/N: 10548626)"
1,11/01/19 02:17:12 PM,100.149,23.966,,-0.003,Logged,,,
2,11/01/19 02:17:38 PM,,,99.978,,,,,
3,11/01/19 02:19:12 PM,100.168,26.683,,0.000,,,,
4,11/01/19 02:19:38 PM,,,99.965,,,,,
5,11/01/19 02:21:12 PM,100.160,28.853,,-0.002,,,,
6,11/01/19 02:21:38 PM,,,99.980,,,,,
7,11/01/19 02:23:12 PM,100.165,30.760,,-0.001,,,,
8,11/01/19 02:23:38 PM,,,99.971,,,,,
9,11/01/19 02:25:12 PM,100.177,32.497,,-0.002,,,,
10,11/01/19 02:25:38 PM,,,100.010,,,,,
11,11/01/19 02:27:12 PM,100.176,33.848,,-0.004,,,,
12,11/01/19 02:27:38 PM,,,100.012,,,,,
13,11/01/19 02:29:12 PM,100.141,34.796,,-0.007,,,,
14,11/01/19 02:29:38 PM,,,100.003,,,,,
15,11/01/19 02:31:12 PM,100.143,35.542,,-0.005,,,,
16,11/01/19 02:31:38 PM,,,99.994,,,,,
17,11/01/19 02:33:12 PM,100.147,35.328,,-0.004,,,,
18,11/01/19 02:33:38 PM,,,99.988,,,,,
19,11/01/19 02:35:12 PM,100.186,34.163,,0.001,,,,
20,11/01/19 02:35:38 PM,,,99.975,,,,,
21,11/01/19 02:37:12 PM,100.094,33.639,,-0.007,,,,
22,11/01/19 02:37:38 PM,,,99.956,,,,,
23,11/01/19 02:39:12 PM,100.142,33.118,,-0.002,,,,
24,11/01/19 02:39:38 PM,,,99.962,,,,,
25,11/01/19 02:41:12 PM,100.072,32.600,,-0.008,,,,
26,11/01/19 02:41:38 PM,,,99.953,,,,,
27,11/01/19 02:43:12 PM,100.071,31.880,,-0.008,,,,
28,11/01/19 02:43:38 PM,,,99.946,,,,,
29,11/01/19 02:45:12 PM,100.101,31.472,,-0.005,,,,
30,11/01/19 02:45:38 PM,,,99.953,,,,,
31,11/01/19 02:47:12 PM,102.769,28.456,,0.268,,,,
32,11/01/19 02:47:38 PM,,,99.953,,,,,
33,11/01/19 02:49:12 PM,102.807,26.585,,0.273,,,,
34,11/01/19 02:49:38 PM,,,99.932,,,,,
35,11/01/19 02:51:12 PM,102.804,25.805,,0.276,,,,
36,11/01/19 02:51:38 PM,,,99.904,,,,,
37,11/01/19 02:53:12 PM,102.778,25.319,,0.274,,,,
38,11/01/19 02:53:38 PM,,,99.902,,,,,
39,11/01/19 02:55:12 PM,102.779,25.028,,0.274,,,,
40,11/01/19 02:55:38 PM,,,99.900,,,,,
41,11/01/19 02:57:12 PM,102.749,24.738,,0.271,,,,
42,11/01/19 02:57:38 PM,,,99.902,,,,,
43,11/01/19 02:59:12 PM,102.764,24.545,,0.275,,,,
44,11/01/19 02:59:38 PM,,,99.868,,,,,
45,11/01/19 03:01:12 PM,102.747,24.351,,0.275,,,,
46,11/01/19 03:01:38 PM,,,99.859,,,,,
47,11/01/19 03:03:12 PM,102.741,24.158,,0.274,,,,
48,11/01/19 03:03:38 PM,,,99.858,,,,,
49,11/01/19 03:05:12 PM,102.738,24.062,,0.274,,,,
50,11/01/19 03:05:38 PM,,,99.860,,,,,
51,11/01/19 03:07:12 PM,102.721,23.869,,0.274,,,,
52,11/01/19 03:07:38 PM,,,99.841,,,,,
53,11/01/19 03:09:12 PM,102.729,23.773,,0.274,,,,
54,11/01/19 03:09:38 PM,,,99.855,,,,,
55,11/01/19 03:11:12 PM,102.748,23.677,,0.276,,,,
56,11/01/19 03:11:38 PM,,,99.851,,,,,
57,11/01/19 03:13:12 PM,102.734,23.581,,0.275,,,,
58,11/01/19 03:13:38 PM,,,99.842,,,,,
59,11/01/19 03:15:12 PM,102.731,23.484,,0.276,,,,
60,11/01/19 03:15:38 PM,,,99.834,,,,,
61,11/01/19 03:17:12 PM,102.717,23.388,,0.273,,,,
62,11/01/19 03:17:38 PM,,,99.852,,,,,
63,11/01/19 03:19:12 PM,102.725,23.292,,0.275,,,,
64,11/01/19 03:19:38 PM,,,99.826,,,,,
65,11/01/19 03:21:12 PM,102.711,23.196,,0.275,,,,
66,11/01/19 03:21:38 PM,,,99.817,,,,,
67,11/01/19 03:23:12 PM,102.708,23.100,,0.275,,,,
68,11/01/19 03:23:38 PM,,,99.824,,,,,
69,11/01/19 03:25:12 PM,102.705,23.004,,0.274,,,,
70,11/01/19 03:25:38 PM,,,99.831,,,,,
71,11/01/19 03:27:12 PM,102.691,22.908,,0.273,,,,
72,11/01/19 03:27:38 PM,,,99.816,,,,,
73,11/01/19 03:29:12 PM,102.702,22.908,,0.275,,,,
74,11/01/19 03:29:38 PM,,,99.812,,,,,
75,11/01/19 03:31:12 PM,102.688,22.812,,0.273,,,,
76,11/01/19 03:31:38 PM,,,99.819,,,,,
77,11/01/19 03:33:12 PM,102.707,22.717,,0.275,,,,
78,11/01/19 03:33:38 PM,,,99.815,,,,,
79,11/01/19 03:35:12 PM,102.704,22.621,,0.274,,,,
80,11/01/19 03:35:38 PM,,,99.822,,,,,
81,11/01/19 03:37:12 PM,102.693,22.621,,0.274,,,,
82,11/01/19 03:37:38 PM,,,99.807,,,,,
83,11/01/19 03:39:12 PM,102.679,22.525,,0.273,,,,
84,11/01/19 03:39:38 PM,,,99.813,,,,,
85,11/01/19 03:41:12 PM,102.687,22.429,,0.274,,,,
86,11/01/19 03:41:38 PM,,,99.802,,,,,
87,11/01/19 03:43:12 PM,102.677,22.429,,0.272,,,,
88,11/01/19 03:43:38 PM,,,99.820,,,,,
89,11/01/19 03:45:12 PM,102.684,22.333,,0.274,,,,
90,11/01/19 03:45:38 PM,,,99.794,,,,,
91,11/01/19 03:47:12 PM,102.684,22.333,,0.274,,,,
92,11/01/19 03:47:38 PM,,,99.805,,,,,
93,11/01/19 03:49:12 PM,102.692,22.238,,0.276,,,,
94,11/01/19 03:49:38 PM,,,99.790,,,,,
95,11/01/19 03:51:12 PM,102.689,22.142,,0.274,,,,
