"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
1,10/18/19 02:56:51 PM,2.20208,,,
2,10/18/19 02:58:51 PM,2.20330,,,
3,10/18/19 03:00:51 PM,2.20330,,,
4,10/18/19 03:02:51 PM,2.20330,,,
5,10/18/19 03:04:51 PM,2.20330,,,
6,10/18/19 03:06:51 PM,2.20330,,,
7,10/18/19 03:08:51 PM,2.20330,,,
8,10/18/19 03:10:51 PM,2.20330,,,
9,10/18/19 03:12:51 PM,2.20330,,,
10,10/18/19 03:14:51 PM,2.20330,,,
11,10/18/19 03:16:51 PM,2.20330,,,
12,10/18/19 03:18:51 PM,2.20330,,,
13,10/18/19 03:20:51 PM,2.20330,,,
14,10/18/19 03:22:51 PM,2.20330,,,
15,10/18/19 03:24:51 PM,2.20330,,,
16,10/18/19 03:26:51 PM,2.20330,,,
17,10/18/19 03:28:51 PM,2.20391,,,
18,10/18/19 03:30:51 PM,2.20391,,,
19,10/18/19 03:32:51 PM,2.20391,,,
20,10/18/19 03:34:51 PM,2.20330,,,
21,10/18/19 03:36:51 PM,2.20391,,,
22,10/18/19 03:38:51 PM,2.20391,,,
23,10/18/19 03:40:51 PM,2.20391,,,
24,10/18/19 03:42:51 PM,2.20391,,,
25,10/18/19 03:44:51 PM,2.20391,,,
26,10/18/19 03:46:51 PM,2.20391,,,
27,10/18/19 03:48:51 PM,2.20391,,,
28,10/18/19 03:50:51 PM,2.20391,,,
29,10/18/19 03:52:51 PM,2.20452,,,
30,10/18/19 03:54:51 PM,2.20452,,,
31,10/18/19 03:56:51 PM,2.20452,,,
32,10/18/19 03:58:51 PM,2.20452,,,
33,10/18/19 04:00:51 PM,2.20452,,,
34,10/18/19 04:02:51 PM,2.20513,,,
35,10/18/19 04:04:51 PM,2.20513,,,
36,10/18/19 04:06:51 PM,2.20513,,,
37,10/18/19 04:08:51 PM,2.20574,,,
38,10/18/19 04:10:51 PM,2.20513,,,
39,10/18/19 04:12:51 PM,2.20513,,,
40,10/18/19 04:14:51 PM,2.20574,,,
41,10/18/19 04:16:51 PM,2.20574,,,
42,10/18/19 04:18:51 PM,2.20574,,,
43,10/18/19 04:20:51 PM,2.20574,,,
44,10/18/19 04:22:51 PM,2.20635,,,
45,10/18/19 04:24:51 PM,2.20635,,,
46,10/18/19 04:26:51 PM,2.20635,,,
47,10/18/19 04:28:51 PM,2.20696,,,
48,10/18/19 04:30:51 PM,2.20696,,,
49,10/18/19 04:32:51 PM,2.20696,,,
50,10/18/19 04:34:51 PM,2.20696,,,
51,10/18/19 04:36:51 PM,2.20696,,,
52,10/18/19 04:38:51 PM,2.20696,,,
53,10/18/19 04:40:51 PM,2.20696,,,
54,10/18/19 04:42:51 PM,2.20696,,,
55,10/18/19 04:44:51 PM,2.20696,,,
56,10/18/19 04:46:51 PM,2.20696,,,
57,10/18/19 04:48:51 PM,2.20696,,,
58,10/18/19 04:50:51 PM,2.20757,,,
59,10/18/19 04:52:51 PM,2.20757,,,
60,10/18/19 04:54:51 PM,2.20757,,,
61,10/18/19 04:56:51 PM,2.20757,,,
62,10/18/19 04:58:51 PM,2.20757,,,
63,10/18/19 05:00:51 PM,2.20757,,,
64,10/18/19 05:02:51 PM,2.20757,,,
65,10/18/19 05:04:51 PM,2.20818,,,
66,10/18/19 05:06:51 PM,2.20818,,,
67,10/18/19 05:08:51 PM,2.20818,,,
68,10/18/19 05:10:51 PM,2.20818,,,
69,10/18/19 05:12:51 PM,2.20818,,,
70,10/18/19 05:14:51 PM,2.20818,,,
71,10/18/19 05:16:51 PM,2.20879,,,
72,10/18/19 05:18:51 PM,2.20879,,,
73,10/18/19 05:20:51 PM,2.20879,,,
74,10/18/19 05:22:51 PM,2.20879,,,
75,10/18/19 05:24:51 PM,2.20879,,,
76,10/18/19 05:26:51 PM,2.20879,,,
77,10/18/19 05:28:51 PM,2.20879,,,
78,10/18/19 05:30:51 PM,2.20879,,,
79,10/18/19 05:32:51 PM,2.20879,,,
80,10/18/19 05:34:51 PM,2.20879,,,
81,10/18/19 05:36:51 PM,2.20879,,,
82,10/18/19 05:38:51 PM,2.20879,,,
83,10/18/19 05:40:51 PM,2.20879,,,
84,10/18/19 05:42:51 PM,2.20879,,,
85,10/18/19 05:44:51 PM,2.20879,,,
86,10/18/19 05:46:51 PM,2.20879,,,
