Temperature °C,RelH,windspeed,wind direction,net radiation,solar radiation,rainfall,Date and Time
26.55,57.93,2.731,69.68,417.4,460.5,0,2023-05-25T17:30:00Z
27.05,57.05,3.317,46.59,376.6,426.2,0,2023-05-25T17:45:00Z
26.73,55.64,4.17,303.6,281.8,333,0,2023-05-25T18:00:00Z
26.62,55.61,2.891,0.864,222.8,277.5,0,2023-05-25T18:15:00Z
26.71,56.13,3.051,26.7,255.4,315,0,2023-05-25T18:30:00Z
26.88,55.84,1.773,40.3,201.3,265.7,0,2023-05-25T18:45:00Z
26.66,56.48,1.187,25.65,117.6,185.1,0,2023-05-25T19:00:00Z
26.58,57.67,0,6.532,173.7,250.6,0,2023-05-25T19:15:00Z
26.86,57.81,0,340.2,91.5,213.3,0,2023-05-25T19:30:00Z
26.04,58.11,0,323.9,-9.75,88,0,2023-05-25T19:45:00Z
24.75,59.9,0,327.7,-21,31.9,0,2023-05-25T20:00:00Z
23.86,62.61,0,348.2,-28.05,22.75,0,2023-05-25T20:15:00Z
23.1,65.36,0,17.1,-33.12,16.88,0,2023-05-25T20:30:00Z
22.31,68.67,0,27.29,-38.37,10.61,0,2023-05-25T20:45:00Z
21.67,71.6,0,350.8,-48.21,4.156,0,2023-05-25T21:00:00Z
21.06,74.1,0,19.42,-49.52,0.844,0,2023-05-25T21:15:00Z
20.53,76.1,0,2.692,-46.21,0.061,0,2023-05-25T21:30:00Z
20.04,77.8,0,16.34,-44.34,0.081,0,2023-05-25T21:45:00Z
19.69,79.3,0,346.4,-41.2,0.131,0,2023-05-25T22:00:00Z
19.6,80.2,0,23.46,-39.85,0.148,0,2023-05-25T22:15:00Z
19.63,81.1,0,58.66,-39.14,0.149,0,2023-05-25T22:30:00Z
19.46,81.9,0,34.24,-39.34,0.159,0,2023-05-25T22:45:00Z
19.32,82.6,0,43.23,-39.29,0.139,0,2023-05-25T23:00:00Z
19.47,83,1.08,74.4,-44.63,0.098,0,2023-05-25T23:15:00Z
19.46,83,0,45.01,-46.53,0.058,0,2023-05-25T23:30:00Z
18.96,83.1,0,44.82,-39.86,0.046,0,2023-05-25T23:45:00Z
19.21,84,0,36.55,-54.29,0.045,0,2023-05-26T00:00:00Z
19.51,83.3,0,29.43,-70.3,0.03,0,2023-05-26T00:15:00Z
19.12,83.2,0,42.51,-50.86,0.036,0,2023-05-26T00:30:00Z
18.8,83.7,0,42.27,-48.49,0.027,0,2023-05-26T00:45:00Z
18.48,84.3,2.518,27.32,-50.68,0.043,0,2023-05-26T01:00:00Z
18.59,84.5,0.334,26.69,-53.06,0.017,0,2023-05-26T01:15:00Z
18.54,84.5,2.039,47.62,-56.04,0.003,0,2023-05-26T01:30:00Z
18.37,84.5,0,22.7,-58.53,0.007,0,2023-05-26T01:45:00Z
18.12,84.6,0,53.68,-59.33,0.005,0,2023-05-26T02:00:00Z
17.96,85.2,2.572,9.04,-56.57,0.008,0,2023-05-26T02:15:00Z
18.18,85.1,2.731,32.37,-61.25,0.003,0,2023-05-26T02:30:00Z
18.02,85.1,0,20.73,-63.28,0.005,0,2023-05-26T02:45:00Z
17.89,85.4,2.412,34.11,-62.76,0.002,0,2023-05-26T03:00:00Z
17.66,85.6,0,40.07,-60.23,0.002,0,2023-05-26T03:15:00Z
17.69,86,0,32.71,-58.32,0.002,0,2023-05-26T03:30:00Z
17.71,85.9,2.305,23.72,-58.66,0.002,0,2023-05-26T03:45:00Z
17.76,86,0,77.7,-57.52,0,0,2023-05-26T04:00:00Z
17.67,85.9,0,59.22,-57.76,0.002,0,2023-05-26T04:15:00Z
17.65,86.1,0,107.1,-57.68,0.002,0,2023-05-26T04:30:00Z
17.44,86.2,0,24.58,-57.29,0,0,2023-05-26T04:45:00Z
17.47,86.5,0,29.05,-56.04,0,0,2023-05-26T05:00:00Z
17.41,86.6,0,13.28,-58.72,0,0,2023-05-26T05:15:00Z
17.17,87,0,14.24,-58.61,0.002,0,2023-05-26T05:30:00Z
17.37,87.3,4.223,22.51,-59.59,0,0,2023-05-26T05:45:00Z
17.23,87.3,2.785,20.35,-62.3,0,0,2023-05-26T06:00:00Z
17.04,87.8,3.157,29.87,-60.34,0.002,0,2023-05-26T06:15:00Z
17.16,88,0,51.13,-56.46,0,0,2023-05-26T06:30:00Z
17.06,87.9,2.731,56.19,-55.06,0,0,2023-05-26T06:45:00Z
17.05,88.1,3.53,15.39,-51.63,0,0,2023-05-26T07:00:00Z
17.14,88.1,3.637,20.3,-52.94,0,0,2023-05-26T07:15:00Z
17.14,88,3.743,29.73,-54.11,0.002,0,2023-05-26T07:30:00Z
17.12,87.9,3.371,32.76,-53.01,0,0,2023-05-26T07:45:00Z
17.12,87.6,3.211,19.82,-52.11,0,0,2023-05-26T08:00:00Z
16.97,87.5,2.518,34.88,-51.17,0,0,2023-05-26T08:15:00Z
16.9,87.8,3.797,28.72,-48.78,0,0,2023-05-26T08:30:00Z
17.04,87.6,3.424,35.16,-43.59,0,0,2023-05-26T08:45:00Z
17.01,87.4,3.85,25.21,-51.87,0,0,2023-05-26T09:00:00Z
16.86,87.5,2.518,25.21,-47.82,0.002,0,2023-05-26T09:15:00Z
16.78,87.9,3.903,18.66,-41.74,0,0,2023-05-26T09:30:00Z
16.95,87.9,4.436,21.26,-35.6,0,0,2023-05-26T09:45:00Z
17.21,87.1,4.223,28.29,-41.93,0,0,2023-05-26T10:00:00Z
17.32,86.5,4.542,35.07,-29.18,0.007,0,2023-05-26T10:15:00Z
17.37,86.2,3.584,72.7,-34.71,0.626,0,2023-05-26T10:30:00Z
17.35,86.1,0.601,27.71,-29.55,3.561,0,2023-05-26T10:45:00Z
17.42,86.2,2.039,44.93,-14.77,12.29,0,2023-05-26T11:00:00Z
17.63,85.9,1.879,30.21,-1.463,26.52,0,2023-05-26T11:15:00Z
17.79,85.9,0,253.2,13.23,37.55,0,2023-05-26T11:30:00Z
18.03,85.8,0,53.87,24.2,46.54,0,2023-05-26T11:45:00Z
18.4,85.9,0,78.1,62.02,89.9,0,2023-05-26T12:00:00Z
18.97,85.7,0,32.56,64.67,107.7,0,2023-05-26T12:15:00Z
19.8,84.9,3.53,52.42,79.8,119.1,0,2023-05-26T12:30:00Z
21.15,82,5.022,17.5,164.7,204.7,0,2023-05-26T12:45:00Z
21.98,77.8,5.927,28.08,169.2,195.7,0,2023-05-26T13:00:00Z
22.01,75.1,5.874,37.89,98.6,115.5,0,2023-05-26T13:15:00Z
22.06,73.9,5.501,313,142.1,163.9,0,2023-05-26T13:30:00Z
22.77,72.6,5.714,31.3,265,287.3,0,2023-05-26T13:45:00Z
23.34,70.6,7.15,39.13,209.3,225,0,2023-05-26T14:00:00Z
23.37,69.59,5.821,23.12,199.4,222.1,0,2023-05-26T14:15:00Z
23.71,68.93,7.84,30.71,232.1,259.7,0,2023-05-26T14:30:00Z
23.62,68.39,6.78,10.57,127.8,151.5,0,2023-05-26T14:45:00Z
23.12,69.04,5.341,33.4,-24.63,77.3,0,2023-05-26T15:00:00Z
22.12,71.7,5.341,25.33,-81.2,15.13,0,2023-05-26T15:15:00Z
20.48,76.9,5.182,9.23,-45.07,14.04,0,2023-05-26T15:30:00Z
19.48,81.8,5.022,9.47,-2.529,34.3,0,2023-05-26T15:45:00Z
19.31,84.7,3.157,68.93,-14.65,6.67,0,2023-05-26T16:00:00Z
19.16,86.7,5.448,29.9,-8.48,13.55,0,2023-05-26T16:15:00Z
19.22,88.2,6.034,13.99,-10.39,23.12,0,2023-05-26T16:30:00Z
19.3,88.8,5.768,29.43,-10.48,14.29,0,2023-05-26T16:45:00Z
19.06,89.2,5.341,29,-30.27,4.565,0,2023-05-26T17:00:00Z
18.45,90,7.31,28.23,-21.66,4.705,0,2023-05-26T17:15:00Z
18.18,90.7,5.235,20.25,-19.45,9.36,0,2023-05-26T17:30:00Z
18.22,91.2,3.211,31.16,-13.94,8.73,0,2023-05-26T17:45:00Z
18.44,91.8,4.329,50.83,8.21,37.8,0,2023-05-26T18:00:00Z
18.65,92.2,3.584,31.64,9.15,42.75,0,2023-05-26T18:15:00Z
18.79,92.2,3.264,0.096,5.158,27.62,0,2023-05-26T18:30:00Z
18.78,92.2,4.436,309,-11.27,7.03,0,2023-05-26T18:45:00Z
18.73,92.6,4.542,44.43,-12.88,4.857,0,2023-05-26T19:00:00Z
18.52,93,4.276,304.6,-13.13,3.978,0,2023-05-26T19:15:00Z
18.47,93.1,2.785,306.6,-7.91,3.235,0,2023-05-26T19:30:00Z
18.35,93.2,2.625,283,-7.08,3.283,0,2023-05-26T19:45:00Z
18.23,93.3,2.944,231.1,-9.27,2.346,0,2023-05-26T20:00:00Z
18.16,93.6,2.731,279.1,-0.925,11.54,0,2023-05-26T20:15:00Z
18.16,93.9,1.133,27.12,-1.781,16.83,0,2023-05-26T20:30:00Z
18.17,93.9,1.559,24.77,-1.312,35.29,0,2023-05-26T20:45:00Z
18.04,93.9,0.974,18.27,-31.28,12.01,0,2023-05-26T21:00:00Z
17.77,94,1.773,31.55,-29.22,1.929,0,2023-05-26T21:15:00Z
17.71,94.2,1.719,145.3,-8.32,0.234,0,2023-05-26T21:30:00Z
17.78,94.2,0,336.5,-3.902,0.221,0,2023-05-26T21:45:00Z
17.87,94.3,0,36.07,-18.18,0.224,0,2023-05-26T22:00:00Z
17.63,94.2,0,303.8,-42.69,0.275,0,2023-05-26T22:15:00Z
17.32,94,0,304.3,-22.7,0.304,0,2023-05-26T22:30:00Z
17.39,94.4,0,336.2,-20.92,0.33,0,2023-05-26T22:45:00Z
17.32,94.3,0,281,-39.26,0.36,0,2023-05-26T23:00:00Z
17.08,94.4,0,30.49,-45.58,0.36,0,2023-05-26T23:15:00Z
16.8,94.6,0,228.3,-41,0.355,0,2023-05-26T23:30:00Z
16.68,94.7,0,24.24,-26.25,0.375,0,2023-05-26T23:45:00Z
16.34,95,0,27.23,-49.78,0.385,0,2023-05-27T00:00:00Z
16.18,94.8,0,249.5,-33.5,0.388,0,2023-05-27T00:15:00Z
16.06,94.9,0,38.48,-25.34,0.39,0,2023-05-27T00:30:00Z
16.13,95,0,7.5,4.002,0.387,0,2023-05-27T00:45:00Z
16.55,95,0,245.9,2.978,0.392,0,2023-05-27T01:00:00Z
17.1,95,0,15.68,-0.116,0.377,0,2023-05-27T01:15:00Z
16.87,95.1,0,20.88,-1.442,0.387,0,2023-05-27T01:30:00Z
16.91,95.1,0,290.2,-3.916,0.388,0,2023-05-27T01:45:00Z
