"Plot Title: N11"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 10566160, SEN S/N: 10566160)","Temp, °C (LGR S/N: 10566160, SEN S/N: 10566160)","Abs Pres Barom., kPa (LGR S/N: 2376503, SEN S/N: 2376503)","Water Level, meters (LGR S/N: 10566160)","Coupler Detached (LGR S/N: 10566160)","Coupler Attached (LGR S/N: 10566160)","Stopped (LGR S/N: 10566160)","End Of File (LGR S/N: 10566160)"
1,10/18/19 12:18:19 PM,107.647,15.855,,0.013,Logged,,,
2,10/18/19 01:18:19 PM,107.516,15.855,,0.000,,,,
3,10/18/19 02:18:19 PM,107.468,15.855,,-0.005,,,,
4,10/18/19 02:45:38 PM,,,100.327,,,,,
5,10/18/19 02:47:38 PM,,,100.333,,,,,
6,10/18/19 02:49:38 PM,,,100.347,,,,,
7,10/18/19 02:51:38 PM,,,100.330,,,,,
8,10/18/19 02:53:38 PM,,,100.351,,,,,
9,10/18/19 02:55:38 PM,,,100.339,,,,,
10,10/18/19 02:57:38 PM,,,100.331,,,,,
11,10/18/19 02:59:38 PM,,,100.334,,,,,
12,10/18/19 03:01:38 PM,,,100.351,,,,,
13,10/18/19 03:03:38 PM,,,100.347,,,,,
14,10/18/19 03:05:38 PM,,,100.343,,,,,
15,10/18/19 03:07:38 PM,,,100.346,,,,,
16,10/18/19 03:09:38 PM,,,100.342,,,,,
17,10/18/19 03:11:38 PM,,,100.327,,,,,
18,10/18/19 03:13:38 PM,,,100.345,,,,,
19,10/18/19 03:15:38 PM,,,100.341,,,,,
20,10/18/19 03:17:38 PM,,,100.337,,,,,
21,10/18/19 03:18:19 PM,107.372,15.855,,-0.016,,,,
22,10/18/19 03:19:38 PM,,,100.333,,,,,
23,10/18/19 03:21:38 PM,,,100.329,,,,,
24,10/18/19 03:23:38 PM,,,100.340,,,,,
25,10/18/19 03:25:38 PM,,,100.336,,,,,
26,10/18/19 03:27:38 PM,,,100.343,,,,,
27,10/18/19 03:29:38 PM,,,100.339,,,,,
28,10/18/19 03:31:38 PM,,,100.361,,,,,
29,10/18/19 03:33:38 PM,,,100.346,,,,,
30,10/18/19 03:35:38 PM,,,100.357,,,,,
31,10/18/19 03:37:38 PM,,,100.342,,,,,
32,10/18/19 03:39:38 PM,,,100.342,,,,,
33,10/18/19 03:41:38 PM,,,100.327,,,,,
34,10/18/19 03:43:38 PM,,,100.327,,,,,
35,10/18/19 03:45:38 PM,,,100.338,,,,,
36,10/18/19 03:47:38 PM,,,100.345,,,,,
37,10/18/19 03:49:38 PM,,,100.334,,,,,
38,10/18/19 03:51:38 PM,,,100.345,,,,,
39,10/18/19 03:53:38 PM,,,100.341,,,,,
40,10/18/19 03:55:38 PM,,,100.330,,,,,
41,10/18/19 03:57:38 PM,,,100.341,,,,,
42,10/18/19 03:59:38 PM,,,100.330,,,,,
43,10/18/19 04:01:38 PM,,,100.337,,,,,
44,10/18/19 04:03:38 PM,,,100.337,,,,,
45,10/18/19 04:05:38 PM,,,100.348,,,,,
46,10/18/19 04:07:38 PM,,,100.348,,,,,
47,10/18/19 04:09:38 PM,,,100.344,,,,,
48,10/18/19 04:11:38 PM,,,100.344,,,,,
49,10/18/19 04:13:38 PM,,,100.344,,,,,
50,10/18/19 04:15:38 PM,,,100.344,,,,,
51,10/18/19 04:17:38 PM,,,100.333,,,,,
52,10/18/19 04:18:19 PM,107.288,15.855,,-0.024,,,,
53,10/18/19 04:19:38 PM,,,100.340,,,,,
54,10/18/19 04:21:38 PM,,,100.351,,,,,
55,10/18/19 04:23:38 PM,,,100.340,,,,,
56,10/18/19 04:25:38 PM,,,100.340,,,,,
57,10/18/19 04:27:38 PM,,,100.362,,,,,
58,10/18/19 04:29:38 PM,,,100.351,,,,,
59,10/18/19 04:31:38 PM,,,100.362,,,,,
60,10/18/19 04:33:38 PM,,,100.362,,,,,
61,10/18/19 04:35:38 PM,,,100.362,,,,,
62,10/18/19 04:37:38 PM,,,100.362,,,,,
63,10/18/19 04:39:38 PM,,,100.362,,,,,
64,10/18/19 04:41:38 PM,,,100.351,,,,,
65,10/18/19 04:43:38 PM,,,100.351,,,,,
66,10/18/19 04:45:38 PM,,,100.362,,,,,
67,10/18/19 04:47:38 PM,,,100.336,,,,,
68,10/18/19 04:49:38 PM,,,100.347,,,,,
69,10/18/19 04:51:38 PM,,,100.358,,,,,
70,10/18/19 04:53:38 PM,,,100.347,,,,,
71,10/18/19 04:55:38 PM,,,100.358,,,,,
72,10/18/19 04:57:38 PM,,,100.347,,,,,
73,10/18/19 04:59:38 PM,,,100.347,,,,,
74,10/18/19 05:01:38 PM,,,100.358,,,,,
75,10/18/19 05:03:38 PM,,,100.347,,,,,
76,10/18/19 05:05:38 PM,,,100.336,,,,,
77,10/18/19 05:07:38 PM,,,100.358,,,,,
78,10/18/19 05:09:38 PM,,,100.347,,,,,
79,10/18/19 05:11:38 PM,,,100.336,,,,,
80,10/18/19 05:13:38 PM,,,100.347,,,,,
81,10/18/19 05:15:38 PM,,,100.347,,,,,
82,10/18/19 05:17:38 PM,,,100.347,,,,,
83,10/18/19 05:18:19 PM,107.228,15.855,,-0.031,,,,
84,10/18/19 05:19:38 PM,,,100.336,,,,,
85,10/18/19 05:21:38 PM,,,100.358,,,,,
86,10/18/19 05:23:38 PM,,,100.347,,,,,
87,10/18/19 05:25:38 PM,,,100.347,,,,,
88,10/18/19 05:27:38 PM,,,100.336,,,,,
89,10/18/19 05:29:38 PM,,,100.325,,,,,
90,10/18/19 05:31:38 PM,,,100.336,,,,,
91,10/18/19 05:33:38 PM,,,100.336,,,,,
92,10/18/19 05:35:38 PM,,,100.347,,,,,
93,10/18/19 05:37:38 PM,,,100.347,,,,,
94,10/18/19 05:39:38 PM,,,100.347,,,,,
95,10/18/19 05:41:38 PM,,,100.347,,,,,
96,10/18/19 05:43:38 PM,,,100.347,,,,,
97,10/18/19 05:45:38 PM,,,100.358,,,,,
98,10/18/19 05:47:38 PM,,,100.336,,,,,
99,10/18/19 05:49:38 PM,,,100.358,,,,,
100,10/18/19 05:51:38 PM,,,100.358,,,,,
101,10/18/19 05:53:38 PM,,,100.347,,,,,
102,10/18/19 05:55:38 PM,,,100.358,,,,,
103,10/18/19 05:57:38 PM,,,100.369,,,,,
104,10/18/19 05:59:38 PM,,,100.369,,,,,
105,10/18/19 06:01:38 PM,,,100.369,,,,,
106,10/18/19 06:03:38 PM,,,100.365,,,,,
107,10/18/19 06:05:38 PM,,,100.387,,,,,
108,10/18/19 06:07:38 PM,,,100.376,,,,,
109,10/18/19 06:09:38 PM,,,100.398,,,,,
110,10/18/19 06:11:38 PM,,,100.376,,,,,
111,10/18/19 06:13:38 PM,,,100.398,,,,,
112,10/18/19 06:15:38 PM,,,100.387,,,,,
113,10/18/19 06:17:38 PM,,,100.409,,,,,
114,10/18/19 06:18:19 PM,107.216,15.855,,-0.039,,,,
115,10/18/19 06:19:38 PM,,,100.398,,,,,
116,10/18/19 06:21:38 PM,,,100.409,,,,,
117,10/18/19 06:23:38 PM,,,100.409,,,,,
118,10/18/19 06:25:38 PM,,,100.398,,,,,
119,10/18/19 06:27:38 PM,,,100.409,,,,,
120,10/18/19 06:29:38 PM,,,100.398,,,,,
121,10/18/19 06:31:38 PM,,,100.419,,,,,
122,10/18/19 06:33:38 PM,,,100.409,,,,,
123,10/18/19 06:35:38 PM,,,100.409,,,,,
124,10/18/19 06:37:38 PM,,,100.415,,,,,
125,10/18/19 06:39:38 PM,,,100.415,,,,,
126,10/18/19 06:41:38 PM,,,100.415,,,,,
127,10/18/19 06:43:38 PM,,,100.415,,,,,
128,10/18/19 06:45:38 PM,,,100.426,,,,,
129,10/18/19 06:47:38 PM,,,100.415,,,,,
130,10/18/19 06:49:38 PM,,,100.426,,,,,
131,10/18/19 06:51:38 PM,,,100.412,,,,,
132,10/18/19 06:53:38 PM,,,100.422,,,,,
133,10/18/19 06:55:38 PM,,,100.422,,,,,
134,10/18/19 06:57:38 PM,,,100.412,,,,,
135,10/18/19 06:59:38 PM,,,100.419,,,,,
136,10/18/19 07:01:38 PM,,,100.419,,,,,
137,10/18/19 07:03:38 PM,,,100.440,,,,,
138,10/18/19 07:05:38 PM,,,100.436,,,,,
139,10/18/19 07:07:38 PM,,,100.447,,,,,
140,10/18/19 07:09:38 PM,,,100.436,,,,,
141,10/18/19 07:11:38 PM,,,100.443,,,,,
142,10/18/19 07:13:38 PM,,,100.454,,,,,
143,10/18/19 07:15:38 PM,,,100.454,,,,,
144,10/18/19 07:17:38 PM,,,100.454,,,,,
145,10/18/19 07:18:19 PM,107.252,15.855,,-0.040,,,,
146,10/18/19 07:19:38 PM,,,100.461,,,,,
147,10/18/19 07:21:38 PM,,,100.461,,,,,
148,10/18/19 07:23:38 PM,,,100.461,,,,,
149,10/18/19 07:25:38 PM,,,100.457,,,,,
150,10/18/19 07:27:38 PM,,,100.468,,,,,
151,10/18/19 07:29:38 PM,,,100.457,,,,,
152,10/18/19 07:31:38 PM,,,100.479,,,,,
153,10/18/19 07:33:38 PM,,,100.464,,,,,
154,10/18/19 07:35:38 PM,,,100.475,,,,,
155,10/18/19 07:37:38 PM,,,100.464,,,,,
156,10/18/19 07:39:38 PM,,,100.475,,,,,
157,10/18/19 07:41:38 PM,,,100.482,,,,,
158,10/18/19 07:43:38 PM,,,100.471,,,,,
159,10/18/19 07:45:38 PM,,,100.460,,,,,
160,10/18/19 07:47:38 PM,,,100.471,,,,,
161,10/18/19 07:49:38 PM,,,100.493,,,,,
162,10/18/19 07:51:38 PM,,,100.467,,,,,
163,10/18/19 07:53:38 PM,,,100.478,,,,,
164,10/18/19 07:55:38 PM,,,100.489,,,,,
165,10/18/19 07:57:38 PM,,,100.489,,,,,
166,10/18/19 07:59:38 PM,,,100.478,,,,,
167,10/18/19 08:01:38 PM,,,100.485,,,,,
168,10/18/19 08:03:38 PM,,,100.485,,,,,
169,10/18/19 08:05:38 PM,,,100.496,,,,,
170,10/18/19 08:07:38 PM,,,100.507,,,,,
171,10/18/19 08:09:38 PM,,,100.496,,,,,
172,10/18/19 08:11:38 PM,,,100.492,,,,,
173,10/18/19 08:13:38 PM,,,100.503,,,,,
174,10/18/19 08:15:38 PM,,,100.503,,,,,
175,10/18/19 08:17:38 PM,,,100.503,,,,,
176,10/18/19 08:18:19 PM,107.300,15.855,,-0.040,,,,
177,10/18/19 08:19:38 PM,,,100.503,,,,,
178,10/18/19 08:21:38 PM,,,100.521,,,,,
179,10/18/19 08:23:38 PM,,,100.521,,,,,
180,10/18/19 08:25:38 PM,,,100.521,,,,,
181,10/18/19 08:27:38 PM,,,100.521,,,,,
182,10/18/19 08:29:38 PM,,,100.521,,,,,
183,10/18/19 08:31:38 PM,,,100.521,,,,,
184,10/18/19 08:33:38 PM,,,100.528,,,,,
185,10/18/19 08:35:38 PM,,,100.550,,,,,
186,10/18/19 08:37:38 PM,,,100.528,,,,,
187,10/18/19 08:39:38 PM,,,100.539,,,,,
188,10/18/19 08:41:38 PM,,,100.539,,,,,
189,10/18/19 08:43:38 PM,,,100.546,,,,,
190,10/18/19 08:45:38 PM,,,100.535,,,,,
191,10/18/19 08:47:38 PM,,,100.557,,,,,
192,10/18/19 08:49:38 PM,,,100.557,,,,,
193,10/18/19 08:51:38 PM,,,100.557,,,,,
194,10/18/19 08:53:38 PM,,,100.557,,,,,
195,10/18/19 08:55:38 PM,,,100.568,,,,,
196,10/18/19 08:57:38 PM,,,100.564,,,,,
197,10/18/19 08:59:38 PM,,,100.575,,,,,
198,10/18/19 09:01:38 PM,,,100.564,,,,,
199,10/18/19 09:03:38 PM,,,100.575,,,,,
200,10/18/19 09:05:38 PM,,,100.585,,,,,
201,10/18/19 09:07:38 PM,,,100.585,,,,,
202,10/18/19 09:09:38 PM,,,100.596,,,,,
203,10/18/19 09:11:38 PM,,,100.607,,,,,
204,10/18/19 09:13:38 PM,,,100.585,,,,,
205,10/18/19 09:15:38 PM,,,100.592,,,,,
206,10/18/19 09:17:38 PM,,,100.592,,,,,
207,10/18/19 09:18:19 PM,107.348,15.855,,-0.044,,,,
208,10/18/19 09:19:38 PM,,,100.592,,,,,
209,10/18/19 09:21:38 PM,,,100.603,,,,,
210,10/18/19 09:23:38 PM,,,100.603,,,,,
211,10/18/19 09:25:38 PM,,,100.603,,,,,
212,10/18/19 09:27:38 PM,,,100.614,,,,,
213,10/18/19 09:29:38 PM,,,100.614,,,,,
214,10/18/19 09:31:38 PM,,,100.625,,,,,
215,10/18/19 09:33:38 PM,,,100.625,,,,,
216,10/18/19 09:35:38 PM,,,100.636,,,,,
217,10/18/19 09:37:38 PM,,,100.625,,,,,
218,10/18/19 09:39:38 PM,,,100.625,,,,,
219,10/18/19 09:41:38 PM,,,100.636,,,,,
220,10/18/19 09:43:38 PM,,,100.625,,,,,
221,10/18/19 09:45:38 PM,,,100.610,,,,,
222,10/18/19 09:47:38 PM,,,100.610,,,,,
223,10/18/19 09:49:38 PM,,,100.621,,,,,
224,10/18/19 09:51:38 PM,,,100.632,,,,,
225,10/18/19 09:53:38 PM,,,100.643,,,,,
226,10/18/19 09:55:38 PM,,,100.643,,,,,
227,10/18/19 09:57:38 PM,,,100.639,,,,,
228,10/18/19 09:59:38 PM,,,100.650,,,,,
229,10/18/19 10:01:38 PM,,,100.639,,,,,
230,10/18/19 10:03:38 PM,,,100.650,,,,,
231,10/18/19 10:05:38 PM,,,100.650,,,,,
232,10/18/19 10:07:38 PM,,,100.661,,,,,
233,10/18/19 10:09:38 PM,,,100.635,,,,,
234,10/18/19 10:11:38 PM,,,100.646,,,,,
235,10/18/19 10:13:38 PM,,,100.668,,,,,
236,10/18/19 10:15:38 PM,,,100.646,,,,,
237,10/18/19 10:17:38 PM,,,100.657,,,,,
238,10/18/19 10:18:19 PM,107.372,15.855,,-0.048,,,,
239,10/18/19 10:19:38 PM,,,100.657,,,,,
240,10/18/19 10:21:38 PM,,,100.675,,,,,
241,10/18/19 10:23:38 PM,,,100.664,,,,,
242,10/18/19 10:25:38 PM,,,100.664,,,,,
243,10/18/19 10:27:38 PM,,,100.653,,,,,
244,10/18/19 10:29:38 PM,,,100.675,,,,,
245,10/18/19 10:31:38 PM,,,100.675,,,,,
246,10/18/19 10:33:38 PM,,,100.675,,,,,
247,10/18/19 10:35:38 PM,,,100.664,,,,,
248,10/18/19 10:37:38 PM,,,100.664,,,,,
